dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
higgs-small,binclass,mlp,1,32,cumulative_ple,,62751,15688,19610,804,776,337921,256,9,0.5404368635772542,0.7190846506884243,0.5480942285144956,0.7130545639979602,9.53201652993448
higgs-small,binclass,mlp,1,32,local_ple,,62751,15688,19610,804,776,337921,256,4,0.5569778908646518,0.7058261091279959,0.5611171948618489,0.7031106578276389,6.455372667172924
higgs-small,binclass,mlp,1,32,cumulative_seedmate,,62751,15688,19610,804,776,337921,256,4,0.541573884318394,0.7208057113717491,0.5468987841491215,0.7142274349821519,6.320310740964487
higgs-small,binclass,mlp,1,32,basis_blend,0.30000000000000004,62751,15688,19610,804,776,675842,256,9,0.5360247139442746,0.721889342172361,0.5427955485085639,0.7165731769505355,15.987389197107404
higgs-small,binclass,mlp,1,32,basis_select,0.0,62751,15688,19610,804,776,675842,256,9,0.5404368635772542,0.7190846506884243,0.5480942285144956,0.7130545639979602,15.987389197107404
higgs-small,binclass,mlp,1,32,seed_blend,0.5,62751,15688,19610,804,776,675842,256,9,0.534927919275707,0.7255864354920959,0.5412914810865441,0.7176950535441101,15.852327270898968
higgs-small,binclass,mlp,1,32,seed_select,0.0,62751,15688,19610,804,776,675842,256,9,0.5404368635772542,0.7190846506884243,0.5480942285144956,0.7130545639979602,15.852327270898968
higgs-small,binclass,mlp,2,32,cumulative_ple,,62751,15688,19610,804,776,337921,256,10,0.538755546131442,0.7243753187149413,0.5460776828985205,0.7177970423253442,9.548525954131037
higgs-small,binclass,mlp,2,32,local_ple,,62751,15688,19610,804,776,337921,256,4,0.5592790062669434,0.7093319734829169,0.5633965247286759,0.7050484446710862,6.056461215950549
higgs-small,binclass,mlp,2,32,cumulative_seedmate,,62751,15688,19610,804,776,337921,256,4,0.5454244114463065,0.7153238143804181,0.549494079952783,0.7090260071392147,6.006579224020243
higgs-small,binclass,mlp,2,32,basis_blend,0.30000000000000004,62751,15688,19610,804,776,675842,256,10,0.5353653086937104,0.7247577766445691,0.5417065101249152,0.7197348291687914,15.604987170081586
higgs-small,binclass,mlp,2,32,basis_select,0.0,62751,15688,19610,804,776,675842,256,10,0.538755546131442,0.7243753187149413,0.5460776828985205,0.7177970423253442,15.604987170081586
higgs-small,binclass,mlp,2,32,seed_blend,0.4,62751,15688,19610,804,776,675842,256,10,0.533115763515078,0.7252677205507394,0.5392249269741145,0.7216726160122386,15.55510517815128
higgs-small,binclass,mlp,2,32,seed_select,0.0,62751,15688,19610,804,776,675842,256,10,0.538755546131442,0.7243753187149413,0.5460776828985205,0.7177970423253442,15.55510517815128
higgs-small,binclass,mlp,3,32,cumulative_ple,,62751,15688,19610,804,776,337921,256,8,0.538232378467482,0.7243753187149413,0.5439853705498745,0.7147883732789393,8.55169639410451
higgs-small,binclass,mlp,3,32,local_ple,,62751,15688,19610,804,776,337921,256,5,0.5571984936942792,0.710670576236614,0.563376099834498,0.7042325344212137,6.7148935799486935
higgs-small,binclass,mlp,3,32,cumulative_seedmate,,62751,15688,19610,804,776,337921,256,9,0.5395535224042639,0.7158975012748597,0.542285318999718,0.7186129525752167,9.043835596879944
higgs-small,binclass,mlp,3,32,basis_blend,0.25,62751,15688,19610,804,776,675842,256,8,0.5363464425744144,0.7223992860785313,0.5424399820999506,0.7168281489036206,15.266589974053204
higgs-small,binclass,mlp,3,32,basis_select,0.0,62751,15688,19610,804,776,675842,256,8,0.538232378467482,0.7243753187149413,0.5439853705498745,0.7147883732789393,15.266589974053204
higgs-small,binclass,mlp,3,32,seed_blend,0.45,62751,15688,19610,804,776,675842,256,9,0.5330332405824832,0.7256501784803672,0.5375177067684993,0.7210606833248343,17.595531990984455
