dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
higgs-small,binclass,mlp,0,32,cumulative_ple,,62751,15688,19610,804,776,337921,256,6,0.5378057745009517,0.7242478327383988,0.542702797852001,0.7188679245283018,8.334579028887674
higgs-small,binclass,mlp,0,32,local_ple,,62751,15688,19610,804,776,337921,256,5,0.5554105305681537,0.7113080061193269,0.5614109345305148,0.7065272819989801,6.929627744946629
higgs-small,binclass,mlp,0,32,dual_ple,,62751,15688,19610,1580,776,338451,175,5,0.5464965350552546,0.7144314125446201,0.5539935983450751,0.7092809790922998,8.480962733039632
higgs-small,binclass,mlp,0,32,basis_blend,0.2,62751,15688,19610,804,776,675842,256,6,0.536482032489091,0.724502804691484,0.5415981218104826,0.7193778684344722,15.264206773834303
higgs-small,binclass,mlp,0,32,basis_select,0.0,62751,15688,19610,804,776,675842,256,6,0.5378057745009517,0.7242478327383988,0.542702797852001,0.7188679245283018,15.264206773834303
house,regression,mlp,0,32,cumulative_ple,,14581,3646,4557,455,439,248577,256,9,0.33707791566848755,30254.671081280103,0.3906152546405792,32568.809417024953,2.023204660974443
house,regression,mlp,0,32,local_ple,,14581,3646,4557,455,439,248577,256,14,0.4218231737613678,33844.843119069,0.4626598358154297,35445.262582719326,2.631861192872748
house,regression,mlp,0,32,dual_ple,,14581,3646,4557,894,439,247813,193,12,0.3681737780570984,31619.407145321835,0.4143018424510956,33541.74927886808,2.808538218960166
house,regression,mlp,0,32,basis_blend,0.1,14581,3646,4557,455,439,497154,256,14,0.3359212875366211,30202.71941425954,0.3896241784095764,32527.467991218204,4.655065853847191
house,regression,mlp,0,32,basis_select,0.0,14581,3646,4557,455,439,497154,256,14,0.33707791566848755,30254.671081280103,0.3906152546405792,32568.809417024953,4.655065853847191
microsoft,regression,mlp,0,32,cumulative_ple,,100000,25000,25000,2436,2300,755713,256,4,0.842836856842041,0.7562568401634593,0.8492429852485657,0.7591253840671222,14.927426271140575
microsoft,regression,mlp,0,32,local_ple,,100000,25000,25000,2436,2300,755713,256,1,0.8593288064002991,0.7636198600757744,0.8680021166801453,0.7674638650433003,10.641386522911489
microsoft,regression,mlp,0,32,dual_ple,,100000,25000,25000,4736,2300,756001,150,4,0.845093846321106,0.7572687331047767,0.8514561057090759,0.7601139056153556,18.188616937957704
microsoft,regression,mlp,0,32,basis_blend,0.2,100000,25000,25000,2436,2300,1511426,256,4,0.8413459658622742,0.7555876621879527,0.8481717109680176,0.7586464669071624,25.568812794052064
microsoft,regression,mlp,0,32,basis_select,0.0,100000,25000,25000,2436,2300,1511426,256,4,0.842836856842041,0.7562568401634593,0.8492429852485657,0.7591253840671222,25.568812794052064
otto,multiclass,mlp,0,32,cumulative_ple,,39601,9901,12376,483,390,257801,256,8,0.529116514753184,0.7958792041207958,0.5280504773998853,0.794683257918552,5.298650489887223
otto,multiclass,mlp,0,32,local_ple,,39601,9901,12376,483,390,257801,256,7,0.5604614367393964,0.7861832138167861,0.5538938589096699,0.7850678733031674,4.673411488998681
otto,multiclass,mlp,0,32,dual_ple,,39601,9901,12376,873,390,257009,200,10,0.5359980388300487,0.7987072012927987,0.5357476148012641,0.7933904330963154,6.821636962937191
otto,multiclass,mlp,0,32,basis_blend,0.25,39601,9901,12376,483,390,515602,256,8,0.5247069370778292,0.7981012018987981,0.5227457562465114,0.7966224951519069,9.972061978885904
otto,multiclass,mlp,0,32,basis_select,0.0,39601,9901,12376,483,390,515602,256,8,0.529116514753184,0.7958792041207958,0.5280504773998853,0.794683257918552,9.972061978885904
