dataset,problem_type,fold,split_hash,model,seed,official_metric,train_rows,test_metric,test_error,best_iteration,training_wall_time_s,inference_time_s
wine_quality,regression,0,f6ba8889d9e18379,catboost,2027,root_mean_squared_error,3464,0.6151194679117942,0.6151194679117942,1509,3.279931495897472,0.011444141855463386
wine_quality,regression,0,f6ba8889d9e18379,lightgbm,2027,root_mean_squared_error,3464,0.6311565338507931,0.6311565338507931,927,0.8587142890319228,0.037965998984873295
wine_quality,regression,0,f6ba8889d9e18379,xgboost,2027,root_mean_squared_error,3464,0.6110222339630127,0.6110222339630127,509,1.3426935609895736,0.013526078080758452
miami_housing,regression,0,6c008552b71f04dd,catboost,2027,root_mean_squared_error,7347,87197.67584665703,87197.67584665703,1557,7.35668072104454,0.04731089202687144
miami_housing,regression,0,6c008552b71f04dd,lightgbm,2027,root_mean_squared_error,7347,92439.8633026141,92439.8633026141,2000,1.9323775200173259,0.16054679616354406
miami_housing,regression,0,6c008552b71f04dd,xgboost,2027,root_mean_squared_error,7347,92967.421875,92967.421875,921,3.3629805489908904,0.0549824140034616
Food_Delivery_Time,regression,0,93cb4b4b5e2ad4ae,catboost,2027,root_mean_squared_error,24240,7.477567015526638,7.477567015526638,834,9.240197476930916,0.01633917517028749
Food_Delivery_Time,regression,0,93cb4b4b5e2ad4ae,lightgbm,2027,root_mean_squared_error,24240,7.68006747173702,7.68006747173702,456,1.0038452150765806,0.12482978496700525
Food_Delivery_Time,regression,0,93cb4b4b5e2ad4ae,xgboost,2027,root_mean_squared_error,24240,8.093206405639648,8.093206405639648,395,4.662405951879919,0.18264712998643517
seismic-bumps,binary,0,de46737af75a0a27,catboost,2027,roc_auc,1377,0.7787839163125205,0.22121608368747947,3,0.3616524660028517,0.00346169201657176
seismic-bumps,binary,0,de46737af75a0a27,lightgbm,2027,roc_auc,1377,0.7573607932875668,0.24263920671243322,40,0.12342946603894234,0.0032436850015074015
seismic-bumps,binary,0,de46737af75a0a27,xgboost,2027,roc_auc,1377,0.7393156805056118,0.2606843194943882,0,0.09191337809897959,0.003370756981894374
heloc,binary,0,e3fd592ba292ce39,catboost,2027,roc_auc,5577,0.7954916708965899,0.2045083291034101,201,1.1910945870913565,0.021690082037821412
heloc,binary,0,e3fd592ba292ce39,lightgbm,2027,roc_auc,5577,0.7907601996084299,0.20923980039157009,125,0.23516513500362635,0.006242620060220361
heloc,binary,0,e3fd592ba292ce39,xgboost,2027,roc_auc,5577,0.7904559747391181,0.2095440252608819,102,0.49721675808541477,0.008707471890375018
credit_card_clients_default,binary,0,1206d40f44f648d5,catboost,2027,roc_auc,16000,0.7877938343034352,0.2122061656965648,173,4.578238290036097,0.014807919040322304
credit_card_clients_default,binary,0,1206d40f44f648d5,lightgbm,2027,roc_auc,16000,0.7876783183383161,0.21232168166168386,169,0.43037482583895326,0.021403079852461815
credit_card_clients_default,binary,0,1206d40f44f648d5,xgboost,2027,roc_auc,16000,0.7869525994458948,0.2130474005541052,121,1.136914359871298,0.02929593506269157
