dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
higgs-small,binclass,mlp,0,64,cumulative_ple,,62751,15688,19610,1572,1544,534529,256,12,0.5392323152114685,0.7250127485976543,0.5448805276215021,0.7172361040285569,17.378613895969465
higgs-small,binclass,mlp,0,64,local_ple,,62751,15688,19610,1572,1544,534529,256,3,0.5679612373547647,0.7015553289138194,0.5713234649973196,0.69535951045385,7.836385970003903
higgs-small,binclass,mlp,0,64,cumulative_seedmate,,62751,15688,19610,1572,1544,534529,256,7,0.5381431479926884,0.7206782253952065,0.5453237478058215,0.7185619581845997,12.820073341950774
higgs-small,binclass,mlp,0,64,basis_blend,0.2,62751,15688,19610,1572,1544,1069058,256,12,0.536918985514389,0.7248215196328404,0.5421999678600332,0.7185109637939827,25.21499986597337
higgs-small,binclass,mlp,0,64,basis_select,0.0,62751,15688,19610,1572,1544,1069058,256,12,0.5392323152114685,0.7250127485976543,0.5448805276215021,0.7172361040285569,25.21499986597337
higgs-small,binclass,mlp,0,64,seed_blend,0.55,62751,15688,19610,1572,1544,1069058,256,12,0.533723508341327,0.725395206527282,0.5400312890557903,0.7210606833248343,30.19868723792024
higgs-small,binclass,mlp,0,64,seed_select,1.0,62751,15688,19610,1572,1544,1069058,256,12,0.5381431479926884,0.7206782253952065,0.5453237478058215,0.7185619581845997,30.19868723792024
higgs-small,binclass,resnet,0,64,cumulative_ple,,62751,15688,19610,1572,1544,1193729,256,10,0.5377486869911507,0.7248852626211116,0.5424916807687842,0.7196328403875574,18.512021242873743
higgs-small,binclass,resnet,0,64,local_ple,,62751,15688,19610,1572,1544,1193729,256,2,0.5641602757686607,0.7050611932687404,0.5691651400712585,0.698470168281489,10.614379266044125
higgs-small,binclass,resnet,0,64,cumulative_seedmate,,62751,15688,19610,1572,1544,1193729,256,9,0.5346108299831239,0.7243753187149413,0.5406258767074839,0.7208057113717491,14.556992838857695
higgs-small,binclass,resnet,0,64,basis_blend,0.30000000000000004,62751,15688,19610,1572,1544,2387458,256,10,0.5326560791638395,0.7265425803161653,0.5376022930265597,0.723865374808771,29.126400508917868
