dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
higgs-small,binclass,mlp,4,32,cumulative_ple,,62751,15688,19610,804,776,337921,256,8,0.5391211810571335,0.7237378888322284,0.5439845517018977,0.7183069862315146,9.437933227978647
higgs-small,binclass,mlp,4,32,local_ple_energy,,62751,15688,19610,804,776,337921,256,2,0.5652316303196053,0.7046787353391127,0.5681095058818156,0.6985211626721061,5.994764721021056
higgs-small,binclass,mlp,4,32,energy_basis_blend,0.2,62751,15688,19610,804,776,675842,256,8,0.5379068070558387,0.7223992860785313,0.5423326105320607,0.7182049974502804,15.432697948999703
higgs-small,binclass,mlp,4,32,energy_basis_select,0.0,62751,15688,19610,804,776,675842,256,8,0.5391211810571335,0.7237378888322284,0.5439845517018977,0.7183069862315146,15.432697948999703
house,regression,mlp,4,32,cumulative_ple,,14581,3646,4557,455,439,248577,256,15,0.3457183837890625,30639.984972760547,0.3900558650493622,32545.479931733105,2.7303543840534985
house,regression,mlp,4,32,local_ple_energy,,14581,3646,4557,455,439,248577,256,6,0.42947059869766235,34150.260279067326,0.4742542803287506,35886.64985963097,1.634391875937581
house,regression,mlp,4,32,energy_basis_blend,0.2,14581,3646,4557,455,439,497154,256,15,0.3383730351924896,30312.738546002656,0.3857877850532532,32366.932184094097,4.36474625999108
house,regression,mlp,4,32,energy_basis_select,0.0,14581,3646,4557,455,439,497154,256,15,0.3457183837890625,30639.984972760547,0.3900558650493622,32545.479931733105,4.36474625999108
microsoft,regression,mlp,4,32,cumulative_ple,,100000,25000,25000,2436,2300,755713,256,13,0.8408733010292053,0.7553753556675851,0.8445264101028442,0.7570144464560755,43.94315247097984
microsoft,regression,mlp,4,32,local_ple_energy,,100000,25000,25000,2436,2300,755713,256,1,0.8633940815925598,0.7654240236028116,0.869297981262207,0.7680365132734224,11.690031772013754
microsoft,regression,mlp,4,32,energy_basis_blend,0.2,100000,25000,25000,2436,2300,1511426,256,13,0.8394774794578552,0.754748157820412,0.8436930179595947,0.7566408478636895,55.63318424299359
microsoft,regression,mlp,4,32,energy_basis_select,0.0,100000,25000,25000,2436,2300,1511426,256,13,0.8408733010292053,0.7553753556675851,0.8445264101028442,0.7570144464560755,55.63318424299359
otto,multiclass,mlp,4,32,cumulative_ple,,39601,9901,12376,483,390,257801,256,7,0.5295187148947625,0.7998182001817998,0.5310125630845193,0.7967032967032966,3.946681166999042
otto,multiclass,mlp,4,32,local_ple_energy,,39601,9901,12376,483,390,257801,256,9,0.5598075445504113,0.7921422078577921,0.5637414641386251,0.7840174531351002,4.405652439920232
otto,multiclass,mlp,4,32,energy_basis_blend,0.30000000000000004,39601,9901,12376,483,390,515602,256,9,0.5200392043820766,0.8038581961418039,0.5226118009438638,0.7995313510019393,8.352333606919274
otto,multiclass,mlp,4,32,energy_basis_select,0.0,39601,9901,12376,483,390,515602,256,9,0.5295187148947625,0.7998182001817998,0.5310125630845193,0.7967032967032966,8.352333606919274
