dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
adult,binclass,mlp,0,32,cumulative_ple,,26048,6513,16281,203,96,184065,256,8,0.30296258053388186,0.8564409642253954,0.30418848054531866,0.8583625084454272,3.1767903310246766
adult,binclass,mlp,0,32,local_ple,,26048,6513,16281,203,96,184065,256,11,0.3033865871916524,0.8572086596038692,0.30733281480981894,0.8583010871568085,3.579185578972101
adult,binclass,mlp,0,32,dual_ple,,26048,6513,16281,299,96,184150,237,8,0.3040319792690427,0.8545984953170582,0.304250310467009,0.8574411891161476,3.0971918730065227
adult,binclass,mlp,0,32,basis_blend,0.45,26048,6513,16281,203,96,368130,256,11,0.3017511533896067,0.8558268079226163,0.30415546149597134,0.8595295129291812,6.755975909996778
adult,binclass,mlp,0,32,basis_select,0.0,26048,6513,16281,203,96,368130,256,11,0.30296258053388186,0.8564409642253954,0.30418848054531866,0.8583625084454272,6.755975909996778
black-friday,regression,mlp,0,32,cumulative_ple,,100000,25000,25000,66,44,148993,256,33,0.4815181493759155,0.693026892412071,0.485953152179718,0.6962111235852859,26.263739896006882
black-friday,regression,mlp,0,32,local_ple,,100000,25000,25000,66,44,148993,256,32,0.4778411388397217,0.6903757376471518,0.4840089976787567,0.6948170885959541,27.40492771100253
black-friday,regression,mlp,0,32,dual_ple,,100000,25000,25000,110,44,149077,246,37,0.47792917490005493,0.690439373457366,0.4841739535331726,0.694935490491666,30.927816150011495
black-friday,regression,mlp,0,32,basis_blend,0.65,100000,25000,25000,66,44,297986,256,33,0.47640976309776306,0.6893409562730142,0.4819656312465668,0.6933488812777853,53.66866760700941
black-friday,regression,mlp,0,32,basis_select,1.0,100000,25000,25000,66,44,297986,256,33,0.4778411388397217,0.6903757376471518,0.4840089976787567,0.6948170885959541,53.66866760700941
california,regression,mlp,0,32,cumulative_ple,,13209,3303,4128,262,254,199169,256,35,0.1728832721710205,0.4825645598501609,0.17238681018352509,0.4818711684804562,4.397162483073771
california,regression,mlp,0,32,local_ple,,13209,3303,4128,262,254,199169,256,40,0.17021137475967407,0.4788210350666766,0.16556884348392487,0.47224594024872957,4.197906363056973
california,regression,mlp,0,32,dual_ple,,13209,3303,4128,516,254,198763,211,38,0.16916115581989288,0.4773415557207521,0.17650198936462402,0.4875888196881384,4.705630210926756
california,regression,mlp,0,32,basis_blend,0.55,13209,3303,4128,262,254,398338,256,40,0.1626749038696289,0.46810060334663106,0.1597268432378769,0.46383967239267676,8.595068846130744
california,regression,mlp,0,32,basis_select,1.0,13209,3303,4128,262,254,398338,256,40,0.17021137475967407,0.4788210350666766,0.16556884348392487,0.47224594024872957,8.595068846130744
churn,binclass,mlp,0,32,cumulative_ple,,6400,1600,2000,171,158,175873,256,9,0.34255458023799973,0.860625,0.3518603685246144,0.8535,0.8396036389749497
churn,binclass,mlp,0,32,local_ple,,6400,1600,2000,171,158,175873,256,9,0.35065948635552036,0.8575,0.3619891289859771,0.8475,0.7424968271516263
churn,binclass,mlp,0,32,dual_ple,,6400,1600,2000,329,158,176176,225,9,0.34813307291884443,0.858125,0.35797651179559675,0.852,0.8678086588624865
churn,binclass,mlp,0,32,basis_blend,0.2,6400,1600,2000,171,158,351746,256,9,0.3418536159501687,0.85875,0.35143839621772405,0.8525,1.582100466126576
churn,binclass,mlp,0,32,basis_select,0.0,6400,1600,2000,171,158,351746,256,9,0.34255458023799973,0.860625,0.3518603685246144,0.8535,1.582100466126576
diamond,regression,mlp,0,32,cumulative_ple,,34521,8631,10788,193,167,181505,256,36,0.01726582460105419,0.1310903918399564,0.01879415102303028,0.1367692752989953,9.685270729009062
diamond,regression,mlp,0,32,local_ple,,34521,8631,10788,193,167,181505,256,37,0.01781250722706318,0.13314955609418888,0.019431158900260925,0.13906779877798048,9.071853138972074
diamond,regression,mlp,0,32,dual_ple,,34521,8631,10788,360,167,181889,224,32,0.01743685081601143,0.13173804875478012,0.0189361572265625,0.13728501036048968,10.099151168949902
diamond,regression,mlp,0,32,basis_blend,0.4,34521,8631,10788,193,167,363010,256,37,0.01692359708249569,0.12978471633217392,0.0186634361743927,0.13629283136420245,18.757123867981136
diamond,regression,mlp,0,32,basis_select,0.0,34521,8631,10788,193,167,363010,256,37,0.01726582460105419,0.1310903918399564,0.01879415102303028,0.1367692752989953,18.757123867981136
