dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
adult,binclass,mlp,0,64,cumulative_ple,,26048,6513,16281,263,156,199425,256,11,0.30061587418422286,0.8564409642253954,0.30308804031257913,0.8590381426202321,3.4445504990871996
adult,binclass,mlp,0,64,local_ple,,26048,6513,16281,263,156,199425,256,11,0.30357560654316407,0.855366190695532,0.3069675188855097,0.8586081935999017,3.7497078459709883
adult,binclass,mlp,0,64,cumulative_seedmate,,26048,6513,16281,263,156,199425,256,12,0.30103235381335247,0.8541378780899739,0.30335596554369987,0.8599594619495117,3.788474506000057
adult,binclass,mlp,0,64,basis_blend,0.25,26048,6513,16281,263,156,398850,256,11,0.3001261634478041,0.8581298940580377,0.30288603693134497,0.8597137767950371,7.194258345058188
adult,binclass,mlp,0,64,basis_select,0.0,26048,6513,16281,263,156,398850,256,11,0.30061587418422286,0.8564409642253954,0.30308804031257913,0.8590381426202321,7.194258345058188
adult,binclass,mlp,0,64,seed_blend,0.45,26048,6513,16281,263,156,398850,256,12,0.30005210647605174,0.8558268079226163,0.3024613510947335,0.8603894109698421,7.233025005087256
adult,binclass,mlp,0,64,seed_select,0.0,26048,6513,16281,263,156,398850,256,12,0.30061587418422286,0.8564409642253954,0.30308804031257913,0.8590381426202321,7.233025005087256
adult,binclass,resnet,0,64,cumulative_ple,,26048,6513,16281,263,156,858625,256,10,0.3022898217022774,0.8532166436358053,0.3058914942723193,0.8585467723112831,4.714646727079526
adult,binclass,resnet,0,64,local_ple,,26048,6513,16281,263,156,858625,256,2,0.3024281995643656,0.8558268079226163,0.3049013481656441,0.8565812910754868,2.7557870568707585
adult,binclass,resnet,0,64,cumulative_seedmate,,26048,6513,16281,263,156,858625,256,10,0.3008010184087495,0.8538307999385844,0.3041058532646597,0.8591609851974694,5.340111962985247
