dataset,runs,basis_loss_wins,basis_mean_loss_reduction_pct,basis_loss_reduction_ci_low,basis_loss_reduction_ci_high,basis_mean_score_improvement_pct,basis_min_score_improvement_pct,mean_local_weight,seed_mean_loss_reduction_pct,basis_minus_seed_loss_reduction_pct,basis_vs_seed_loss_wins
adult,16,16,0.591989,0.451762,0.734409,0.097437,-0.057159,0.425000,0.410364,0.181910,11
black-friday,16,16,1.039764,0.888771,1.178617,0.521351,0.119504,0.562500,0.789126,0.251222,10
california,16,16,5.398394,4.592207,6.222899,2.740425,1.436165,0.340625,3.736019,1.705966,11
churn,16,16,1.763580,1.421672,2.116722,0.388101,-0.411039,0.325000,1.152238,0.614320,12
diamond,16,16,3.144692,1.879570,5.027674,1.600935,0.012583,0.409375,2.248099,0.910248,11
higgs-small,16,16,0.457830,0.363085,0.567265,0.208497,-0.340016,0.203125,1.065059,-0.614312,0
house,16,13,0.924461,0.417513,1.498460,0.464883,-0.183220,0.153125,4.624735,-3.939490,1
microsoft,16,16,0.220949,0.171188,0.278720,0.110552,0.039567,0.231250,0.573062,-0.354509,0
otto,16,16,2.318444,1.681147,3.049163,0.418512,-0.230831,0.343750,4.376062,-2.157053,0
