model,seed,cumulative_helmert,local_adjacent
mlp,0,0.5056131230790438,0.5032841593865804
resnet,0,0.5047183467547425,0.5032941383797896
mlp,1,0.5126746697518858,0.5071058511806482
resnet,1,0.4999376009918554,0.5097699898626358
mlp,2,0.5044674629472307,0.502062555884382
resnet,2,0.503315874000626,0.5054770835451008
mlp,3,0.5080489013896092,0.5050056266169403
resnet,3,0.5086376821893475,0.4997964002579832
mlp,4,0.5049486413136137,0.5032513539514147
resnet,4,0.5018168938779726,0.5062912098078878
mlp,5,0.5021408020993539,0.5021407414981807
resnet,5,0.5062466073443128,0.5006851770661243
mlp,6,0.4995115949436967,0.5010234275651951
resnet,6,0.4994551500008322,0.5035643085107157
mlp,7,0.5078904697221186,0.5079279616480223
resnet,7,0.508382874455862,0.5068409483017047
mlp,8,0.5041471857461515,0.5065864789247703
resnet,8,0.5064741647501882,0.5035176052064649
mlp,9,0.5051163348604291,0.5055038793639107
resnet,9,0.5042529347936222,0.5041711333098147
mlp,10,0.5036037800749482,0.5105197576793403
resnet,10,0.5036147892881043,0.5016547099878328
mlp,11,0.5115964991267774,0.5078204753669159
resnet,11,0.5031268488407965,0.5006485941578207
mlp,12,0.5055417045962678,0.5061963538213241
resnet,12,0.5010204884082884,0.5024049525137286
mlp,13,0.5064406220007469,0.5075771162050932
resnet,13,0.5067262959318513,0.5001476850594191
mlp,14,0.500923258875769,0.501997869181944
resnet,14,0.5061403179363798,0.5003243425297903
mlp,15,0.5032703372689621,0.5047118674792934
resnet,15,0.5068283129570641,0.5057144633911544
