dataset,model,seed,cumulative_helmert,local_adjacent
churn,mlp,0,0.8329222905494094,0.8344415293567836
churn,resnet,0,0.834307342781919,0.8387694319897708
churn,mlp,1,0.8368676843253114,0.8346628600865889
churn,resnet,1,0.8339803594040881,0.8387231607570591
churn,mlp,2,0.8405878914353491,0.8396933142695855
churn,resnet,2,0.8340420543810374,0.8346528346528347
churn,mlp,3,0.8363772092585651,0.839660924406687
churn,resnet,3,0.8423940118855373,0.8402562809342471
churn,mlp,4,0.8360378868853445,0.836727328252752
churn,resnet,4,0.83982750084445,0.8391519408468562
churn,mlp,5,0.8383082620370755,0.8385812623100759
churn,resnet,5,0.841703028143706,0.842543622204639
churn,mlp,6,0.8396501277857209,0.842566757820995
churn,resnet,6,0.8413390277797059,0.8437651827482335
churn,mlp,7,0.8399431789262297,0.8408963663200952
churn,resnet,7,0.8375787189346511,0.8407112813892474
churn,mlp,8,0.8339572237877322,0.8391426866003137
churn,resnet,8,0.8338230372128677,0.8431651990974026
churn,mlp,9,0.8386645505289573,0.8385473300727537
churn,resnet,9,0.8351803267057505,0.8395329073295175
churn,mlp,10,0.8353638692621744,0.8333711215067147
churn,resnet,10,0.8458874899552866,0.8391473137235849
churn,mlp,11,0.8417755197416213,0.8430464362667751
churn,resnet,11,0.8446535904163023,0.8365823450569212
churn,mlp,12,0.8392614494309408,0.8389252118065678
churn,resnet,12,0.840754467873112,0.8428844869522834
churn,mlp,13,0.8360054970224462,0.8379103294357533
churn,resnet,13,0.8280422178727262,0.8338538847013423
churn,mlp,14,0.8401513994734332,0.8365376161986332
churn,resnet,14,0.839415686873314,0.8387324150036013
churn,mlp,15,0.837751464870109,0.8359931580270562
churn,resnet,15,0.836864599576464,0.84042285737201
compustat_kor_direction,mlp,0,0.5056131230790438,0.5032841593865804
compustat_kor_direction,resnet,0,0.5047183467547425,0.5032941383797896
compustat_kor_direction,mlp,1,0.5126746697518858,0.5071058511806482
compustat_kor_direction,resnet,1,0.4999376009918554,0.5097699898626358
compustat_kor_direction,mlp,2,0.5044674629472307,0.502062555884382
compustat_kor_direction,resnet,2,0.503315874000626,0.5054770835451008
compustat_kor_direction,mlp,3,0.5080489013896092,0.5050056266169403
compustat_kor_direction,resnet,3,0.5086376821893475,0.4997964002579832
compustat_kor_direction,mlp,4,0.5049486413136137,0.5032513539514147
compustat_kor_direction,resnet,4,0.5018168938779726,0.5062912098078878
compustat_kor_direction,mlp,5,0.5021408020993539,0.5021407414981807
compustat_kor_direction,resnet,5,0.5062466073443128,0.5006851770661243
compustat_kor_direction,mlp,6,0.4995115949436967,0.5010234275651951
compustat_kor_direction,resnet,6,0.4994551500008322,0.5035643085107157
compustat_kor_direction,mlp,7,0.5078904697221186,0.5079279616480223
compustat_kor_direction,resnet,7,0.508382874455862,0.5068409483017047
compustat_kor_direction,mlp,8,0.5041471857461515,0.5065864789247703
compustat_kor_direction,resnet,8,0.5064741647501882,0.5035176052064649
compustat_kor_direction,mlp,9,0.5051163348604291,0.5055038793639107
compustat_kor_direction,resnet,9,0.5042529347936222,0.5041711333098147
compustat_kor_direction,mlp,10,0.5036037800749482,0.5105197576793403
compustat_kor_direction,resnet,10,0.5036147892881043,0.5016547099878328
compustat_kor_direction,mlp,11,0.5115964991267774,0.5078204753669159
compustat_kor_direction,resnet,11,0.5031268488407965,0.5006485941578207
compustat_kor_direction,mlp,12,0.5055417045962678,0.5061963538213241
compustat_kor_direction,resnet,12,0.5010204884082884,0.5024049525137286
compustat_kor_direction,mlp,13,0.5064406220007469,0.5075771162050932
compustat_kor_direction,resnet,13,0.5067262959318513,0.5001476850594191
compustat_kor_direction,mlp,14,0.500923258875769,0.501997869181944
compustat_kor_direction,resnet,14,0.5061403179363798,0.5003243425297903
compustat_kor_direction,mlp,15,0.5032703372689621,0.5047118674792934
compustat_kor_direction,resnet,15,0.5068283129570641,0.5057144633911544
heloc_credit_risk,mlp,0,0.7914540028607514,0.7973249184207696
heloc_credit_risk,resnet,0,0.787977671794504,0.7943207308861556
heloc_credit_risk,mlp,1,0.7947351015805851,0.7896909352426259
heloc_credit_risk,resnet,1,0.7904101074574772,0.796095751505082
heloc_credit_risk,mlp,2,0.7964503571955073,0.7914261125255496
heloc_credit_risk,resnet,2,0.7959642684962728,0.7912527940139371
heloc_credit_risk,mlp,3,0.796109696672683,0.7965400047015136
heloc_credit_risk,resnet,3,0.7949940832646035,0.7936752688429097
heloc_credit_risk,mlp,4,0.7970440229019495,0.7944721355629663
heloc_credit_risk,resnet,4,0.787935836291701,0.7895196088978138
heloc_credit_risk,mlp,5,0.7965041456991111,0.7950817386038098
heloc_credit_risk,resnet,5,0.7915635720347592,0.7897028882434267
heloc_credit_risk,mlp,6,0.794324715219756,0.7931652741420734
heloc_credit_risk,resnet,6,0.7850412179310949,0.7901152667710561
heloc_credit_risk,mlp,7,0.7966615268763223,0.7963607096895009
heloc_credit_risk,resnet,7,0.7830490511309531,0.79255766326803
heloc_credit_risk,mlp,8,0.7965559420359148,0.7929560966280584
heloc_credit_risk,resnet,8,0.7960678611698799,0.7912448253467366
heloc_credit_risk,mlp,9,0.7946633835757801,0.7957371614810564
heloc_credit_risk,resnet,9,0.7940537805349367,0.7932489451476793
heloc_credit_risk,mlp,10,0.79747034659718,0.7959104799926687
heloc_credit_risk,resnet,10,0.7936354255069069,0.7913444336867437
heloc_credit_risk,mlp,11,0.7969324615611416,0.7994425917293202
heloc_credit_risk,resnet,11,0.786166792173175,0.7902547184470661
heloc_credit_risk,mlp,12,0.796810939386333,0.796838829721535
heloc_credit_risk,resnet,12,0.7921432925736005,0.7892805488817968
heloc_credit_risk,mlp,13,0.7966435973751209,0.7978408896220062
heloc_credit_risk,resnet,13,0.7904878019626828,0.789579373901818
heloc_credit_risk,mlp,14,0.7974085894263755,0.7934800364964958
heloc_credit_risk,resnet,14,0.7927548877812441,0.7863241733503863
heloc_credit_risk,mlp,15,0.7968209002203336,0.796615707039919
heloc_credit_risk,resnet,15,0.7950677934362087,0.7952032607786185
polish_bankruptcy_2year,mlp,0,0.8388661202185791,0.8287112932604735
polish_bankruptcy_2year,resnet,0,0.8669171220400728,0.8155737704918034
polish_bankruptcy_2year,mlp,1,0.8252504553734061,0.8283925318761385
polish_bankruptcy_2year,resnet,1,0.836054189435337,0.8336634790528233
polish_bankruptcy_2year,mlp,2,0.8138888888888889,0.8230988160291438
