dataset,representation,target_kappa,model,remedy,seed,epoch,train_loss,val_primary,val_roc_auc,val_accuracy
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,1,0.7100668885803223,0.5064241205881566,0.5064241205881566,0.5299
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,2,0.6842913627433777,0.5031772810918407,0.5031772810918407,0.5412
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,3,0.6782347100067139,0.5063552341963717,0.5063552341963717,0.5398
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,4,0.6744141716766358,0.5073938858106465,0.5073938858106465,0.52435
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,5,0.6711088982391358,0.5047747672593503,0.5047747672593503,0.5233
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,6,0.6665824463272094,0.5039086905404062,0.5039086905404062,0.52505
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,7,0.6624149514198303,0.5032101028025668,0.5032101028025668,0.52045
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,8,0.6574650680923462,0.5034692400598454,0.5034692400598454,0.52075
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,9,0.6519801333999634,0.5027359062113024,0.5027359062113024,0.52435
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,7,10,0.6460732447052002,0.5051625491278187,0.5051625491278187,0.51805
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,1,0.7083242897987365,0.5052515297172514,0.5052515297172514,0.51625
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,2,0.6834550662231446,0.5029378714798334,0.5029378714798334,0.53385
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,3,0.6776590042686462,0.5041673797892244,0.5041673797892244,0.5361
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,4,0.6742647088432312,0.5051272226425186,0.5051272226425186,0.53265
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,5,0.6698475902938843,0.5027822190858915,0.5027822190858915,0.5298
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,6,0.6661498692893982,0.5015134234891304,0.5015134234891304,0.53055
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,8,7,0.6622810060119629,0.5032394524477253,0.5032394524477253,0.5228
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,1,0.7144247691917419,0.5024451792665635,0.5024451792665635,0.56425
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,2,0.6846230253410339,0.5062980163885771,0.5062980163885771,0.5591
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,3,0.6790403491401672,0.5088890274999913,0.5088890274999913,0.5454
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,4,0.6745760281181336,0.5090473373986639,0.5090473373986639,0.53155
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,5,0.67025803024292,0.5050342303409636,0.5050342303409636,0.532
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,6,0.6670231676483155,0.5077988192757392,0.5077988192757392,0.53845
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,7,0.6635093944358825,0.5067846401236112,0.5067846401236112,0.5304
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,8,0.6578724589157104,0.5038252438736599,0.5038252438736599,0.5235
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,9,0.6527540465927124,0.5050662578548737,0.5050662578548737,0.5175
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,9,10,0.6473279522132873,0.5064594674374775,0.5064594674374775,0.5248
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,1,0.7118979999160766,0.510556504807421,0.510556504807421,0.52505
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,2,0.6844885731506347,0.5062884605717579,0.5062884605717579,0.55925
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,3,0.6785263598060608,0.5105191571930441,0.5105191571930441,0.5365
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,4,0.6746375586509704,0.5067420436828409,0.5067420436828409,0.5231
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,5,0.6710194377708435,0.505933525869042,0.505933525869042,0.53335
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,6,0.6668830221939087,0.5070951863517155,0.5070951863517155,0.53025
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,10,7,0.662953715763092,0.5037066743618228,0.5037066743618228,0.5188
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,1,0.7057257605743408,0.5073316380896834,0.5073316380896834,0.5028
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,2,0.6840997630119324,0.5080463439500851,0.5080463439500851,0.53765
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,3,0.6775422101211548,0.5061098630172387,0.5061098630172387,0.5272
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,4,0.6739559812927246,0.5059744371870807,0.5059744371870807,0.5289
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,5,0.6697069743537902,0.5039228689899754,0.5039228689899754,0.52685
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,6,0.6663582880210877,0.504532450683356,0.504532450683356,0.536
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,7,0.6610063184547424,0.5056411036195612,0.5056411036195612,0.51535
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,11,8,0.6569227366828918,0.5041307041875381,0.5041307041875381,0.50825
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,1,0.7175487449455261,0.4972286451192721,0.4972286451192721,0.553
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,2,0.6837295531463623,0.5060584845924444,0.5060584845924444,0.5525
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,3,0.6777121909332275,0.5026227637110419,0.5026227637110419,0.54155
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,4,0.6732908215522766,0.5031811604378269,0.5031811604378269,0.52985
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,5,0.6692276538467408,0.5022774815542443,0.5022774815542443,0.52245
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,6,0.6654408831405639,0.5025695677973799,0.5025695677973799,0.52075
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,7,0.660886865158081,0.49791150165094683,0.49791150165094683,0.51395
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,12,8,0.656660046634674,0.5003600358899578,0.5003600358899578,0.51655
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,1,0.7074244444084168,0.5057370996142025,0.5057370996142025,0.5169
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,2,0.6828381542587281,0.503292775636518,0.503292775636518,0.5295
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,3,0.6777663261222839,0.5038507243548427,0.5038507243548427,0.53615
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,4,0.6735820333671569,0.5022621830835243,0.5022621830835243,0.53505
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,5,0.6701330248260498,0.5012608638106107,0.5012608638106107,0.5231
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,6,0.6659897311782836,0.5041023269243788,0.5041023269243788,0.5212
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,13,7,0.6615575224876403,0.49722748437007935,0.49722748437007935,0.5131
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,1,0.7109019487762451,0.5071251112804651,0.5071251112804651,0.5476
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,2,0.6835242028427124,0.5069273868192917,0.5069273868192917,0.55025
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,3,0.6780201638793946,0.5079309054064653,0.5079309054064653,0.5413
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,4,0.6745037064743042,0.5044068301292736,0.5044068301292736,0.53285
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,5,0.6706409473228454,0.5029172223626152,0.5029172223626152,0.5299
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,6,0.6670014309120178,0.4991320803371622,0.4991320803371622,0.52315
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,7,0.6623479016494751,0.5007135858392509,0.5007135858392509,0.51985
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,8,0.6579805123710633,0.5014467720486422,0.5014467720486422,0.5221
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,14,9,0.6541069872665405,0.4984225723931016,0.4984225723931016,0.5215
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,1,0.6996378286933899,0.5017767302796934,0.5017767302796934,0.5118
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,2,0.6827908940696716,0.5074323279911481,0.5074323279911481,0.5376
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,3,0.6776420195579529,0.5012823834897234,0.5012823834897234,0.53175
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,4,0.673742629776001,0.5024008009739622,0.5024008009739622,0.52615
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,5,0.6702652813529968,0.5031174974174094,0.5031174974174094,0.5198
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,6,0.6660297430992127,0.5055682716987221,0.5055682716987221,0.5285
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,7,0.6622197994995117,0.5059127342036773,0.5059127342036773,0.51185
compustat_kor_direction,cumulative_helmert,1.0,resnet,adamw,15,8,0.6560027026939392,0.500875362712486,0.500875362712486,0.52005
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,1,0.7136165160942077,0.5026231251724131,0.5026231251724131,0.5242
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,2,0.6851915055656433,0.5053751240512517,0.5053751240512517,0.5484
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,3,0.6783954754829407,0.5033936997242234,0.5033936997242234,0.53885
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,4,0.6748860865020752,0.503331956012778,0.503331956012778,0.53255
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,5,0.6707524171829223,0.5019160405468428,0.5019160405468428,0.52995
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,6,0.6671127500915527,0.4993659611174882,0.4993659611174882,0.52195
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,7,0.6627029028511048,0.5025682746820512,0.5025682746820512,0.51765
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,3,8,0.6582862395858765,0.5026988691482447,0.5026988691482447,0.5156
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,4,1,0.7126046417427063,0.5070958430913903,0.5070958430913903,0.50585
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,4,2,0.6851865943336487,0.4987148928224779,0.4987148928224779,0.55005
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,4,3,0.6784323656082153,0.5018306287520773,0.5018306287520773,0.5438
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,4,4,0.6745212457656861,0.4986205666775523,0.4986205666775523,0.5285
compustat_kor_direction,local_adjacent,1.0,resnet,adamw,4,5,0.6707491772270202,0.5010697423832224,0.5010697423832224,0.528
