dataset,family,factor,applicable,view_count,expected_behavior,identity_selected_config,selected_configs,selection_switch_fraction,validation_maximum_loss_range,frozen_max_probability_deviation,frozen_schema_risk,frozen_hard_label_flip_fraction,selected_max_probability_deviation,selected_schema_risk,selected_hard_label_flip_fraction,selection_minus_frozen_schema_risk,selection_minus_frozen_orbit_mean_brier
churn,ordinal_forest_full,category_ids,True,4,not_invariant_because_nominal_codes_are_treated_as_ordered_values,2,2;2;1;2,0.25,0.008606802073730463,0.4040973832372851,0.001013611203581032,0.034666666666666665,0.43630250029077305,0.00208322603223995,0.04666666666666667,0.001069614828658918,-0.0012995301337896115
churn,ordinal_forest_full,class_ids,True,2,invariant_except_ties_or_numerics,2,2;2,0.0,0.0,3.3306690738754696e-16,1.8941380570656687e-33,0.0,3.3306690738754696e-16,1.8941380570656687e-33,0.0,0.0,0.0
churn,ordinal_forest_full,numeric_units,True,4,invariant_to_positive_affine_per_feature_changes_except_numerics,2,2;2;2;2,0.0,0.0006516666666666615,0.014248575271859854,5.719106936361967e-07,0.0,0.014248575271859854,5.719106936361967e-07,0.0,0.0,0.0
churn,onehot_forest_full,feature_order,True,4,same_model_class_but_tie_breaking_may_be_position_sensitive,2,2;2;2;2,0.0,0.0016247222222222635,0.011395599906629306,3.06477791666438e-06,0.0,0.011395599906629306,3.06477791666438e-06,0.0,0.0,0.0
churn,onehot_forest_full,category_ids,True,4,invariant_except_ties_or_numerics,2,2;2;2;2,0.0,0.0015208333333333046,0.01066587563917848,2.225325165652903e-06,0.0013333333333333333,0.01066587563917848,2.225325165652903e-06,0.0013333333333333333,0.0,0.0
churn,onehot_forest_full,class_ids,True,2,invariant_except_ties_or_numerics,2,2;2,0.0,0.0,3.3306690738754696e-16,1.8467160445391836e-33,0.0,3.3306690738754696e-16,1.8467160445391836e-33,0.0,0.0,0.0
churn,onehot_forest_full,numeric_units,True,4,invariant_after_standardization_except_ties_or_numerics,2,2;2;2;2,0.0,2.7755575615628914e-17,2.220446049250313e-16,2.4550947444795756e-33,0.0,2.220446049250313e-16,2.4550947444795756e-33,0.0,0.0,0.0
churn,native_histgb,feature_order,True,4,same_model_class_but_histogram_ties_may_be_position_sensitive,3,3;3;3;3,0.0,0.0028286086305759905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churn,native_histgb,category_ids,True,4,invariant_under_native_nominal_partitioning_except_ties_or_numerics,3,3;3;3;3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churn,native_histgb,class_ids,True,2,invariant_except_ties_or_numerics,3,3;3,0.0,0.0035987564504527114,0.0957394609267892,0.00017561399480959822,0.008,0.0957394609267892,0.00017561399480959822,0.008,0.0,0.0
