cell,rho,effect_gap,n_train,seed,world,model,true_ate,plugin_ate,causal_absolute_error,predictive_rmse,predictive_mae,predictive_r2,mean_80_interval_width,runtime_seconds
0,0.25,0.6,128,0,low_effect,ridge,-0.04999999999999999,0.19846570491790771,0.2484657049179077,1.0056881,0.8051988,0.012116542322547441,,0.0021343231201171875
0,0.25,0.6,128,0,low_effect,tabpfn,-0.04999999999999999,0.07057757675647736,0.12057757675647734,1.0098679,0.8100225,0.003887914214263488,2.283735752105713,2.349930763244629
0,0.25,0.6,128,0,low_effect,tabpfn_shuffled_outcome,-0.04999999999999999,,,1.023201,0.820225,-0.022588849749556994,,
0,0.25,0.6,128,0,high_effect,ridge,0.55,0.22375726699829102,0.32624273300170903,0.9838593,0.7877511,0.020942190005145522,,0.0016417503356933594
0,0.25,0.6,128,0,high_effect,tabpfn,0.55,0.06030907481908798,0.48969092518091206,0.9856364,0.7896677,0.017402122346560578,2.5613105297088623,0.7991757392883301
0,0.25,0.6,128,0,high_effect,tabpfn_shuffled_outcome,0.55,,,0.9905065,0.7933393,0.007668028133032134,,
0,0.25,0.6,128,1,low_effect,ridge,-0.04999999999999999,0.28657612204551697,0.33657612204551696,0.96537536,0.77271336,0.020262727188953944,,0.0020041465759277344
0,0.25,0.6,128,1,low_effect,tabpfn,-0.04999999999999999,0.31128042936325073,0.3612804293632507,0.9498264,0.7610309,0.05156905607000706,2.3054473400115967,0.8215227127075195
0,0.25,0.6,128,1,low_effect,tabpfn_shuffled_outcome,-0.04999999999999999,,,0.98254645,0.78618217,-0.014900200579138989,,
0,0.25,0.6,128,1,high_effect,ridge,0.55,0.32744142413139343,0.2225585758686066,0.981465,0.7808523,0.06306980526913608,,0.001583099365234375
0,0.25,0.6,128,1,high_effect,tabpfn,0.55,0.24887113273143768,0.30112886726856236,0.98433274,0.78359175,0.05758661312660118,2.4592509269714355,0.7607519626617432
0,0.25,0.6,128,1,high_effect,tabpfn_shuffled_outcome,0.55,,,1.0237842,0.81686246,-0.019469919151843706,,
0,0.25,0.6,128,2,low_effect,ridge,-0.04999999999999999,0.2541593313217163,0.3041593313217163,0.99834526,0.79908615,0.004339513076003221,,0.001566171646118164
0,0.25,0.6,128,2,low_effect,tabpfn,-0.04999999999999999,0.10381688922643661,0.1538168892264366,0.9880308,0.78642654,0.024806643347930146,2.498682975769043,0.7308809757232666
0,0.25,0.6,128,2,low_effect,tabpfn_shuffled_outcome,-0.04999999999999999,,,1.0071996,0.801217,-0.013399888913698588,,
0,0.25,0.6,128,2,high_effect,ridge,0.55,0.2620084583759308,0.28799154162406926,0.9766558,0.7783346,0.037348149060794644,,0.002050638198852539
0,0.25,0.6,128,2,high_effect,tabpfn,0.55,0.18724632263183594,0.3627536773681641,0.9690965,0.7749047,0.052192141899142785,2.502767324447632,0.8503267765045166
0,0.25,0.6,128,2,high_effect,tabpfn_shuffled_outcome,0.55,,,1.0026472,0.8029556,-0.014571159123082378,,
0,0.25,0.6,128,3,low_effect,ridge,-0.04999999999999999,0.2913874089717865,0.3413874089717865,1.0176662,0.8094044,-0.019244698745487065,,0.002909421920776367
0,0.25,0.6,128,3,low_effect,tabpfn,-0.04999999999999999,0.23487722873687744,0.28487722873687743,0.9885505,0.78195703,0.0382426647134686,2.287256956100464,0.6767563819885254
0,0.25,0.6,128,3,high_effect,ridge,0.55,0.3133794069290161,0.23662059307098393,0.9556589,0.75939715,0.04305396246641113,,0.002112865447998047
0,0.25,0.6,128,3,high_effect,tabpfn,0.55,0.2116175889968872,0.33838241100311284,0.9551174,0.7625982,0.044138092014506025,2.52043080329895,0.7967031002044678
0,0.25,0.6,128,4,low_effect,ridge,-0.04999999999999999,0.4126293957233429,0.4626293957233429,0.9887551,0.79721725,0.03467184082773678,,0.0020990371704101562
0,0.25,0.6,128,4,low_effect,tabpfn,-0.04999999999999999,0.3947206735610962,0.4447206735610962,0.98196405,0.7912514,0.047886736096013016,2.29282808303833,1.1444008350372314
0,0.25,0.6,128,4,high_effect,ridge,0.55,0.30420827865600586,0.24579172134399419,0.9966474,0.7930311,0.026534860540074923,,0.010069608688354492
0,0.25,0.6,128,4,high_effect,tabpfn,0.55,0.32733505964279175,0.2226649403572083,0.9854265,0.7820674,0.04833127066665799,2.444342613220215,1.5119338035583496
0,0.25,0.6,128,5,low_effect,ridge,-0.04999999999999999,0.14063648879528046,0.19063648879528045,0.99051183,0.79694545,0.03339123502898844,,0.010567665100097656
0,0.25,0.6,128,5,low_effect,tabpfn,-0.04999999999999999,0.014591777697205544,0.06459177769720553,1.004463,0.8060349,0.005970380300329259,2.2811756134033203,1.6225814819335938
0,0.25,0.6,128,5,high_effect,ridge,0.55,0.05773591622710228,0.49226408377289776,1.0016531,0.79619825,-0.01642292055538852,,0.0019481182098388672
0,0.25,0.6,128,5,high_effect,tabpfn,0.55,-0.001751873642206192,0.5517518736422062,0.9952837,0.79142827,-0.0035374226789324226,2.5605392456054688,1.1803879737854004
0,0.25,0.6,128,6,low_effect,ridge,-0.04999999999999999,0.2779741585254669,0.3279741585254669,0.9853801,0.78729415,0.02374168367702456,,0.001901865005493164
0,0.25,0.6,128,6,low_effect,tabpfn,-0.04999999999999999,0.21146650612354279,0.2614665061235428,0.98737836,0.78953147,0.019778202969603198,1.9716665744781494,1.0867104530334473
0,0.25,0.6,128,6,high_effect,ridge,0.55,0.11294709146022797,0.4370529085397721,0.99565554,0.7963497,0.024981183957811015,,0.010126829147338867
0,0.25,0.6,128,6,high_effect,tabpfn,0.55,0.010570436716079712,0.5394295632839203,1.0101326,0.80673105,-0.0035788916948560345,2.1745290756225586,1.305617094039917
0,0.25,0.6,128,7,low_effect,ridge,-0.04999999999999999,0.28711503744125366,0.33711503744125365,0.97064644,0.77862394,0.046530156694141844,,0.010457038879394531
0,0.25,0.6,128,7,low_effect,tabpfn,-0.04999999999999999,0.1663162112236023,0.21631621122360228,0.97198826,0.7763945,0.04389220597971577,2.185122013092041,1.0420300960540771
0,0.25,0.6,128,7,high_effect,ridge,0.55,0.2976517677307129,0.25234823226928715,0.9979332,0.79156065,-0.010412000218553263,,0.001965045928955078
0,0.25,0.6,128,7,high_effect,tabpfn,0.55,0.23067229986190796,0.3193277001380921,0.9869391,0.78366506,0.011728499986824348,2.2248799800872803,0.9811785221099854
