cell,q,p,association,nuisance_features,n_train,seed,world,true_ate,plugin_ate,causal_absolute_error,runtime_seconds,auroc,accuracy,log_loss,brier,mean_confidence
0,0.0,0.05,0.9,0,512,0,randomized_causal,0.9,0.9125381,0.012538111209869363,2.0682971477508545,0.9533596611721612,0.9599609375,0.16944952865517063,0.03855397481233131,0.9568324
0,0.0,0.05,0.9,0,512,0,hidden_confounding,0.0,0.90203404,0.9020340442657471,0.6185188293457031,0.9555702335454854,0.9541015625,0.1954560777182292,0.04462110258260703,0.9518113
0,0.0,0.05,0.9,0,512,1,randomized_causal,0.9,0.9467473,0.04674730300903318,0.5052928924560547,0.953044871794872,0.953125,0.19341743086929972,0.04491839953106528,0.9663175
0,0.0,0.05,0.9,0,512,1,hidden_confounding,0.0,0.9397051,0.9397050738334656,0.3556485176086426,0.9481861231841199,0.94921875,0.21117293668867765,0.048844014705612455,0.9707995
0,0.0,0.05,0.9,0,512,2,randomized_causal,0.9,0.95605063,0.05605063438415525,0.3702414035797119,0.9496760193165842,0.9521484375,0.20282787141332909,0.04616064909284523,0.9769243
0,0.0,0.05,0.9,0,512,2,hidden_confounding,0.0,0.920066,0.9200659990310669,0.7110235691070557,0.9450138958877334,0.9443359375,0.22385477520018748,0.05337635728530051,0.9592523
0,0.0,0.05,0.9,0,512,3,randomized_causal,0.9,0.92829883,0.028298830986022927,0.370607852935791,0.9587968756577613,0.9560546875,0.1800708167363755,0.041976163255061094,0.96206033
0,0.0,0.05,0.9,0,512,3,hidden_confounding,0.0,0.90260226,0.9026022553443909,0.33908653259277344,0.9607738031651075,0.958984375,0.17139908702406045,0.03936235907147302,0.9569118
0,0.0,0.05,0.9,0,512,4,randomized_causal,0.9,0.92294,0.022940015792846657,0.4363276958465576,0.9431925851213399,0.9462890625,0.21267193983826493,0.05109622582165542,0.9588453
0,0.0,0.05,0.9,0,512,4,hidden_confounding,0.0,0.9020537,0.902053713798523,0.466860294342041,0.9349455781534343,0.94140625,0.22623594958935783,0.05547304341763272,0.9497763
0,0.0,0.05,0.9,0,512,5,randomized_causal,0.9,0.92958575,0.029585754871368386,0.3595702648162842,0.946135152354465,0.94921875,0.2096950617839542,0.04882205781751878,0.964738
0,0.0,0.05,0.9,0,512,5,hidden_confounding,0.0,0.9411882,0.9411882162094116,0.34754014015197754,0.9637841240771475,0.9619140625,0.16526644092340592,0.036741468212704735,0.9730611
0,0.0,0.05,0.9,0,512,6,randomized_causal,0.9,0.93421507,0.03421506881713865,0.6338412761688232,0.9548809796292058,0.955078125,0.18761348980768797,0.043176882048914456,0.9672154
0,0.0,0.05,0.9,0,512,6,hidden_confounding,0.0,0.9368344,0.9368343949317932,0.3575296401977539,0.9547635182994298,0.9501953125,0.1994469308209557,0.04742735202735517,0.9644805
0,0.0,0.05,0.9,0,512,7,randomized_causal,0.9,0.93735,0.03734997510910032,0.3596799373626709,0.9626314942035208,0.9599609375,0.17023917165183236,0.038799124842628256,0.9640626
0,0.0,0.05,0.9,0,512,7,hidden_confounding,0.0,0.89639926,0.8963992595672607,0.45788025856018066,0.9308403906309607,0.9326171875,0.25296797670652993,0.06357630691733238,0.940224
0,0.0,0.05,0.9,0,512,8,randomized_causal,0.9,0.9277338,0.027733778953552224,0.3841216564178467,0.9515586843711845,0.951171875,0.20171929205592454,0.04686728723426097,0.96383405
0,0.0,0.05,0.9,0,512,8,hidden_confounding,0.0,0.92833114,0.9283311367034912,0.4405252933502197,0.9580635190774738,0.9560546875,0.19024241443521797,0.042512676458516536,0.9650039
0,0.0,0.05,0.9,0,512,9,randomized_causal,0.9,0.92161065,0.02161065340042112,0.423276424407959,0.9593143707434327,0.9599609375,0.17153850111787267,0.038702818635348225,0.96002775
0,0.0,0.05,0.9,0,512,9,hidden_confounding,0.0,0.9126255,0.9126254916191101,0.38959646224975586,0.9540606992226187,0.953125,0.18992396738206255,0.04474158657565594,0.9555734
0,0.0,0.05,0.9,0,512,10,randomized_causal,0.9,0.91774285,0.017742848396301247,0.5648722648620605,0.9581856676903123,0.9619140625,0.16822862492652246,0.037304243205855146,0.9550436
0,0.0,0.05,0.9,0,512,10,hidden_confounding,0.0,0.93695426,0.9369542598724365,0.4250211715698242,0.9524738564212599,0.951171875,0.20176578381727395,0.04695343826939825,0.96601415
0,0.0,0.05,0.9,0,512,11,randomized_causal,0.9,0.94334006,0.04334006309509275,0.7480134963989258,0.9559349190302707,0.9541015625,0.1963057967502891,0.044312308852474405,0.97007656
0,0.0,0.05,0.9,0,512,11,hidden_confounding,0.0,0.9314492,0.9314491748809814,0.4002063274383545,0.9463666828427645,0.943359375,0.22220364911255558,0.05377088082160571,0.9634099
0,0.0,0.05,0.9,0,512,12,randomized_causal,0.9,0.9503741,0.05037412643432615,0.7668910026550293,0.9408058146855148,0.94140625,0.23844154738083106,0.056173929042107495,0.9728375
0,0.0,0.05,0.9,0,512,12,hidden_confounding,0.0,0.93283755,0.9328375458717346,0.4346499443054199,0.9598775440135808,0.9560546875,0.1840319986588955,0.042211808676349855,0.9674493
0,0.0,0.05,0.9,0,512,13,randomized_causal,0.9,0.9262127,0.02621272802352903,0.7630441188812256,0.9455328330564625,0.943359375,0.22349499201317458,0.05388033848970926,0.9640372
0,0.0,0.05,0.9,0,512,13,hidden_confounding,0.0,0.91647923,0.916479229927063,0.44077253341674805,0.9483027165697009,0.955078125,0.1854810182302073,0.04304990083597712,0.9586683
0,0.0,0.05,0.9,0,512,14,randomized_causal,0.9,0.9544699,0.05446991920471189,0.7479987144470215,0.9373261391344829,0.9384765625,0.2636999088148593,0.059562994437967545,0.9778106
0,0.0,0.05,0.9,0,512,14,hidden_confounding,0.0,0.9456677,0.9456676840782166,0.41350817680358887,0.9586124420166016,0.955078125,0.18716030352975352,0.04314639409776086,0.97209704
0,0.0,0.05,0.9,0,2048,0,randomized_causal,0.9,0.9322634,0.03226337432861326,0.65057373046875,0.9555080536707623,0.9482421875,0.20743210883437552,0.049365798775126216,0.9666523
0,0.0,0.05,0.9,0,2048,0,hidden_confounding,0.0,0.9380474,0.9380474090576172,0.4053318500518799,0.9578854995326122,0.951171875,0.19686126427373302,0.04655813955404872,0.9674177
0,0.0,0.05,0.9,0,2048,1,randomized_causal,0.9,0.93039906,0.03039906024932859,0.37807250022888184,0.9491373784852045,0.951171875,0.19804323501732357,0.046664374297439415,0.9655795
