model_seed,with_assumptions,steps,final_loss,runtime_seconds,parameters
13,False,5000,0.08527249597012997,22.19632387161255,8833
13,True,5000,0.0020490243652602656,23.000115394592285,8961
31,False,5000,0.08613496646285057,22.11961317062378,8833
31,True,5000,0.0019716501916991545,22.277722358703613,8961
53,False,5000,0.08553297437727451,22.18384861946106,8833
53,True,5000,0.0019491026340983809,23.040944576263428,8961
71,False,5000,0.08630357563495636,23.167614936828613,8833
71,True,5000,0.0020707490539643913,23.303925037384033,8961
97,False,5000,0.08529187306761742,22.56766676902771,8833
97,True,5000,0.0019877227337565273,24.110507249832153,8961
