backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
tabm,STRING_BENCHMARK,medical_charges,1,harmonic,-0.0040469576393892,0.0029252765135977,-0.0010131286645767,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,kernel_ridge,0.0934937364851349,0.072183503446524,0.0505444854618071,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,knn_1,0.0756714892577065,0.0585357759397744,0.0365019240569519,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,knn_10,0.0566134683827535,0.0514449866636186,0.0176786436110202,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,knn_3,0.0670293276790066,0.0815813593619939,-0.0016515703292785,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,knn_5,0.0492019695129966,0.0633409091165571,0.0004472575374022,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,rbf,-0.0041066915223181,0.0028368356745658,-0.0013537115695164,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,rbf_double,-0.0050422985072356,0.0031697642205153,-0.0014512439965295,20,20,52,True
tabm,STRING_BENCHMARK,medical_charges,1,rbf_half,0.0005075490759251,0.0041373792929094,-0.000960197269324,20,20,52,True
tabm,NYC_TLC,tlc_pickup_zone,0,harmonic,-0.0070710120368588,0.0047530216081189,-0.0025882503453351,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,kernel_ridge,-0.0078265691902739,0.0098971706696884,0.0011396727436654,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,knn_1,0.0073181684224718,0.013317318007485,-0.0223312784186458,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,knn_10,-0.0079780344971038,0.0142140848286836,0.00472207536303,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,knn_3,0.0079779620032246,0.0100611948613127,0.0030966774294418,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,knn_5,0.003033476308776,0.0090645921075949,0.0058086039910847,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,rbf,-0.0078614036923526,0.0052744912153829,-0.003621665213281,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,0,rbf_double,-0.0023338613568117,0.0026726753951352,-0.0021403413265112,18,19,258,True
