dataset,prediction_representation,retrieval_representation,n_seeds,score_mean,score_sd,delta_vs_raw_mean,delta_vs_raw_sd
adult,localwarp,localwarp,3,0.8190104166666666,0.003697205954297069,-0.01171875,0.004475171577105312
adult,localwarp,raw,3,0.8317057291666666,0.006928319223239834,0.0009765625,0.00931581251383736
adult,raw,localwarp,3,0.8291015625,0.004475171577105312,-0.0016276041666666667,0.006859149578680169
adult,raw,raw,3,0.8307291666666666,0.002457628396898032,0.0,0.0
black-friday,localwarp,localwarp,3,-0.7942274982137004,0.009782911923777534,-0.023185729225685847,0.014694725881990618
black-friday,localwarp,raw,3,-0.7629672592965875,0.01078923693997754,0.008074509691427126,0.0131800478886858
black-friday,raw,localwarp,3,-0.7932672895032291,0.005082741842187514,-0.022225520515214498,0.007676592881864881
black-friday,raw,raw,3,-0.7710417689880146,0.006538668278261191,0.0,0.0
california,localwarp,localwarp,3,-0.45567528440722055,0.01061491595234902,-0.03501149576632576,0.007808542656417713
california,localwarp,raw,3,-0.4192624980322224,0.004026568551237917,0.0014012906086724637,0.00689019845293106
california,raw,localwarp,3,-0.44102642761784794,0.0038429876384041706,-0.0203626389769531,0.004882726992697028
california,raw,raw,3,-0.4206637886408948,0.0031230919538759515,0.0,0.0
churn,localwarp,localwarp,3,0.8424479166666666,0.0053784868625840745,-0.017252604166666668,0.00481726842023071
churn,localwarp,raw,3,0.8590494791666666,0.007832818629893221,-0.0006510416666666666,0.008305566941518929
churn,raw,localwarp,3,0.8509114583333334,0.011105938873197916,-0.0087890625,0.0112622681588582
churn,raw,raw,3,0.8597005208333334,0.0005638186222555019,0.0,0.0
diamond,localwarp,localwarp,3,-0.1991349982208527,0.0023508826762658496,0.0009003563909895281,0.003316978222817452
diamond,localwarp,raw,3,-0.19125350679159903,0.0017711841857267754,0.008781847820243225,0.001327637646365301
diamond,raw,localwarp,3,-0.19617870245658076,0.0038813845925464757,0.0038566521552614863,0.0027789723459234177
diamond,raw,raw,3,-0.20003535461184221,0.0017384501437079103,0.0,0.0
higgs-small,localwarp,localwarp,3,0.6350911458333334,0.009974969691435272,0.009114583333333334,0.009878900329097343
higgs-small,localwarp,raw,3,0.646484375,0.012000200905707527,0.0205078125,0.005940197783494355
higgs-small,raw,localwarp,3,0.6315104166666666,0.008189938558209073,0.005533854166666667,0.011568590914008373
higgs-small,raw,raw,3,0.6259765625,0.0166875073150733,0.0,0.0
house,localwarp,localwarp,3,-0.635351899237688,0.009186675677158293,0.018176276903866362,0.013903649411693714
house,localwarp,raw,3,-0.6127937140159385,0.01917100725887109,0.0407344621256159,0.006039130764831664
house,raw,localwarp,3,-0.6161904627634603,0.007752004984878855,0.03733771337809403,0.02056797438983802
house,raw,raw,3,-0.6535281761415545,0.013132781636245152,0.0,0.0
otto,localwarp,localwarp,3,0.7115885416666666,0.014659284178642828,-0.033854166666666664,0.014917238590351043
otto,localwarp,raw,3,0.7607421875,0.006098630857810936,0.015299479166666666,0.008305566941518929
otto,raw,localwarp,3,0.75,0.00931581251383736,0.004557291666666667,0.01140252596883919
otto,raw,raw,3,0.7454427083333334,0.0022552744890219838,0.0,0.0
