dataset,task,model,method,cells,score_mean,score_sd,score_gain_mean,score_gain_sd,proxy_risk_mean,proxy_risk_change_mean,risk_spearman_mean,risk_spearman_gain_mean,lambda_mean,lambda_nonzero_fraction,uncertainty_iqr
Bike_Sharing_Demand,regression,ModernNCA,distance,9,-0.266351238319868,0.009209501185314875,0.0,0.0,0.12916178883683138,0.0,0.3810996485849421,0.0,0.0,0.0,0.1150487366442879
Bike_Sharing_Demand,regression,ModernNCA,oof_reliability,9,-0.2664771718457939,0.009355098933338671,-0.00012593352592591792,0.0003778005777777538,0.12730512398896585,-0.0018566648478655326,0.3812125907859501,0.00011294220100801746,0.0011111111111111111,0.1111111111111111,0.1150487366442879
Bike_Sharing_Demand,regression,ModernNCA,permuted_reliability,9,-0.266351238319868,0.009209501185314875,0.0,0.0,0.12916178883683138,0.0,0.3810996485849421,0.0,0.0,0.0,0.1150487366442879
Bike_Sharing_Demand,regression,TabR,distance,9,-0.2988389597032908,0.015055073009518544,0.0,0.0,0.16749639899070543,0.0,0.30428406905904987,0.0,0.0,0.0,0.1150487366442879
Bike_Sharing_Demand,regression,TabR,oof_reliability,9,-0.29608637067890864,0.01350226922071867,0.002752589024382135,0.002533628488324958,0.16293360981530391,-0.004562789175401526,0.30491716736833463,0.0006330983092847137,0.006666666666666666,0.6666666666666666,0.1150487366442879
Bike_Sharing_Demand,regression,TabR,permuted_reliability,9,-0.29935068824271843,0.014261165440716182,-0.0005117285394276275,0.0010158539246583585,0.1732939273808572,0.005797528390151759,0.3041941988729557,-8.987018609418134e-05,0.005555555555555556,0.3333333333333333,0.1150487366442879
MagicTelescope,classification,ModernNCA,distance,9,0.8682183159722222,0.003421841803650491,0.0,0.0,0.26326231971486574,0.0,0.5864735035729889,0.0,0.0,0.0,0.29744910697142285
MagicTelescope,classification,ModernNCA,oof_reliability,9,0.8683268229166666,0.0034179687500000013,0.00010850694444444444,0.00032552083333333337,0.24149765101820878,-0.02176466869665698,0.5889448374872079,0.002471333914218992,0.025555555555555557,0.3333333333333333,0.29744910697142285
MagicTelescope,classification,ModernNCA,permuted_reliability,9,0.8683268229166666,0.003417968749999999,0.00010850694444444444,0.00032552083333333337,0.2658927239657108,0.002630404250845054,0.5839415151949606,-0.0025319883780282604,0.14444444444444446,0.2222222222222222,0.29744910697142285
MagicTelescope,classification,TabR,distance,9,0.8656684027777778,0.002657035761281667,0.0,0.0,0.25949794983898755,0.0,0.3971263365412332,0.0,0.0,0.0,0.29744910697142285
MagicTelescope,classification,TabR,oof_reliability,9,0.8656141493055556,0.0026830796747777563,-5.425347222222222e-05,0.0010196910877393935,0.2547077960314507,-0.004790153807536828,0.39837740152521356,0.0012510649839803161,0.01,0.5555555555555556,0.29744910697142285
MagicTelescope,classification,TabR,permuted_reliability,9,0.865234375,0.0030198527531379213,-0.00043402777777777775,0.002734423440171133,0.2633181064075971,0.003820156568609592,0.3874178501715841,-0.009708486369649168,0.24777777777777776,0.5555555555555556,0.29744910697142285
