dataset,task,model,method,cells,score_mean,score_sd,score_gain_vs_model_mean,score_gain_vs_proxy_mean,k_mean,k_16_fraction,k_32_fraction,k_64_fraction
Bike_Sharing_Demand,regression,ModernNCA,aggregate_full,9,-0.246945180121743,0.0076938821620949165,0.01940605819812501,0.05168046995057639,42.666666666666664,0.0,0.6666666666666666,0.3333333333333333
Bike_Sharing_Demand,regression,ModernNCA,aggregate_mismatch,9,-0.2468015999104035,0.008252602190090025,0.019549638409464484,0.05182405016191586,49.77777777777778,0.0,0.4444444444444444,0.5555555555555556
Bike_Sharing_Demand,regression,ModernNCA,aggregate_reliability,9,-0.26251385937731,0.009322760995602891,0.003837378942558,0.036111790695009374,21.333333333333332,0.6666666666666666,0.3333333333333333,0.0
Bike_Sharing_Demand,regression,ModernNCA,direct_proxy,9,-0.2986256500723194,0.00753725050081403,-0.032274411752451375,0.0,,,,
Bike_Sharing_Demand,regression,ModernNCA,distance_model,9,-0.266351238319868,0.009209501185314875,0.0,0.032274411752451375,,,,
Bike_Sharing_Demand,regression,TabR,aggregate_full,9,-0.25020537431549567,0.003483695191105543,0.04863358538779513,0.04842027575682369,21.333333333333332,0.6666666666666666,0.3333333333333333,0.0
Bike_Sharing_Demand,regression,TabR,aggregate_mismatch,9,-0.2499557757082057,0.0037053350270533137,0.048883183995085136,0.0486698743641137,24.88888888888889,0.6666666666666666,0.2222222222222222,0.1111111111111111
Bike_Sharing_Demand,regression,TabR,aggregate_reliability,9,-0.3040205122568296,0.013317501720551649,-0.005181552553538717,-0.005394862184510154,16.0,1.0,0.0,0.0
Bike_Sharing_Demand,regression,TabR,direct_proxy,9,-0.2986256500723194,0.00753725050081403,0.00021330963097143663,0.0,,,,
Bike_Sharing_Demand,regression,TabR,distance_model,9,-0.2988389597032908,0.015055073009518544,0.0,-0.00021330963097143663,,,,
MagicTelescope,classification,ModernNCA,aggregate_full,9,0.8699001736111112,0.00266450285542724,0.001681857638888889,0.002875434027777778,64.0,0.0,0.0,1.0
MagicTelescope,classification,ModernNCA,aggregate_mismatch,9,0.86962890625,0.0020132351687586186,0.0014105902777777778,0.0026041666666666665,64.0,0.0,0.0,1.0
MagicTelescope,classification,ModernNCA,aggregate_reliability,9,0.8685980902777778,0.001207063555842406,0.00037977430555555556,0.0015733506944444445,64.0,0.0,0.0,1.0
MagicTelescope,classification,ModernNCA,direct_proxy,9,0.8670247395833334,0.0044417493649072754,-0.001193576388888889,0.0,,,,
MagicTelescope,classification,ModernNCA,distance_model,9,0.8682183159722222,0.003421841803650491,0.0,0.001193576388888889,,,,
MagicTelescope,classification,TabR,aggregate_full,9,0.8700629340277778,0.00616398001904268,0.00439453125,0.0030381944444444445,64.0,0.0,0.0,1.0
MagicTelescope,classification,TabR,aggregate_mismatch,9,0.8702799479166666,0.006614363859445408,0.004611545138888889,0.0032552083333333335,64.0,0.0,0.0,1.0
MagicTelescope,classification,TabR,aggregate_reliability,9,0.8619791666666666,0.005904973936742083,-0.003689236111111111,-0.005045572916666667,64.0,0.0,0.0,1.0
MagicTelescope,classification,TabR,direct_proxy,9,0.8670247395833334,0.0044417493649072754,0.0013563368055555555,0.0,,,,
MagicTelescope,classification,TabR,distance_model,9,0.8656684027777778,0.002657035761281667,0.0,-0.0013563368055555555,,,,
abalone,regression,ModernNCA,aggregate_full,9,-0.6796840700044008,0.01636780987914305,-0.0016135153776444132,0.012608215706147403,64.0,0.0,0.0,1.0
abalone,regression,ModernNCA,aggregate_mismatch,9,-0.6788379017897911,0.016126406671245687,-0.0007673471630347014,0.013454383920757115,64.0,0.0,0.0,1.0
abalone,regression,ModernNCA,aggregate_reliability,9,-0.6769950351559298,0.016739827477794133,0.0010755194708265507,0.015297250554618367,64.0,0.0,0.0,1.0
abalone,regression,ModernNCA,direct_proxy,9,-0.6922922857105482,0.01343786120337434,-0.014221731083791815,0.0,,,,
abalone,regression,ModernNCA,distance_model,9,-0.6780705546267564,0.01531975780912839,0.0,0.014221731083791815,,,,
abalone,regression,TabR,aggregate_full,9,-0.6774441577959034,0.019684949625413575,0.0011834095965801304,0.01484812791464475,42.666666666666664,0.2222222222222222,0.3333333333333333,0.4444444444444444
abalone,regression,TabR,aggregate_mismatch,9,-0.6778486614361448,0.020666407598893013,0.0007789059563387823,0.014443624274403401,42.666666666666664,0.2222222222222222,0.3333333333333333,0.4444444444444444
abalone,regression,TabR,aggregate_reliability,9,-0.6827249550983989,0.017596584465827046,-0.004097387705915427,0.009567330612149193,23.11111111111111,0.5555555555555556,0.4444444444444444,0.0
abalone,regression,TabR,direct_proxy,9,-0.6922922857105482,0.01343786120337434,-0.013664718318064619,0.0,,,,
abalone,regression,TabR,distance_model,9,-0.6786275673924835,0.02253210884883485,0.0,0.013664718318064619,,,,
bank-marketing,classification,ModernNCA,aggregate_full,9,0.8898654513888888,0.005219764879825688,-0.0011393229166666667,-0.006293402777777778,64.0,0.0,0.0,1.0
bank-marketing,classification,ModernNCA,aggregate_mismatch,9,0.89013671875,0.004580484140452565,-0.0008680555555555555,-0.006022135416666667,64.0,0.0,0.0,1.0
bank-marketing,classification,ModernNCA,aggregate_reliability,9,0.8899197048611112,0.0035640443425224828,-0.0010850694444444445,-0.006239149305555556,64.0,0.0,0.0,1.0
