scope,task,seed,model,representation,key_capacity,alignment_type,rmse,frobenius_cosine,top_eigenvector_angle_deg,feature_diagonal_correlation,risk_spearman,score,score_delta_vs_raw
synthetic,S1_rotating,20260831,TabR,raw,standard,exact_Jm_metric,0.2843065502190608,0.8869714234024286,16.39117120748702,0.78125,0.1427722733781995,,
synthetic,S1_rotating,20260831,TabR,localwarp,standard,exact_Jm_metric,0.2809983357622813,0.864315721206367,19.33364619183631,0.8125,0.1908694862367695,,
synthetic,S1_rotating,20260831,ModernNCA,raw,linear,exact_Jm_metric,0.2936245528101227,0.7045926637947559,46.532805913431616,-0.0625,0.0782240863127287,,
synthetic,S1_rotating,20260831,ModernNCA,localwarp,linear,exact_Jm_metric,0.2793037351377128,0.6931092753075063,43.231994279109294,0.28125,0.0844890991249121,,
synthetic,S1_rotating,20260831,ModernNCA,raw,deep,exact_Jm_metric,0.2793947024113776,0.8922043195925653,13.654274633380412,0.78125,0.1594287074218576,,
synthetic,S2_global,20260831,TabR,raw,standard,exact_Jm_metric,0.2300121095268774,0.9725760538131,6.804831575957429,1.0,0.9305529340645602,,
synthetic,S2_global,20260831,TabR,localwarp,standard,exact_Jm_metric,0.2373741394836394,0.9030969068408012,13.896380163777197,0.9375,0.8816349066753052,,
synthetic,S2_global,20260831,ModernNCA,raw,linear,exact_Jm_metric,0.2250708337602061,0.983668088912964,0.1101434298097562,1.0,0.933977744428182,,
synthetic,S2_global,20260831,ModernNCA,localwarp,linear,exact_Jm_metric,0.2169067997606802,0.9357252065092324,13.078590180832691,1.0,0.8714198456943855,,
synthetic,S2_global,20260831,ModernNCA,raw,deep,exact_Jm_metric,0.2184618349187992,0.9974695639684796,2.000662683864564,1.0,0.9984682093844804,,
synthetic,S3_noise,20260831,TabR,raw,standard,exact_Jm_metric,0.5611583325660103,0.951775467954576,9.315556286254642,1.0,0.5490412203536092,,
synthetic,S3_noise,20260831,TabR,localwarp,standard,exact_Jm_metric,0.5671400350630319,0.8673713193275034,15.51175552742482,0.84375,0.4644886944933489,,
synthetic,S3_noise,20260831,ModernNCA,raw,linear,exact_Jm_metric,0.5590775841695717,0.9756399607285856,1.7822400982786744,1.0,0.6018406201175411,,
synthetic,S3_noise,20260831,ModernNCA,localwarp,linear,exact_Jm_metric,0.5621834440811535,0.6548298941925168,45.08928078780226,-0.0625,0.4378407743083433,,
synthetic,S3_noise,20260831,ModernNCA,raw,deep,exact_Jm_metric,0.5565253806305975,0.9951851386576892,3.1598172726575315,1.0,0.6516807504835187,,
synthetic,S4_warp,20260831,TabR,raw,standard,exact_Jm_metric,0.1864553817492655,0.9534087034408004,8.721390181568061,0.9375,0.323746882366521,,
