dataset,task,model,prediction_representation,retrieval_representation,key_capacity,seed,score,score_delta_vs_raw,risk_spearman,topk_proxy_risk,topk_target_mismatch,topk_candidate_noise,oracle_topk_overlap,mean_selected_retrieval_distance,candidate_frequency_entropy,neighbor_target_consistency,neighbor_residual_consistency,neighbor_label_entropy,within_neighborhood_target_variance
adult,classification,ModernNCA,raw,localwarp,standard,20260831,0.837890625,-0.0087890625,0.383448938191019,0.2679817875081037,0.03738317782022066,0.230598609687883,0.0068359375,0.0271589532494545,0.8716095975329936,0.7724609375,0.4535297197505729,0.3133114183409694,
adult,classification,ModernNCA,raw,localwarp,standard,20260832,0.8310546875,-0.0185546875,0.3328595795800784,0.27091100592121137,0.0348822829596532,0.2360287229615582,0.00390625,0.026049455627799034,0.8678766183709766,0.765625,0.4903985346900748,0.29122724286424384,
adult,classification,ModernNCA,raw,localwarp,standard,20260833,0.8310546875,-0.0107421875,0.3484940902707567,0.2767239051670036,0.039508214177459776,0.23721569098954387,0.005859375,0.020428726449608803,0.8655098867207333,0.7607421875,0.5056964856837087,0.33457370387679464,
adult,classification,ModernNCA,raw,ple,standard,20260831,0.8359375,-0.0107421875,0.40866647741267137,0.26612732099123515,0.03557118937697844,0.23055613161425675,0.00390625,0.014649029821157455,0.8683437317068285,0.76953125,0.47326064751458147,0.3063396782349908,
adult,classification,ModernNCA,raw,plr,standard,20260831,0.83984375,-0.0068359375,0.4354243527138042,0.2675114442029051,0.0410255929991976,0.22648585120370754,0.0029296875,0.020505854859948158,0.8655798170714585,0.794921875,0.4593857106869948,0.2500590738596858,
adult,classification,ModernNCA,raw,raw,standard,20260831,0.8466796875,0.0,0.4202395420736929,0.26068830953915645,0.0332607272140897,0.2274275823250668,0.00830078125,0.011359918862581253,0.8714439650227901,0.7919921875,0.46112409616717454,0.2769578969724412,
adult,classification,ModernNCA,raw,raw,standard,20260832,0.849609375,0.0,0.3772472467362826,0.25831123328933575,0.03448700499245524,0.22382422829688053,0.0068359375,0.011495488695800304,0.8631097965471974,0.7783203125,0.47466632590462965,0.2911227137419929,
adult,classification,ModernNCA,raw,raw,standard,20260833,0.841796875,0.0,0.41745864226320367,0.2620106288087999,0.037501822162162565,0.2245088066466373,0.0029296875,0.012405222281813622,0.8745646568379495,0.7880859375,0.46728050290281403,0.27709854007768736,
black-friday,regression,ModernNCA,raw,localwarp,standard,20260831,-0.7375601809796041,-0.0014102348977271806,0.38564459149030983,0.6104520409136465,0.07145644898746344,0.5389955919261831,0.01220703125,0.07775741815567017,0.8724537165264914,1.031633973121643,1.0340772648031915,,0.4619129002094269
black-friday,regression,ModernNCA,raw,localwarp,standard,20260832,-0.7346795378733185,-0.010037370085173247,0.4583123073933104,0.596047123637526,0.0569947523559733,0.5390523712815527,0.01171875,0.10042507946491241,0.8754879135085181,1.0218005180358887,1.0509624583876838,,0.4964425563812256
black-friday,regression,ModernNCA,raw,localwarp,standard,20260833,-0.7373191029232252,0.0013512713811391075,0.42525472019540284,0.6128655618556714,0.07514715415461584,0.5377184077010557,0.0185546875,0.10246618092060089,0.8739287895260904,0.9866216778755188,1.000944428214301,,0.4817240834236145
black-friday,regression,ModernNCA,raw,ple,standard,20260831,-0.7811170078983128,-0.04496706181643595,0.53273147024028,0.6836688793064647,0.1465392085911411,0.5371296707153236,0.01416015625,0.0413709320127964,0.8714250688050691,1.1797407865524292,1.052339761951362,,0.5560283064842224
black-friday,regression,ModernNCA,raw,plr,standard,20260831,-0.7284519438353374,0.007698002246539493,0.6340019048070911,0.5982564012909243,0.06756818348066554,0.5306882178102588,0.01171875,0.06871217489242554,0.8826908574379068,1.0381207466125488,1.0719023335001276,,0.48107531666755676
black-friday,regression,ModernNCA,raw,raw,standard,20260831,-0.7361499460818769,0.0,0.41639332647512184,0.6023589102091244,0.06737900273110409,0.5349799074780204,0.017578125,0.04342806711792946,0.8755728173578738,1.0094749927520752,1.05261930418189,,0.4751042425632477
black-friday,regression,ModernNCA,raw,raw,standard,20260832,-0.7246421677881453,0.0,0.4168669229362404,0.5940270182060683,0.058767799490150756,0.5352592187159175,0.01416015625,0.02887335792183876,0.8789150604196991,1.0106115341186523,1.052506395309627,,0.481469988822937
black-friday,regression,ModernNCA,raw,raw,standard,20260833,-0.7386703743043643,0.0,0.41262814748323123,0.6049627494773705,0.06514972357770234,0.5398130258996682,0.01318359375,0.04210890084505081,0.8821785653453862,0.9904143810272217,1.031920820604857,,0.44961047172546387
california,regression,ModernNCA,raw,localwarp,standard,20260831,-0.4560706145930118,-0.024207570028732583,0.8024595321900945,0.34077650864802517,0.07906533572514376,0.26171117292288143,0.02978515625,0.35634273290634155,0.8734196794011244,0.4778437614440918,0.4638964710533673,,0.1865784376859665
california,regression,ModernNCA,raw,localwarp,standard,20260832,-0.45411341423040846,-0.018122957597152656,0.7454687777092316,0.3329649152516716,0.07646305069645987,0.2565018645552118,0.03271484375,0.3271993398666382,0.8767915878256286,0.5018949508666992,0.4459879732215767,,0.19666233658790588
california,regression,ModernNCA,raw,localwarp,standard,20260833,-0.46080826543363107,-0.026670773392627745,0.7009872808318416,0.3552614219986919,0.09073196969032497,0.2645294523083669,0.0234375,0.39689499139785767,0.8758077798216929,0.5180723667144775,0.4583912801547784,,0.20123383402824402
california,regression,ModernNCA,raw,ple,standard,20260831,-0.41980005405917475,0.012062990505104454,0.8382472820470128,0.35099662602880644,0.08129215329556541,0.26970447273324094,0.03076171875,0.05068202316761017,0.8743030414594148,0.4876473844051361,0.4957502600535092,,0.19310367107391357
california,regression,ModernNCA,raw,plr,standard,20260831,-0.41413230982619603,0.017730734738083176,0.7876632973795513,0.36504250809415123,0.10047453552571693,0.26456797256843423,0.02978515625,0.10153134167194366,0.8686334214642653,0.397804856300354,0.4513009514308096,,0.1250486671924591
