dataset,task,split_seed,model,model_seed,best_validation_loss,epochs,fit_wall_seconds,loss,metric,metric_name,parameters,score
abalone,regression,20260901,ModernNCA,20260911,0.6934476090221892,13.0,1.0399267140310258,0.6728625562900318,0.6728625562900318,standardized_rmse,13185.0,-0.6728625562900318
abalone,regression,20260901,ModernNCA,20260912,0.6908056768498079,18.0,1.436013082973659,0.6558460106747683,0.6558460106747683,standardized_rmse,13185.0,-0.6558460106747683
abalone,regression,20260901,ModernNCA,20260913,0.6934957311401722,15.0,1.2076369230635464,0.6525423568725635,0.6525423568725635,standardized_rmse,13185.0,-0.6525423568725635
abalone,regression,20260901,TabR,20260911,0.6953084047426359,10.0,1.2851562357973307,0.64940287401961,0.64940287401961,standardized_rmse,43265.0,-0.64940287401961
abalone,regression,20260901,TabR,20260912,0.6811124899430762,12.0,1.5419409521855414,0.652507006023224,0.652507006023224,standardized_rmse,43265.0,-0.652507006023224
abalone,regression,20260901,TabR,20260913,0.6824196595738621,9.0,1.1621057752054185,0.6488636069851587,0.6488636069851587,standardized_rmse,43265.0,-0.6488636069851587
abalone,regression,20260902,ModernNCA,20260911,0.6659407227926546,12.0,0.941994636086747,0.6868536960374336,0.6868536960374336,standardized_rmse,13185.0,-0.6868536960374336
abalone,regression,20260902,ModernNCA,20260912,0.6646675826628079,14.0,1.1045987990219146,0.674897472406962,0.674897472406962,standardized_rmse,13185.0,-0.674897472406962
abalone,regression,20260902,ModernNCA,20260913,0.6681554576753219,13.0,1.0238054702058434,0.6856048584262029,0.6856048584262029,standardized_rmse,13185.0,-0.6856048584262029
abalone,regression,20260902,TabR,20260911,0.6729924072408823,14.0,1.8309507279191166,0.694112016466477,0.694112016466477,standardized_rmse,43265.0,-0.694112016466477
abalone,regression,20260902,TabR,20260912,0.6672199723674077,11.0,1.430287669179961,0.6818205021845917,0.6818205021845917,standardized_rmse,43265.0,-0.6818205021845917
abalone,regression,20260902,TabR,20260913,0.6637003082518069,14.0,1.7761612869799137,0.6806059537401858,0.6806059537401858,standardized_rmse,43265.0,-0.6806059537401858
abalone,regression,20260903,ModernNCA,20260911,0.6641958188186433,25.0,1.9748369841836393,0.6867335064865712,0.6867335064865712,standardized_rmse,13185.0,-0.6867335064865712
abalone,regression,20260903,ModernNCA,20260912,0.6739991740191753,24.0,1.881624337984249,0.6941595710463819,0.6941595710463819,standardized_rmse,13185.0,-0.6941595710463819
abalone,regression,20260903,ModernNCA,20260913,0.6652488580789405,32.0,2.519121004967019,0.693134963399892,0.693134963399892,standardized_rmse,13185.0,-0.693134963399892
