best_validation_loss,dataset,epochs,key_capacity,loss,metric,metric_name,model,parameters,prediction_representation,purpose,retrieval_representation,score,seed,status,task,wall_seconds,candidate_frequency_entropy,mean_selected_retrieval_distance,neighbor_label_entropy,neighbor_residual_consistency,neighbor_target_consistency,oracle_topk_overlap,risk_proxy_version,risk_spearman,topk_candidate_noise,topk_proxy_risk,topk_target_mismatch,within_neighborhood_target_variance,raw_score,score_delta_vs_raw
0.511320695317398,california,18.0,standard,0.4483839249943836,0.4483839249943836,standardized_rmse,MLP,13121.0,raw,core_seeds,raw,-0.4483839249943836,20260832,complete,regression,0.6145473499782383,,,,,,,,,,,,,-0.4483839249943836,0.0
0.5409003043244559,california,18.0,standard,0.4670551136623207,0.4670551136623207,standardized_rmse,MLP,13185.0,localwarp,core_seeds,raw,-0.4670551136623207,20260833,complete,regression,0.9176114781294018,,,,,,,,,,,,,-0.44303879046822,-0.02401632319410074
0.5039207859327174,california,18.0,standard,0.44303879046822,0.44303879046822,standardized_rmse,MLP,13121.0,raw,core_seeds,raw,-0.44303879046822,20260833,complete,regression,0.610167111037299,,,,,,,,,,,,,-0.44303879046822,0.0
0.34979677200317383,churn,18.0,standard,0.344756156206131,0.853515625,accuracy,MLP,13754.0,localwarp,core_seeds,raw,0.853515625,20260831,complete,classification,1.9417288298718631,,,,,,,,,,,,,0.865234375,-0.01171875
0.3429372012615204,churn,17.0,standard,0.32740238308906555,0.8623046875,accuracy,MLP,16834.0,ple,representation_screen,raw,0.8623046875,20260831,complete,classification,0.6657632240094244,,,,,,,,,,,,,0.865234375,-0.0029296875
0.3582238554954529,churn,14.0,standard,0.33853965997695923,0.8525390625,accuracy,MLP,17282.0,plr,representation_screen,raw,0.8525390625,20260831,complete,classification,0.44861410604789853,,,,,,,,,,,,,0.865234375,-0.0126953125
0.333210825920105,churn,17.0,standard,0.32844698429107666,0.865234375,accuracy,MLP,13698.0,raw,core_seeds,raw,0.865234375,20260831,complete,classification,0.5055054889526218,,,,,,,,,,,,,0.865234375,0.0
0.3479452133178711,churn,18.0,standard,0.3392683267593384,0.859375,accuracy,MLP,13754.0,localwarp,core_seeds,raw,0.859375,20260832,complete,classification,0.9937152259517461,,,,,,,,,,,,,0.8720703125,-0.0126953125
0.335890531539917,churn,18.0,standard,0.3279954791069031,0.8720703125,accuracy,MLP,13698.0,raw,core_seeds,raw,0.8720703125,20260832,complete,classification,0.5339454228524119,,,,,,,,,,,,,0.8720703125,0.0
0.3493447005748749,churn,18.0,standard,0.3434741199016571,0.8505859375,accuracy,MLP,13754.0,localwarp,core_seeds,raw,0.8505859375,20260833,complete,classification,1.0081272919196635,,,,,,,,,,,,,0.861328125,-0.0107421875
0.3378293514251709,churn,18.0,standard,0.32741251587867737,0.861328125,accuracy,MLP,13698.0,raw,core_seeds,raw,0.861328125,20260833,complete,classification,0.5291740470565856,,,,,,,,,,,,,0.861328125,0.0
0.30596057967850604,diamond,18.0,standard,0.33524337407606547,0.33524337407606547,standardized_rmse,MLP,14321.0,localwarp,core_seeds,raw,-0.33524337407606547,20260831,complete,regression,1.0473455900792032,,,,,,,,,,,,,-0.2286111021249509,-0.10663227195111458
0.18252004611226363,diamond,18.0,standard,0.2130124573111199,0.2130124573111199,standardized_rmse,MLP,16961.0,ple,representation_screen,raw,-0.2130124573111199,20260831,complete,regression,0.8005557609722018,,,,,,,,,,,,,-0.2286111021249509,0.015598644813830997
0.19428760408411896,diamond,18.0,standard,0.21264243978744554,0.21264243978744554,standardized_rmse,MLP,17345.0,plr,representation_screen,raw,-0.21264243978744554,20260831,complete,regression,0.8067723079584539,,,,,,,,,,,,,-0.2286111021249509,0.01596866233750535
0.20232024219907227,diamond,18.0,standard,0.2286111021249509,0.2286111021249509,standardized_rmse,MLP,14273.0,raw,core_seeds,raw,-0.2286111021249509,20260831,complete,regression,0.7340039107948542,,,,,,,,,,,,,-0.2286111021249509,0.0
0.30267355873517504,diamond,18.0,standard,0.3363914430802518,0.3363914430802518,standardized_rmse,MLP,14321.0,localwarp,core_seeds,raw,-0.3363914430802518,20260832,complete,regression,1.0165274310857058,,,,,,,,,,,,,-0.2212472592529595,-0.11514418382729233
0.19281613721773938,diamond,18.0,standard,0.2212472592529595,0.2212472592529595,standardized_rmse,MLP,14273.0,raw,core_seeds,raw,-0.2212472592529595,20260832,complete,regression,0.753378608962521,,,,,,,,,,,,,-0.2212472592529595,0.0
0.3018614472496599,diamond,18.0,standard,0.31672663188138256,0.31672663188138256,standardized_rmse,MLP,14321.0,localwarp,core_seeds,raw,-0.31672663188138256,20260833,complete,regression,1.0198828529100865,,,,,,,,,,,,,-0.2255467490578995,-0.09117988282348305
0.20365216300432443,diamond,18.0,standard,0.2255467490578995,0.2255467490578995,standardized_rmse,MLP,14273.0,raw,core_seeds,raw,-0.2255467490578995,20260833,complete,regression,0.7486236339900643,,,,,,,,,,,,,-0.2255467490578995,0.0
0.638977587223053,higgs-small,15.0,standard,0.63023442029953,0.6484375,accuracy,MLP,14690.0,localwarp,core_seeds,raw,0.6484375,20260831,complete,classification,0.7456903711427003,,,,,,,,,,,,,0.6435546875,0.0048828125
0.5690844058990479,higgs-small,18.0,standard,0.5747119188308716,0.69140625,accuracy,MLP,27010.0,ple,representation_screen,raw,0.69140625,20260831,complete,classification,0.5849331167992204,,,,,,,,,,,,,0.6435546875,0.0478515625
0.6088454127311707,higgs-small,8.0,standard,0.6012048125267029,0.6787109375,accuracy,MLP,28802.0,plr,representation_screen,raw,0.6787109375,20260831,complete,classification,0.25646774796769023,,,,,,,,,,,,,0.6435546875,0.03515625
0.6335254907608032,higgs-small,17.0,standard,0.6272616386413574,0.6435546875,accuracy,MLP,14466.0,raw,core_seeds,raw,0.6435546875,20260831,complete,classification,0.5214047809131444,,,,,,,,,,,,,0.6435546875,0.0
0.6347362995147705,higgs-small,13.0,standard,0.6230602264404297,0.650390625,accuracy,MLP,14690.0,localwarp,core_seeds,raw,0.650390625,20260832,complete,classification,0.6506190788932145,,,,,,,,,,,,,0.646484375,0.00390625
0.6376602649688721,higgs-small,13.0,standard,0.6268615126609802,0.646484375,accuracy,MLP,14466.0,raw,core_seeds,raw,0.646484375,20260832,complete,classification,0.39751793211326003,,,,,,,,,,,,,0.646484375,0.0
0.64522784948349,higgs-small,14.0,standard,0.6273608207702637,0.646484375,accuracy,MLP,14690.0,localwarp,core_seeds,raw,0.646484375,20260833,complete,classification,0.6875615308526903,,,,,,,,,,,,,0.638671875,0.0078125
0.6421440839767456,higgs-small,13.0,standard,0.6294409036636353,0.638671875,accuracy,MLP,14466.0,raw,core_seeds,raw,0.638671875,20260833,complete,classification,0.4020210369490087,,,,,,,,,,,,,0.638671875,0.0
0.702225149317973,house,18.0,standard,0.6420538674953045,0.6420538674953045,standardized_rmse,MLP,13761.0,localwarp,core_seeds,raw,-0.6420538674953045,20260831,complete,regression,0.9130874969996512,,,,,,,,,,,,,-0.6335636757915991,-0.008490191703705352
0.6614262428647781,house,18.0,standard,0.6163251682883454,0.6163251682883454,standardized_rmse,MLP,20801.0,ple,representation_screen,raw,-0.6163251682883454,20260831,complete,regression,0.6619263940956444,,,,,,,,,,,,,-0.6335636757915991,0.01723850750325373
0.8024354570541679,house,16.0,standard,0.6595991905624355,0.6595991905624355,standardized_rmse,MLP,21825.0,plr,representation_screen,raw,-0.6595991905624355,20260831,complete,regression,0.5657317319419235,,,,,,,,,,,,,-0.6335636757915991,-0.026035514770836432
0.7635026687429476,house,18.0,standard,0.6335636757915991,0.6335636757915991,standardized_rmse,MLP,13633.0,raw,core_seeds,raw,-0.6335636757915991,20260831,complete,regression,0.6138855300378054,,,,,,,,,,,,,-0.6335636757915991,0.0
0.7053741247375049,house,18.0,standard,0.6505724334113406,0.6505724334113406,standardized_rmse,MLP,13761.0,localwarp,core_seeds,raw,-0.6505724334113406,20260832,complete,regression,0.919629838084802,,,,,,,,,,,,,-0.6397191095365603,-0.01085332387478033
0.7856535886448717,house,18.0,standard,0.6397191095365603,0.6397191095365603,standardized_rmse,MLP,13633.0,raw,core_seeds,raw,-0.6397191095365603,20260832,complete,regression,0.6127211297862232,,,,,,,,,,,,,-0.6397191095365603,0.0
0.712278677815636,house,18.0,standard,0.6429426924766308,0.6429426924766308,standardized_rmse,MLP,13761.0,localwarp,core_seeds,raw,-0.6429426924766308,20260833,complete,regression,0.924866943154484,,,,,,,,,,,,,-0.666953336924219,0.02401064444758816
0.7720892379074631,house,18.0,standard,0.666953336924219,0.666953336924219,standardized_rmse,MLP,13633.0,raw,core_seeds,raw,-0.666953336924219,20260833,complete,regression,0.6184079791419208,,,,,,,,,,,,,-0.666953336924219,0.0
0.8436751961708069,otto,18.0,standard,0.7836470007896423,0.7109375,accuracy,MLP,19825.0,localwarp,core_seeds,raw,0.7109375,20260831,complete,classification,1.0017009298317134,,,,,,,,,,,,,0.7509765625,-0.0400390625
0.8447961807250977,otto,18.0,standard,0.7188947200775146,0.7265625,accuracy,MLP,60745.0,ple,representation_screen,raw,0.7265625,20260831,complete,classification,0.7872650381177664,,,,,,,,,,,,,0.7509765625,-0.0244140625
0.760482132434845,otto,18.0,standard,0.6677653789520264,0.7470703125,accuracy,MLP,66697.0,plr,representation_screen,raw,0.7470703125,20260831,complete,classification,0.773905280046165,,,,,,,,,,,,,0.7509765625,-0.00390625
0.7446354031562805,otto,18.0,standard,0.6964731216430664,0.7509765625,accuracy,MLP,19081.0,raw,core_seeds,raw,0.7509765625,20260831,complete,classification,0.6873487350530922,,,,,,,,,,,,,0.7509765625,0.0
0.8738096952438354,otto,18.0,standard,0.7963880300521851,0.7001953125,accuracy,MLP,19825.0,localwarp,core_seeds,raw,0.7001953125,20260832,complete,classification,0.9944896658416837,,,,,,,,,,,,,0.75,-0.0498046875
0.752800703048706,otto,18.0,standard,0.6897684931755066,0.75,accuracy,MLP,19081.0,raw,core_seeds,raw,0.75,20260832,complete,classification,0.6999770780093968,,,,,,,,,,,,,0.75,0.0
0.8506478667259216,otto,18.0,standard,0.7703419923782349,0.712890625,accuracy,MLP,19825.0,localwarp,core_seeds,raw,0.712890625,20260833,complete,classification,0.9853699188679457,,,,,,,,,,,,,0.7490234375,-0.0361328125
0.7386506795883179,otto,18.0,standard,0.6831182837486267,0.7490234375,accuracy,MLP,19081.0,raw,core_seeds,raw,0.7490234375,20260833,complete,classification,0.6658016599249095,,,,,,,,,,,,,0.7490234375,0.0
0.33588284254074097,adult,11.0,standard,0.3545212149620056,0.837890625,accuracy,ModernNCA,19057.0,raw,core_seeds,localwarp,0.837890625,20260831,complete,classification,2.103528172010556,0.8716095975329936,0.0271589532494545,0.3133114183409694,0.4535297197505729,0.7724609375,0.0068359375,2.0,0.383448938191019,0.230598609687883,0.2679817875081037,0.03738317782022066,,0.8466796875,-0.0087890625
0.3304107189178467,adult,15.0,standard,0.36468687653541565,0.8310546875,accuracy,ModernNCA,19057.0,raw,core_seeds,localwarp,0.8310546875,20260832,complete,classification,1.5584352670703083,0.8678766183709766,0.026049455627799034,0.29122724286424384,0.4903985346900748,0.765625,0.00390625,2.0,0.3328595795800784,0.2360287229615582,0.27091100592121137,0.0348822829596532,,0.849609375,-0.0185546875
0.3304336667060852,adult,9.0,standard,0.35409432649612427,0.8310546875,accuracy,ModernNCA,19057.0,raw,core_seeds,localwarp,0.8310546875,20260833,complete,classification,0.9342205978464335,0.8655098867207333,0.020428726449608803,0.33457370387679464,0.5056964856837087,0.7607421875,0.005859375,2.0,0.3484940902707567,0.23721569098954387,0.2767239051670036,0.039508214177459776,,0.841796875,-0.0107421875
0.33017992973327637,adult,10.0,standard,0.3583517074584961,0.8359375,accuracy,ModernNCA,21697.0,raw,representation_screen,ple,0.8359375,20260831,complete,classification,0.8574415510520339,0.8683437317068285,0.014649029821157455,0.3063396782349908,0.47326064751458147,0.76953125,0.00390625,2.0,0.40866647741267137,0.23055613161425675,0.26612732099123515,0.03557118937697844,,0.8466796875,-0.0107421875
0.3143460750579834,adult,10.0,standard,0.33923205733299255,0.83984375,accuracy,ModernNCA,22081.0,raw,representation_screen,plr,0.83984375,20260831,complete,classification,0.9344396290834993,0.8655798170714585,0.020505854859948158,0.2500590738596858,0.4593857106869948,0.794921875,0.0029296875,2.0,0.4354243527138042,0.22648585120370754,0.2675114442029051,0.0410255929991976,,0.8466796875,-0.0068359375
0.3199482560157776,adult,10.0,standard,0.3443487584590912,0.8466796875,accuracy,ModernNCA,19009.0,raw,core_seeds,raw,0.8466796875,20260831,complete,classification,0.8633053749799728,0.8714439650227901,0.011359918862581253,0.2769578969724412,0.46112409616717454,0.7919921875,0.00830078125,2.0,0.4202395420736929,0.2274275823250668,0.26068830953915645,0.0332607272140897,,0.8466796875,0.0
0.321597695350647,adult,10.0,standard,0.3471953570842743,0.849609375,accuracy,ModernNCA,19009.0,raw,core_seeds,raw,0.849609375,20260832,complete,classification,0.8661418578121811,0.8631097965471974,0.011495488695800304,0.2911227137419929,0.47466632590462965,0.7783203125,0.0068359375,2.0,0.3772472467362826,0.22382422829688053,0.25831123328933575,0.03448700499245524,,0.849609375,0.0
0.3197796642780304,adult,12.0,standard,0.3458089232444763,0.841796875,accuracy,ModernNCA,19009.0,raw,core_seeds,raw,0.841796875,20260833,complete,classification,1.0362320619169623,0.8745646568379495,0.012405222281813622,0.27709854007768736,0.46728050290281403,0.7880859375,0.0029296875,2.0,0.41745864226320367,0.2245088066466373,0.2620106288087999,0.037501822162162565,,0.841796875,0.0
0.7525804172156784,black-friday,18.0,standard,0.7375601809796041,0.7375601809796041,standardized_rmse,ModernNCA,14049.0,raw,core_seeds,localwarp,-0.7375601809796041,20260831,complete,regression,1.9060036791488528,0.8724537165264914,0.07775741815567017,,1.0340772648031915,1.031633973121643,0.01220703125,2.0,0.38564459149030983,0.5389955919261831,0.6104520409136465,0.07145644898746344,0.4619129002094269,-0.7361499460818769,-0.0014102348977271806
0.7452641724534979,black-friday,18.0,standard,0.7346795378733185,0.7346795378733185,standardized_rmse,ModernNCA,14049.0,raw,core_seeds,localwarp,-0.7346795378733185,20260832,complete,regression,1.9153932470362633,0.8754879135085181,0.10042507946491241,,1.0509624583876838,1.0218005180358887,0.01171875,2.0,0.4583123073933104,0.5390523712815527,0.596047123637526,0.0569947523559733,0.4964425563812256,-0.7246421677881453,-0.010037370085173247
