dataset,task,split_seed,model,model_seed,n_train,n_validation,n_test,n_num,n_cat_onehot,uncertainty_mean,uncertainty_sd,uncertainty_iqr,lambda,loss,method,metric,metric_name,oracle_topk_overlap,risk_spearman,score,topk_candidate_noise,topk_proxy_risk,topk_target_mismatch,validation_grid,validation_loss,baseline_score,baseline_proxy_risk,baseline_risk_spearman,score_gain,proxy_risk_change,risk_spearman_gain
abalone,regression,20260901,ModernNCA,20260911,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6728625562900318,distance,0.6728625562900318,standardized_rmse,0.04736328125,0.8281937584357342,-0.6728625562900318,0.4492325596511364,0.47921682469313964,0.029984266581777774,"[{""lambda"": 0.0, ""loss"": 0.6934476090221892, ""metric"": 0.6934476090221892}]",0.6934476090221892,-0.6728625562900318,0.47921682469313964,0.8281937584357342,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260911,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6728625562900318,oof_reliability,0.6728625562900318,standardized_rmse,0.04736328125,0.8281937584357342,-0.6728625562900318,0.4492325596511364,0.47921682469313964,0.029984266581777774,"[{""lambda"": 0.0, ""loss"": 0.6934476090221892, ""metric"": 0.6934476090221892}, {""lambda"": 0.01, ""loss"": 0.6938552533839467, ""metric"": 0.6938552533839467}, {""lambda"": 0.03, ""loss"": 0.6948102985412437, ""metric"": 0.6948102985412437}, {""lambda"": 0.1, ""loss"": 0.6991631993107814, ""metric"": 0.6991631993107814}, {""lambda"": 0.3, ""loss"": 0.7091484763018538, ""metric"": 0.7091484763018538}, {""lambda"": 1.0, ""loss"": 0.7365276964385149, ""metric"": 0.7365276964385149}, {""lambda"": 3.0, ""loss"": 0.8671965103713778, ""metric"": 0.8671965103713778}]",0.6934476090221892,-0.6728625562900318,0.47921682469313964,0.8281937584357342,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260911,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,1.0,0.6514594966692724,permuted_reliability,0.6514594966692724,standardized_rmse,0.029296875,0.7946660975614875,-0.6514594966692724,0.44516511785332114,0.4931534470524639,0.047988328431529226,"[{""lambda"": 0.0, ""loss"": 0.6934476090221892, ""metric"": 0.6934476090221892}, {""lambda"": 0.01, ""loss"": 0.6945412686830553, ""metric"": 0.6945412686830553}, {""lambda"": 0.03, ""loss"": 0.6964212763436733, ""metric"": 0.6964212763436733}, {""lambda"": 0.1, ""loss"": 0.6961533189248506, ""metric"": 0.6961533189248506}, {""lambda"": 0.3, ""loss"": 0.6901273321901524, ""metric"": 0.6901273321901524}, {""lambda"": 1.0, ""loss"": 0.6889909518705097, ""metric"": 0.6889909518705097}, {""lambda"": 3.0, ""loss"": 0.6901967017114019, ""metric"": 0.6901967017114019}]",0.6889909518705097,-0.6728625562900318,0.47921682469313964,0.8281937584357342,0.02140305962075939,0.013936622359324247,-0.033527660874246634
abalone,regression,20260901,ModernNCA,20260912,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6558460106747683,distance,0.6558460106747683,standardized_rmse,0.048828125,0.7981869398323937,-0.6558460106747683,0.4486379374866374,0.4774619740783237,0.028824039294704562,"[{""lambda"": 0.0, ""loss"": 0.6908056768498079, ""metric"": 0.6908056768498079}]",0.6908056768498079,-0.6558460106747683,0.4774619740783237,0.7981869398323937,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260912,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6558460106747683,oof_reliability,0.6558460106747683,standardized_rmse,0.048828125,0.7981869398323937,-0.6558460106747683,0.4486379374866374,0.4774619740783237,0.028824039294704562,"[{""lambda"": 0.0, ""loss"": 0.6908056768498079, ""metric"": 0.6908056768498079}, {""lambda"": 0.01, ""loss"": 0.6908496091577548, ""metric"": 0.6908496091577548}, {""lambda"": 0.03, ""loss"": 0.6909392015238128, ""metric"": 0.6909392015238128}, {""lambda"": 0.1, ""loss"": 0.69124339894348, ""metric"": 0.69124339894348}, {""lambda"": 0.3, ""loss"": 0.6928873861119887, ""metric"": 0.6928873861119887}, {""lambda"": 1.0, ""loss"": 0.7579196413516313, ""metric"": 0.7579196413516313}, {""lambda"": 3.0, ""loss"": 0.8576072292085877, ""metric"": 0.8576072292085877}]",0.6908056768498079,-0.6558460106747683,0.4774619740783237,0.7981869398323937,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260912,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.1,0.6554469684555064,permuted_reliability,0.6554469684555064,standardized_rmse,0.03173828125,0.7975975988404209,-0.6554469684555064,0.45546179375378415,0.4924769731005654,0.037015178948422545,"[{""lambda"": 0.0, ""loss"": 0.6908056768498079, ""metric"": 0.6908056768498079}, {""lambda"": 0.01, ""loss"": 0.6906211511395665, ""metric"": 0.6906211511395665}, {""lambda"": 0.03, ""loss"": 0.6903145138763979, ""metric"": 0.6903145138763979}, {""lambda"": 0.1, ""loss"": 0.6897771390046804, ""metric"": 0.6897771390046804}, {""lambda"": 0.3, ""loss"": 0.6901896954950554, ""metric"": 0.6901896954950554}, {""lambda"": 1.0, ""loss"": 0.6945440665799585, ""metric"": 0.6945440665799585}, {""lambda"": 3.0, ""loss"": 0.6979838875396841, ""metric"": 0.6979838875396841}]",0.6897771390046804,-0.6558460106747683,0.4774619740783237,0.7981869398323937,0.00039904221926190253,0.015014999022241682,-0.000589340991972831
abalone,regression,20260901,ModernNCA,20260913,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6525423568725635,distance,0.6525423568725635,standardized_rmse,0.0595703125,0.8499168177971558,-0.6525423568725635,0.45471676700981334,0.4771968387067318,0.02248007597791002,"[{""lambda"": 0.0, ""loss"": 0.6934957311401722, ""metric"": 0.6934957311401722}]",0.6934957311401722,-0.6525423568725635,0.4771968387067318,0.8499168177971558,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260913,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6525423568725635,oof_reliability,0.6525423568725635,standardized_rmse,0.0595703125,0.8499168177971558,-0.6525423568725635,0.45471676700981334,0.4771968387067318,0.02248007597791002,"[{""lambda"": 0.0, ""loss"": 0.6934957311401722, ""metric"": 0.6934957311401722}, {""lambda"": 0.01, ""loss"": 0.6941864538532382, ""metric"": 0.6941864538532382}, {""lambda"": 0.03, ""loss"": 0.6956869546310008, ""metric"": 0.6956869546310008}, {""lambda"": 0.1, ""loss"": 0.701097491405292, ""metric"": 0.701097491405292}, {""lambda"": 0.3, ""loss"": 0.7078528880716088, ""metric"": 0.7078528880716088}, {""lambda"": 1.0, ""loss"": 0.7346025224537033, ""metric"": 0.7346025224537033}, {""lambda"": 3.0, ""loss"": 0.8634782270273609, ""metric"": 0.8634782270273609}]",0.6934957311401722,-0.6525423568725635,0.4771968387067318,0.8499168177971558,0.0,0.0,0.0
abalone,regression,20260901,ModernNCA,20260913,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.1,0.6529459879677152,permuted_reliability,0.6529459879677152,standardized_rmse,0.04931640625,0.8488804419973089,-0.6529459879677152,0.4547335183015093,0.4812217861181125,0.026488264249564963,"[{""lambda"": 0.0, ""loss"": 0.6934957311401722, ""metric"": 0.6934957311401722}, {""lambda"": 0.01, ""loss"": 0.6930638027377655, ""metric"": 0.6930638027377655}, {""lambda"": 0.03, ""loss"": 0.6924239929326518, ""metric"": 0.6924239929326518}, {""lambda"": 0.1, ""loss"": 0.6915044533486071, ""metric"": 0.6915044533486071}, {""lambda"": 0.3, ""loss"": 0.6938919148583886, ""metric"": 0.6938919148583886}, {""lambda"": 1.0, ""loss"": 0.7047527184571841, ""metric"": 0.7047527184571841}, {""lambda"": 3.0, ""loss"": 0.7192331673846132, ""metric"": 0.7192331673846132}]",0.6915044533486071,-0.6525423568725635,0.4771968387067318,0.8499168177971558,-0.00040363109515173523,0.004024947411380708,-0.0010363757998468337
abalone,regression,20260901,TabR,20260911,2505,836,836,7,3,0.46328046917915344,0.26331377029418945,0.3339235484600067,0.0,0.6494028787412262,distance,0.6494028787412262,standardized_rmse,0.052734375,0.5338463847017235,-0.6494028787412262,0.43777798215160146,0.48393986152950674,0.04616187921601522,"[{""lambda"": 0.0, ""loss"": 0.695308402055154, ""metric"": 0.695308402055154}]",0.695308402055154,-0.6494028787412262,0.48393986152950674,0.5338463847017235,0.0,0.0,0.0
