git_commit,git_dirty,task_id,task_seed,seed,condition,test_multiplier,search_seconds,operation_count,truth_expression,recovered_expression,mae,rmse,r2,nrmse,relative_error,feature_precision,feature_recall,feature_f1,operator_accuracy,exact_program,depth_error,coefficient_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,0,clean,8,0.10682535194791853,1,square(x1),square(x1),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,0,target_noise,8,0.10555839282460511,3,square(x1),"(0.99762918 * multiply(x1, safe_divide(square(x1), x1)) + 0.0058104218)",0.22787118703126907,0.2887355085554013,0.9999850970172317,0.0038604381575598644,0.002297250984950933,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.008181236873554099
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,1,target_noise,8,0.10508163599297404,3,square(x1),"(0.9938939 * square(subtract(add(x1, x2), x2)) + 0.0048128505)",0.5970396036282182,0.7516841694230445,0.9998989948275685,0.010050132955911185,0.006044968337218119,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.010918946826080633
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,2,target_noise,8,0.10391856310889125,3,square(x1),"(0.9999061 * square(subtract(subtract(x2, x1), x2)) + 0.0011737654)",0.008137904107570648,0.010702941034535719,0.9999999795223993,0.0001430999677682768,8.04191263864239e-05,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.0012676648013437708
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,3,target_noise,8,0.1059455769136548,3,square(x1),"(0.9975801 * square(subtract(add(x1, x2), x2)) + -0.0075005112)",0.24602094292640686,0.3054268361300234,0.9999833241802137,0.004083603774396488,0.0025147314064355047,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.009920412973369208
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,4,target_noise,8,0.10208135610446334,3,square(x1),"(0.99797222 * square(subtract(add(x0, x1), x0)) + 0.0073819567)",0.1924890261143446,0.24506032803878225,0.9999892645852547,0.003276494276711139,0.0019341886057199038,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.009409740882106332
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,0,measurement_noise,8,0.10166270704939961,3,square(x1),"(0.94519387 * square(multiply(x1, safe_divide(x1, x1))) + 0.056187077)",5.313650336116552,6.96737091989031,0.9913221793624024,0.09315482079633662,0.05353104053775894,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.11099320556282499
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,1,measurement_noise,8,0.10596146993339062,3,square(x1),"(0.94419592 * square(multiply(x1, safe_divide(x1, x1))) + 0.057410849)",5.391927618533373,7.137177406352812,0.9908940389082603,0.09542515963696187,0.054497123303054965,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.11321492945817624
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,2,measurement_noise,8,0.10591385792940855,3,square(x1),"(0.95454425 * square(safe_divide(square(x1), x1)) + 0.042255476)",4.4979617316275835,5.924779753991179,0.9937249494660833,0.07921521655538624,0.045802688726752847,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.08771122463264724
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,3,measurement_noise,8,0.1076087721157819,3,square(x1),"(0.95639841 * square(safe_divide(square(x1), x1)) + 0.063504504)",4.293116515502334,5.776744250608141,0.994034606620828,0.07723595910695985,0.04214261910284079,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.10710609592350384
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,4,measurement_noise,8,0.10622687009163201,3,square(x1),"(0.9656202 * square(safe_divide(multiply(x1, x1), x1)) + 0.050710564)",3.538358710706234,4.783255404378245,0.9959100316425606,0.06395286043203496,0.037054445756754005,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.0850903599762185
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,0,irrelevant_features,8,1.0529028768651187,1,square(x1),"multiply(x1, x1)",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,1,irrelevant_features,8,1.0645989628974348,1,square(x1),square(x1),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,2,irrelevant_features,8,1.0573028759099543,1,square(x1),square(x1),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,3,irrelevant_features,8,1.0624333838932216,1,square(x1),square(x1),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,4,irrelevant_features,8,1.0524939559400082,1,square(x1),square(x1),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,0,correlated_features,8,1.418012693990022,3,square(x1),"(0.99999999 * subtract(add(x6, square(x1)), x6) + 5.4648504e-09)",2.059245095706319e-06,2.9521715500024435e-06,0.9999999999999984,3.947098767419296e-08,2.0725815769999483e-08,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,1.1346779071885749e-08
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,1,correlated_features,8,1.4095557499676943,3,square(x1),"(1 * add(x6, subtract(square(x1), x6)) + 1.1281935e-09)",1.9939851713703105e-06,2.8414129245466703e-06,0.9999999999999986,3.799012781692221e-08,2.0293341844334808e-08,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,3.907376977529964e-09
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,2,correlated_features,8,1.404550523031503,3,square(x1),"(0.99999999 * subtract(add(x6, square(x1)), x6) + 3.4712155e-09)",2.054554689885635e-06,2.9447480439354567e-06,0.9999999999999984,3.937173425632533e-08,2.0759132786965556e-08,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,9.168029779793585e-09
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,3,correlated_features,8,1.396716807037592,3,square(x1),"(1 * add(x7, subtract(multiply(x1, x1), x7)) + 1.7937438e-09)",2.028084406175898e-06,2.9007143036210407e-06,0.9999999999999984,3.878299637583275e-08,2.101875054001283e-08,0.5,1.0,0.6666666666666666,0.0,0,2.0,6.3780414283343134e-09
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609000,202609000,4,correlated_features,8,1.4006369919516146,3,square(x1),"(1 * subtract(add(x3, square(x1)), x3) + 8.3533047e-10)",2.020728446995579e-06,2.8880951869778615e-06,0.9999999999999986,3.8614276845464765e-08,2.0853863398008237e-08,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,5.068227060256447e-09
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,0,clean,8,0.10628117411397398,1,abs(x0),abs(x0),0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,0,target_noise,8,0.10113077680580318,3,abs(x0),"(1.0053736 * abs(subtract(add(x0, x2), x2)) + -0.0045679851)",0.043644176330417395,0.048702526966863356,0.9998533766798764,0.012108811672645117,0.004856648135529846,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.009941591021122465
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,1,target_noise,8,0.10258359392173588,3,abs(x0),"(1.0113062 * add(x3, subtract(abs(x0), x3)) + -0.013061793)",0.08837899845093489,0.09939219215147395,0.999389332795572,0.024711681537847436,0.00982813149805438,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.024368030772892846
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,2,target_noise,8,0.10248404508456588,3,abs(x0),"(0.99272858 * abs(multiply(x0, safe_divide(x0, x0))) + 0.01287342)",0.05236590746790171,0.05997934459544034,0.9997776160243135,0.014912544239214188,0.005814508188058702,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.020144835559456564
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,3,target_noise,8,0.10616814298555255,3,abs(x0),"(0.99735959 * add(x2, subtract(abs(x0), x2)) + -0.0024907522)",0.026180871296674013,0.028252893116517054,0.9999506569590033,0.007024460192549015,0.002922364227595255,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.00513116349511844
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,4,target_noise,8,0.1056023919954896,3,abs(x0),"(0.33305479 * abs(add(x0, add(x0, x0))) + 0.003039137)",0.004604057874530554,0.005583268624415499,0.9999980730204532,0.001388156888385576,0.0004958157420475082,1.0,1.0,1.0,0.3333333333333333,0,2.0,0.6699843421643069
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202609001,202609001,0,measurement_noise,8,0.10289124795235693,3,abs(x0),"(0.97712059 * add(x3, subtract(abs(x0), x3)) + 0.017615621)",0.19317105086520314,0.2290234646875299,0.9967576490614953,0.05694164502808743,0.020909059452604767,0.5,1.0,0.6666666666666666,0.3333333333333333,0,2.0,0.04049503282531308
