condition,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,feature_f1_mean,operator_accuracy_mean,exact_program_fraction,operation_count_mean,search_seconds_mean
clean,20,20,0.0,0.0,0.0,0.0,1.0,0.9666666666666666,0.9,1.65,0.10670600016601384
correlated_features,20,100,3.240920266203862e-08,1.672108900846198e-08,2.551845140125947e-08,3.921059241890087e-08,0.9133333333333333,0.6833333333333333,0.55,2.4,1.3926458871341312
irrelevant_features,20,100,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.8700000000000001,1.65,1.0567703971080482
measurement_noise,20,100,0.6966794176740881,2.755714079593853,0.053208115415408534,1.9648545212320427,0.9519047619047619,0.6183333333333334,0.25,2.7399999999999998,0.10236707912292331
target_noise,20,100,0.008000924047880598,0.010872795609687553,0.004962792705142271,0.01328356793771062,0.9073333333333334,0.6250000000000001,0.32999999999999996,2.71,0.10246954530011862
