dataset,model,method,seed,selected_columns,n_selected,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
weather,mlp,qple,20260828,46;98;99,3,256917,256212,129,64,11,0.18236441910266876,1.6660244104676731,0.16724808514118195,1.595481907168068,0.0,16.221011130837724
weather,mlp,tple,20260828,46;98;99,3,256917,256212,129,64,11,0.18180745840072632,1.6634783554363124,0.16826340556144714,1.600317461055639,0.0,16.753680320922285
weather,resnet,qple,20260828,46;98;99,3,371105,372308,128,64,17,0.18177607655525208,1.66333478246618,0.16893303394317627,1.603498645758062,0.0,21.057626779889688
weather,resnet,tple,20260828,46;98;99,3,371105,372308,128,64,20,0.18167644739151,1.6628788936342578,0.16655589640140533,1.5921768778526852,0.0,23.311073077842593
weather,ft_transformer,qple,20260828,46;98;99,3,35109,35124,128,82,11,0.18377508223056793,1.6724556863006061,0.17106609046459198,1.6135902894792125,0.0,26.62275836779736
weather,ft_transformer,tple,20260828,46;98;99,3,35109,35124,128,82,10,0.18354466557502747,1.6714068974544662,0.16944386065006256,1.6059211786203584,0.0,25.961907965131104
cooking-time,mlp,qple,20260828,0;170,2,460913,461075,128,64,4,0.5054651498794556,0.4693627087965101,0.5362589359283447,0.48344852970741375,0.0,8.768612772924826
cooking-time,mlp,tple,20260828,0;170,2,460913,461075,128,64,6,0.5034643411636353,0.46843283641100436,0.5310697555541992,0.48110376681243117,0.0,11.58993723988533
cooking-time,resnet,qple,20260828,0;170,2,577009,577171,128,64,15,0.5043765306472778,0.46885700362540284,0.5376917123794556,0.48409393770720976,0.0,23.21955126686953
cooking-time,resnet,tple,20260828,0;170,2,577009,577171,128,64,6,0.5057797431945801,0.46950874794747244,0.5330851674079895,0.48201579770458575,0.0,11.784024002961814
cooking-time,ft_transformer,qple,20260828,0;170,2,57685,57715,128,66,20,0.5035117268562317,0.46845488016892955,0.5302661061286926,0.48073961017924216,0.0,41.91571289906278
cooking-time,ft_transformer,tple,20260828,0;170,2,57685,57715,128,66,6,0.506772518157959,0.46996931208642984,0.5377838015556335,0.48413539073901574,0.0,23.43423970695585
