dataset,column,nodes,strength,energy_zero,semantic_retention,node_control_retention_mean,node_control_retention_sd,isospectral_retention_mean,isospectral_retention_sd,semantic_minus_node,semantic_minus_isospectral
tabred-maps-routing,0,23,0.01,2.6051845628606647e-05,0.9847924382845277,0.9842408708050223,0.0038537896566304556,0.9829900184334807,0.004638008675830909,0.0005515674795052958,0.0018024198510469861
tabred-maps-routing,0,23,0.03,2.6051845628606647e-05,0.9575326349022585,0.9568300636186747,0.010434508149063541,0.9546830151207354,0.01190145514782891,0.0007025712835837284,0.0028496197815230592
tabred-maps-routing,0,23,0.1,2.6051845628606647e-05,0.8838020631122149,0.8860156653367554,0.026449261666238465,0.8854771443761777,0.02596279672619987,-0.0022136022245405145,-0.0016750812639628359
tabred-maps-routing,0,23,0.3,2.6051845628606647e-05,0.7583442283227724,0.772430575142946,0.04691178984971141,0.7742379089113492,0.03747326115014439,-0.014086346820173672,-0.015893680588576955
tabred-maps-routing,0,23,1.0,2.6051845628606647e-05,0.5751976780740818,0.612678135525612,0.05711723693288645,0.6062218482403303,0.044405927414078596,-0.037480457451530176,-0.031024170166248467
tabred-maps-routing,0,23,3.0,2.6051845628606647e-05,0.399950589394888,0.460781011004099,0.04571025852085704,0.44475731326039786,0.04847149574606322,-0.060830421609211066,-0.04480672386550988
tabred-maps-routing,0,23,10.0,2.6051845628606647e-05,0.22562375707006596,0.30744901777368716,0.024099709903318,0.29204163715296805,0.042235733725298284,-0.0818252607036212,-0.06641788008290206
tabred-maps-routing,0,23,30.0,2.6051845628606647e-05,0.11052822909303298,0.189820061532635,0.019945637570573774,0.17921523998038943,0.029503925972609285,-0.07929183243960204,-0.06868701088735647
tabred-maps-routing,0,23,100.0,2.6051845628606647e-05,0.043578580564589894,0.09408319489244053,0.018084582371078888,0.08766834066172077,0.015639675776691633,-0.05050461432785063,-0.04408976009713087
tabred-maps-routing,1,23,0.01,3.0111219351225223e-05,0.972226920575368,0.9818345216994027,0.0028730727344971623,0.9731183981353896,0.012476674189850934,-0.009607601124034679,-0.0008914775600215923
tabred-maps-routing,1,23,0.03,3.0111219351225223e-05,0.9279161711532469,0.9503371645404027,0.006949377889677683,0.9303332010323484,0.030643300731254475,-0.022420993387155908,-0.0024170298791015717
tabred-maps-routing,1,23,0.1,3.0111219351225223e-05,0.8292333588167005,0.8696290683865137,0.0148386387957379,0.8358168567135305,0.0631107227268343,-0.04039570956981313,-0.006583497896829925
tabred-maps-routing,1,23,0.3,3.0111219351225223e-05,0.6939432489262543,0.7401285130126954,0.02563679174561096,0.7078847734596342,0.08930389845881877,-0.04618526408644117,-0.013941524533379896
tabred-maps-routing,1,23,1.0,3.0111219351225223e-05,0.5225737754744375,0.5597220855629489,0.042007346160878666,0.5434572269481979,0.09889683076897625,-0.037148310088511466,-0.020883451473760407
tabred-maps-routing,1,23,3.0,3.0111219351225223e-05,0.36358687909469284,0.40019997393427276,0.055058044480750405,0.39295108139422447,0.09397519278094835,-0.03661309483957993,-0.029364202299531628
tabred-maps-routing,1,23,10.0,3.0111219351225223e-05,0.20569396628106182,0.25632848979362005,0.05902599663973413,0.24791301950755054,0.07304051767725502,-0.05063452351255824,-0.04221905322648872
