task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,relative_val_log_loss_gain_pct,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,relative_test_log_loss_gain_pct,heterobag_val_loss,heterobag_val_rmse,ttt_val_loss,ttt_val_rmse,relative_val_rmse_gain_pct,heterobag_test_loss,heterobag_test_rmse,ttt_test_loss,ttt_test_rmse,relative_test_rmse_gain_pct
classification,openml-ionosphere-59,mlp,qple,20260827,20260928,20261029,98067,98067,98067,98067,0.28423666918865975,0.9368888888888889,0.9,0.287753782445973,0.936,0.9,1.2222648221743515,0.18390006419506819,0.9826086956521739,0.9295774647887324,0.18234198973339444,0.9843478260869565,0.9154929577464789,-0.8544792474579425,,,,,,,,,,
classification,openml-ionosphere-59,resnet,qple,20260827,20260928,20261029,214359,214359,214359,214359,0.24914678454509318,0.9288888888888889,0.9142857142857143,0.23455451657791043,0.9337777777777778,0.9285714285714286,-6.221269229891688,0.2426937538299383,0.9752173913043478,0.9014084507042254,0.24545710461725403,0.9752173913043478,0.9014084507042254,1.1257978422032981,,,,,,,,,,
classification,openml-ionosphere-59,ft_transformer,qple,20260827,20260928,20261029,17919,17919,17919,17919,0.3352507012702395,0.9342222222222222,0.9285714285714286,0.33592320134450127,0.9475555555555555,0.9285714285714286,0.20019458958778819,0.2933300811088055,0.9821739130434782,0.9295774647887324,0.3049433163533625,0.9673913043478262,0.9295774647887324,3.808325882801066,,,,,,,,,,
classification,openml-diabetes-37,mlp,qple,20260827,20260928,20261029,39707,39707,39707,39707,0.4201743037535696,0.8741666666666666,0.7987012987012987,0.4236451053533259,0.8732407407407408,0.8051948051948052,0.8192710256528448,0.44301554546460215,0.8643518518518519,0.7922077922077922,0.4473656620433621,0.8594444444444445,0.7922077922077922,0.9723849968481258,,,,,,,,,,
classification,openml-diabetes-37,resnet,qple,20260827,20260928,20261029,155837,155837,155837,155837,0.4355074560714721,0.8635185185185186,0.7662337662337663,0.4371955235691343,0.8632407407407406,0.7857142857142857,0.3861127131131909,0.4367578667354322,0.8632407407407408,0.7922077922077922,0.4335463324546382,0.8655555555555556,0.7922077922077922,-0.7407591854395486,,,,,,,,,,
classification,openml-diabetes-37,ft_transformer,qple,20260827,20260928,20261029,13355,13355,13355,13355,0.4670442898573038,0.869537037037037,0.8116883116883117,0.4789548739018208,0.8605555555555555,0.7922077922077922,2.4867862701734422,0.46198893398765245,0.8632407407407408,0.7857142857142857,0.4723554593619168,0.8594444444444445,0.7857142857142857,2.194644979496589,,,,,,,,,,
regression,openml-cpu-small-562,mlp,midrank,20260827,20260928,20261029,44609,44609,44609,44609,,,,,,,,,,,,,,,0.026880694553256035,3.069600933970274,0.027093563228845596,3.0817310775242768,0.3936146032491482,0.02548934705555439,2.989104033687274,0.02550402842462063,2.98996474271439,0.02878659453136597
regression,openml-cpu-small-562,resnet,midrank,20260827,20260928,20261029,160705,160705,160705,160705,,,,,,,,,,,,,,,0.02502381056547165,2.961681804402021,0.025525836274027824,2.991242791165997,0.9882509989251965,0.024149255827069283,2.9094677757997744,0.02446088008582592,2.9281796267470575,0.6390267446833573
regression,openml-cpu-small-562,ft_transformer,midrank,20260827,20260928,20261029,9889,9889,9889,9889,,,,,,,,,,,,,,,0.025903377681970596,3.013282672448141,0.026320841163396835,3.0374669245128194,0.7961980382241485,0.024486180394887924,2.9296935686542263,0.024623680859804153,2.937907799733785,0.27959458361161255
regression,openml-house-16h-574,mlp,midrank,20260827,20260928,20261029,53889,53889,53889,53889,,,,,,,,,,,,,,,0.30831053853034973,29639.651572732666,0.31614571809768677,30013.90897751581,1.2469465575560645,0.34491291642189026,31349.717975537267,0.3528200685977936,31707.028948343373,1.1269140775953246
regression,openml-house-16h-574,resnet,midrank,20260827,20260928,20261029,169985,169985,169985,169985,,,,,,,,,,,,,,,0.3053044080734253,29494.79938025753,0.31501683592796326,29960.27474306993,1.5536418367460738,0.3443635106086731,31324.739813243996,0.35049036145210266,31602.1731841687,0.8778933312842101
regression,openml-house-16h-574,ft_transformer,midrank,20260827,20260928,20261029,10977,10977,10977,10977,,,,,,,,,,,,,,,0.3265416622161865,30503.397110417773,0.3327177166938782,30790.509302801867,0.9324697735934109,0.35434195399284363,31775.33931986451,0.3590557873249054,31985.995710860538,0.6585894430183439
