dataset,task,model,seed,method,target_parameters,input_features,tokens,d_ff,parameters,parameter_error_fraction,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
adult,binclass,field_token_transformer,20260834,quantile_ple,80257,190,14,128,80257,0.0,16,0.3016178848521661,0.3052152867277524,0.8549055734684478,0.859,47.78013705299236
adult,binclass,field_token_transformer,20260834,adaptive_support_ple,80257,204,14,125,80379,0.0015201166253410918,17,0.2946742917956374,0.29819558609899954,0.8608935974205435,0.8651333333333333,49.810267380904406
adult,binclass,field_token_transformer,20260834,adaptive_support_whitened,80257,204,14,125,80379,0.0015201166253410918,17,0.2950507236417005,0.295966040283786,0.8599723629663749,0.8653333333333333,58.19457208411768
adult,binclass,field_token_transformer,20260834,adaptive_support_riesz,80257,204,14,125,80379,0.0015201166253410918,16,0.2949113795133785,0.29809095250931084,0.861200675571933,0.8625333333333334,60.48111967998557
adult,binclass,field_token_transformer,20260834,adaptive_support_wrong_riesz,80257,204,14,125,80379,0.0015201166253410918,15,0.2924550417221032,0.29614448007452215,0.8624289881774911,0.8657333333333334,59.5041750241071
black-friday,regression,field_token_transformer,20260834,quantile_ple,71489,58,9,128,71489,0.0,18,0.4897829294204712,0.4919801354408264,0.6989310858664055,0.7004970577076932,27.600538917118683
black-friday,regression,field_token_transformer,20260834,adaptive_support_ple,71489,72,9,125,71611,0.0017065562534096155,18,0.48713743686676025,0.4891055226325989,0.6970409310073791,0.6984475495731459,129.66212545195594
black-friday,regression,field_token_transformer,20260834,adaptive_support_whitened,71489,72,9,125,71611,0.0017065562534096155,9,0.4860020875930786,0.488298624753952,0.6962281519173672,0.6978712109800966,64.02669502515346
black-friday,regression,field_token_transformer,20260834,adaptive_support_riesz,71489,72,9,125,71611,0.0017065562534096155,12,0.48590266704559326,0.48683395981788635,0.696156957850306,0.6968237771974799,75.3812306120526
black-friday,regression,field_token_transformer,20260834,adaptive_support_wrong_riesz,71489,72,9,125,71611,0.0017065562534096155,18,0.48486849665641785,0.4878942370414734,0.6954157299882269,0.6975821487813931,96.55958675593138
california,regression,field_token_transformer,20260834,quantile_ple,83969,254,8,128,83969,0.0,20,0.1806045025587082,0.1739993691444397,0.4932228710085269,0.4841197183658821,25.195197070017457
california,regression,field_token_transformer,20260834,adaptive_support_ple,83969,249,8,129,83907,-0.0007383677309483261,20,0.18226566910743713,0.17752592265605927,0.4954859825623643,0.48900109399433944,24.631136267911643
california,regression,field_token_transformer,20260834,adaptive_support_whitened,83969,249,8,129,83907,-0.0007383677309483261,19,0.19303372502326965,0.18406064808368683,0.5099123415989979,0.4979198218959624,24.267395918024704
california,regression,field_token_transformer,20260834,adaptive_support_riesz,83969,249,8,129,83907,-0.0007383677309483261,19,0.17992839217185974,0.18262703716754913,0.4922988103594008,0.4959769286940343,22.42344838893041
california,regression,field_token_transformer,20260834,adaptive_support_wrong_riesz,83969,249,8,129,83907,-0.0007383677309483261,19,0.19483138620853424,0.18657760322093964,0.5122811549548913,0.5013126906358458,22.22344510583207
