split,level,name,cells,wins,mean_relative_gain_pct,median_relative_gain_pct
val,overall,overall,12,12,2.748200995676161,2.255299591367672
val,task,classification,6,6,3.609339444073411,3.7295589077367532
val,task,regression,6,6,1.8870625472789107,0.8802774648132978
val,dataset,openml-abalone-183,3,3,0.3917454157918059,0.13321463465510036
val,dataset,openml-credit-g-31,3,3,1.6372627816003806,1.5150803559737278
val,dataset,openml-kin8nm-189,3,3,3.3823796787660156,2.995518826761616
val,dataset,openml-spambase-44,3,3,5.581416106546442,4.295815329147702
test,overall,overall,12,10,1.9897364331285694,1.461513274486261
test,task,classification,6,4,1.4827438661360344,1.0765000637064794
test,task,regression,6,6,2.496729000121104,1.4766248023373896
test,dataset,openml-abalone-183,3,3,0.4579776678624328,0.2919519563818822
test,dataset,openml-credit-g-31,3,1,-0.6070679188637403,-0.16224280151308162
test,dataset,openml-kin8nm-189,3,3,4.535480332379776,5.386219003703704
test,dataset,openml-spambase-44,3,3,3.572555651135809,3.848705075767807
