dataset,model,seed,val_rmse_interval,test_rmse_interval,val_rmse_rank,test_rmse_rank,val_gain_vs_midrank_pct,test_gain_vs_midrank_pct,development
cooking-time,mlp,20260827,0.4668440076929905,0.4799643829861919,0.4668283152460684,0.480115259469775,-0.0033615028072687537,0.03142505483990729,True
cooking-time,resnet,20260827,0.468496580239821,0.481773615638765,0.4685188705106934,0.481840069468432,0.004757603647451639,0.013791677753229566,True
cooking-time,ft_transformer,20260827,0.4679255711194345,0.4826641441521899,0.4688929337713876,0.4840229092775545,0.20630779060209073,0.28072330861212014,True
weather,mlp,20260827,1.6674464547726662,1.587853672425791,1.668308439044329,1.5874328984980413,0.05166815988514802,-0.026506564664740724,True
weather,resnet,20260827,1.6684585166591746,1.6016820850893847,1.6695429156236798,1.6030435667310277,0.06495184726055417,0.08493104428966526,True
weather,ft_transformer,20260827,1.6893949189308717,1.630580575113313,1.6891641960128114,1.6199840950024906,-0.013658998847173384,-0.654110132532256,True
delivery-eta,mlp,20260827,0.5659896002321717,0.5509173675626281,0.565358903784087,0.5528093801747141,-0.11155682591416873,0.3422540716454704,False
delivery-eta,resnet,20260827,0.5674379710221944,0.5483435349902477,0.5671129743808343,0.5480137511682909,-0.05730721320825442,-0.060178019484685194,False
delivery-eta,ft_transformer,20260827,0.5671478404496101,0.550888381434046,0.567012069668761,0.5529927178650041,-0.023944954280840373,0.3805360112304238,False
maps-routing,mlp,20260827,0.1653852825401357,0.1660251652465024,0.1651609209605628,0.1657226530817112,-0.1358442289302014,-0.18254122726484268,False
maps-routing,resnet,20260827,0.1663020771922851,0.1671888461346536,0.1662300913247671,0.1670426764430537,-0.043304955766016076,-0.0875043999008963,False
