dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,val_q_rmse,val_t_rmse,val_rank_rmse,val_disagreement,test_loss,test_rmse,test_q_rmse,test_t_rmse,test_rank_rmse,test_disagreement,train_seconds
weather,mlp,shared_consistency,20260829,103,417647,12,0.18264441192150116,1.6673028834292516,1.6678302484899201,1.67024583584452,1.6814566425851283,0.0012916279956698418,0.16728323698043823,1.595649565819853,1.5993224774688695,1.601963987929131,1.6007549672306631,0.001056819106452167,32.28743267105892
weather,resnet,shared_consistency,20260829,103,533743,12,0.18113906681537628,1.6604177584579933,1.6639800817793127,1.6697578093164582,1.6664558941659047,0.0013805782655254006,0.16756735742092133,1.5970040479821914,1.6064509052786329,1.6079446083384685,1.5952260853904867,0.0013063648948445916,42.221960465889424
weather,ft_transformer,shared_consistency,20260829,103,196559,18,0.1817123144865036,1.6630430307381088,1.67253610042903,1.6756568569473913,1.6801213106933777,0.0028663952834904194,0.1667345017194748,1.5930303302632152,1.6052386235006606,1.605555640897604,1.6078770441943055,0.0027736781630665064,101.22117663687095
cooking-time,mlp,shared_consistency,20260829,192,764129,11,0.49930500984191895,0.46649386279482524,0.4667646636093676,0.466740898106379,0.46700143161979685,0.0007333142566494644,0.5306711196899414,0.4809231679200728,0.48159504801871394,0.4805370345313341,0.48167660085280445,0.0007647289312444627,34.34815460303798
cooking-time,resnet,shared_consistency,20260829,192,880225,5,0.5032333731651306,0.4683253755669639,0.46884439833426406,0.46883251303505963,0.4684328918683007,0.0008125766180455685,0.5330536365509033,0.48200154238770165,0.48307941865225396,0.48170793461239364,0.4823304122012622,0.000822474539745599,26.143533744150773
cooking-time,ft_transformer,shared_consistency,20260829,192,360769,15,0.5008695721626282,0.4672241657667369,0.46833749561053495,0.4677540463736247,0.4696816783538027,0.002937204437330365,0.5299023985862732,0.4805747131469486,0.48120159890234243,0.48168258732238545,0.4830515888334639,0.003102168207988143,99.64798795292154
delivery-eta,mlp,shared_consistency,20260829,223,886879,10,0.5973119735717773,0.5648819738185613,0.5654846263572235,0.5653402612376539,0.5651305324720406,0.0009245775872841477,0.572980523109436,0.5532571503461033,0.5538656104321674,0.5537524304270172,0.55346024606118,0.0009038683492690325,32.59464752301574
delivery-eta,resnet,shared_consistency,20260829,223,1002975,11,0.5995821356773376,0.5659544096315252,0.5662041002475852,0.5676152374324989,0.5655863947091732,0.0010918459156528115,0.5892152190208435,0.5610403329578242,0.5595874949290336,0.5658399336208831,0.5591633016337862,0.0010476750321686268,40.06258970894851
delivery-eta,ft_transformer,shared_consistency,20260829,223,420031,11,0.5982582569122314,0.5653292500188803,0.5657864998041331,0.5673792721077614,0.5661929089956173,0.002381922211498022,0.5772572755813599,0.5553180799416748,0.5558549178210795,0.5545858041196038,0.559015709168011,0.0024375447537750006,75.08895245799795
