dataset,task,model,pair,split,primary_metric,candidate,t_plus_t_control,relative_gain_pct,win
openml-credit-g-31,classification,mlp,tq,val,log_loss,0.4530967983875066,0.4536509694247946,0.12215801897010332,True
openml-credit-g-31,classification,mlp,tq,test,log_loss,0.5048742367200609,0.5040564414282805,-0.16224280151308162,False
openml-credit-g-31,classification,resnet,tq,val,log_loss,0.4577081130820495,0.4647494405604791,1.5150803559737278,True
openml-credit-g-31,classification,resnet,tq,test,log_loss,0.5111317055336904,0.5120890194597366,0.18694287314659447,True
openml-credit-g-31,classification,ft_transformer,trank,val,log_loss,0.4529044587517486,0.4682371171295759,3.274549969857311,True
openml-credit-g-31,classification,ft_transformer,trank,test,log_loss,0.513256159261702,0.503953659370896,-1.845903828224734,False
openml-spambase-44,classification,mlp,trank,val,log_loss,0.1518195047442441,0.1586341341983997,4.295815329147702,True
openml-spambase-44,classification,mlp,trank,test,log_loss,0.1612400212920099,0.1676940715349367,3.848705075767807,True
openml-spambase-44,classification,resnet,trank,val,log_loss,0.139341372350827,0.1518936595387233,8.263865144875428,True
openml-spambase-44,classification,resnet,trank,test,log_loss,0.1540316853547435,0.1571207696442943,1.9660572542663644,True
openml-spambase-44,classification,ft_transformer,trank,val,log_loss,0.1641309614862822,0.1712990880444229,4.184567845616195,True
openml-spambase-44,classification,ft_transformer,trank,test,log_loss,0.1685082431713886,0.1771959937409456,4.902904623373256,True
openml-kin8nm-189,regression,mlp,tq,val,rmse,0.0871458810955381,0.0930519563636984,6.347072645174803,True
openml-kin8nm-189,regression,mlp,tq,test,rmse,0.0875572033780381,0.0933683980216958,6.223941683466999,True
openml-kin8nm-189,regression,resnet,tq,val,rmse,0.0722970936679934,0.0728834758981541,0.8045475643616273,True
openml-kin8nm-189,regression,resnet,tq,test,rmse,0.0741097349612224,0.0756193083238254,1.996280309968622,True
openml-kin8nm-189,regression,ft_transformer,trank,val,rmse,0.098734844870825,0.1017837976933214,2.995518826761616,True
openml-kin8nm-189,regression,ft_transformer,trank,test,rmse,0.0985600831207494,0.1041709591170525,5.386219003703704,True
openml-abalone-183,regression,mlp,tq,val,rmse,2.067241625610273,2.0690212786928317,0.0860142474553488,True
openml-abalone-183,regression,mlp,tq,test,rmse,2.1559246624807167,2.1767555446639646,0.9569692947061572,True
openml-abalone-183,regression,resnet,trank,val,rmse,2.075025626464077,2.095054501807674,0.9560073652649684,True
openml-abalone-183,regression,resnet,trank,test,rmse,2.1911137628169954,2.1975294931643576,0.2919519563818822,True
openml-abalone-183,regression,ft_transformer,trank,val,rmse,2.0929852273816896,2.0957771092008968,0.13321463465510036,True
openml-abalone-183,regression,ft_transformer,trank,test,rmse,2.172376957168215,2.1750960828999912,0.12501175249925914,True
