dataset,model,seed,method,strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
uci-bike-hourly,mlp,20260844,quantile_ple,1.0,155,36609,22,0.05190020799636841,0.06406952440738678,0.08489186316728592,0.34973908604945336,0.4025793000248825,0.28482306003570557,7.852895259857178,0.02166430838406086,2.313300115056336
uci-bike-hourly,mlp,20260844,hour_mass,1.0,155,36609,14,0.05286406725645065,0.05747872218489647,0.07990451157093048,0.3312622751647467,0.3905746695100163,0.24694804847240448,7.376502990722656,0.02166569232940674,1.5980488539207727
uci-bike-hourly,mlp,20260844,hour_path,1.0,155,36609,14,0.05092257261276245,0.06320042908191681,0.08643459528684616,0.34735889734366765,0.4062208627391044,0.24208851158618927,7.373523235321045,0.02166646160185337,1.5849254031199962
uci-bike-hourly,mlp,20260844,hour_ring,1.0,155,36609,10,0.05660697817802429,0.06727010756731033,0.08064175397157669,0.35836820691449134,0.39237234983491476,0.23914489150047302,7.176271915435791,0.021665604785084724,1.2108782280702144
uci-bike-hourly,mlp,20260844,hour_wrong_ring,1.0,155,36609,14,0.05193530395627022,0.06152776628732681,0.08201469480991364,0.34273148469682724,0.3956983631554749,0.2304673045873642,7.562722206115723,0.021665673702955246,1.5836996850557625
uci-bike-hourly,mlp,20260845,quantile_ple,1.0,155,36609,15,0.0575789213180542,0.06820105761289597,0.09050153195858002,0.36083939968656864,0.4156677848514505,0.4423041343688965,7.714411735534668,0.021570131182670593,1.5064715719781816
uci-bike-hourly,mlp,20260845,hour_mass,1.0,155,36609,16,0.049587566405534744,0.06866496056318283,0.08996706455945969,0.36206453678173034,0.41443861228185597,0.37038570642471313,7.474824905395508,0.021571042016148567,1.4512468120083213
uci-bike-hourly,mlp,20260845,hour_path,1.0,155,36609,14,0.051580801606178284,0.0618022158741951,0.07979246973991394,0.3434950129308447,0.39030075138830966,0.368893027305603,7.315367221832275,0.02157082036137581,1.3183570890687406
uci-bike-hourly,mlp,20260845,hour_ring,1.0,155,36609,14,0.05019892379641533,0.07410324364900589,0.0923045203089714,0.37612919463794015,0.4197878807124482,0.3650398254394531,7.293499946594238,0.021571101620793343,1.3148855660110712
uci-bike-hourly,mlp,20260845,hour_wrong_ring,1.0,155,36609,14,0.05080496147274971,0.061539337038993835,0.08135822415351868,0.34276370672482415,0.39411151578053705,0.3512917459011078,7.566861629486084,0.021570466458797455,1.3043302199803293
uci-bike-hourly,mlp,20260846,quantile_ple,1.0,155,36609,24,0.050751034170389175,0.06828349083662033,0.08601038157939911,0.3610574388408736,0.40522278284825575,0.24377214908599854,7.930541038513184,0.021520910784602165,2.0016975270118564
uci-bike-hourly,mlp,20260846,hour_mass,1.0,155,36609,25,0.04512768238782883,0.05892901495099068,0.08205200731754303,0.3354154166199521,0.39578837894231356,0.24665838479995728,7.782657146453857,0.02152242325246334,2.297228907002136
uci-bike-hourly,mlp,20260846,hour_path,1.0,155,36609,17,0.049277909100055695,0.06337153166532516,0.08655372262001038,0.34782878304523024,0.4065007105375287,0.23845013976097107,7.445188522338867,0.02152128331363201,1.540669122012332
uci-bike-hourly,mlp,20260846,hour_ring,1.0,155,36609,17,0.048953838646411896,0.06321875005960464,0.08452777564525604,0.34740925841745707,0.40171509082159673,0.24065539240837097,7.439277648925781,0.021521450951695442,1.5143322478979826
uci-bike-hourly,mlp,20260846,hour_wrong_ring,1.0,155,36609,9,0.05624367669224739,0.07772841304540634,0.09383203834295273,0.3852195537593275,0.4232471058676026,0.23139908909797668,7.354019641876221,0.021523306146264076,1.068691180087626
uci-bike-hourly,resnet,20260844,quantile_ple,1.0,155,152705,12,0.04822129011154175,0.06597688049077988,0.0822908878326416,0.35490679930887836,0.39636409290196184,3.484790802001953,6.7385454177856445,0.0216692928224802,1.8115898119285703
