model,method,seeds,mean_test_loss,sd_test_loss,mean_test_loss_gain_pct
mlp,adaptive_support_riesz,3,0.16459870835145315,0.0021278655463533645,10.006592439708903
mlp,adaptive_support_whitened,3,0.1738748451073964,0.003128543980433367,4.921472097705794
mlp,adaptive_support_wrong_riesz,3,0.17265150447686506,0.0011785209129649182,5.604804388452635
mlp,quantile_ple,3,0.1829140981038411,0.00236273604688798,0.0
mlp,quantile_whitened,3,0.1887785196304321,0.007138998737878699,-3.2046092736989458
resnet,adaptive_support_riesz,3,0.17127563059329984,0.0012437112910245172,5.240109878581973
resnet,adaptive_support_whitened,3,0.17730093995730076,0.003874760232301637,1.8850331590785545
resnet,adaptive_support_wrong_riesz,3,0.18248911201953888,0.0022829194500155244,-0.9818138322593736
resnet,quantile_ple,3,0.1807714353005091,0.0029644607457143717,0.0
resnet,quantile_whitened,3,0.20458694299062088,0.0036593327497687522,-13.201299552345711
