dataset,model,seed,val_rmse_rank,test_rmse_rank,val_rmse_qple,val_rmse_tple,test_rmse_qple,test_rmse_tple,val_gain_vs_qple_pct,val_gain_vs_tple_pct,test_gain_vs_qple_pct,test_gain_vs_tple_pct
cooking-time,mlp,20260827,0.4668283152460684,0.480115259469775,0.4677358851678095,0.4673639251822812,0.4805459814428184,0.4803208795013886,0.19403470003493878,0.11460232751253178,0.089631791686233,0.04280888888840572
cooking-time,resnet,20260827,0.4685188705106934,0.481840069468432,0.4686211592736794,0.4671566337594426,0.4853385577606978,0.4812908290429193,0.021827602309838507,-0.29160171403073126,0.7208346084035553,-0.11411819888712409
cooking-time,ft_transformer,20260827,0.4688929337713876,0.4840229092775545,0.4689293597518175,0.4692554055358726,0.4833558013810191,0.4833349746946345,0.007767903559970973,0.07724402536633043,-0.13801590766664548,-0.1423308096738955
cooking-time,mlp,20260828,0.4688050288582348,0.4819654575746366,0.4693627087965101,0.4684328364110043,0.4834485297074137,0.4811037668124311,0.11881641379334704,-0.07945481578151058,0.3067693956323876,-0.17910704959028945
cooking-time,resnet,20260828,0.4680013185071878,0.4840916838483992,0.4688570036254028,0.4695087479474724,0.4840939377072097,0.4820157977045857,0.18250449744772182,0.3210652510468749,0.0004655829447493492,-0.43066765730482176
cooking-time,ft_transformer,20260828,0.46858462617593,0.4814895536138875,0.4684548801689295,0.4699693120864298,0.4807396101792421,0.4841353907390157,-0.027696585625004,0.294633261127725,-0.15599784556254728,0.5465076868454901
cooking-time,mlp,20260829,0.4680276287652025,0.4813187606687343,0.4677616827556989,0.4665574260959341,0.4812920974707231,0.4803926175249497,-0.056855022398762604,-0.31511719394775844,-0.005539920175569222,-0.19278879608021568
cooking-time,resnet,20260829,0.4684045523342993,0.4822605245838848,0.4691515662033062,0.4689254264362157,0.4833709303982165,0.4824051632375055,0.15922655338279806,0.11107823814865682,0.22972126466457266,0.02998281623894581
cooking-time,ft_transformer,20260829,0.4678044441916835,0.4813878676091835,0.4682172520073916,0.4676448741316953,0.4816164623682984,0.4810727987030511,0.08816587042410183,-0.03412205902704746,0.047464066737008474,-0.06549297881356653
delivery-eta,mlp,20260827,0.565358903784087,0.5528093801747141,0.565800794336928,0.5662899955837155,0.5527619161274105,0.550138836374452,0.07810002341173795,0.16441960954452794,-0.00858670720952168,-0.48543088102298565
delivery-eta,resnet,20260827,0.5671129743808343,0.5480137511682909,0.567612937447483,0.5681378777180294,0.5520030611588507,0.5517297171283645,0.08808168976855582,0.18039693838257648,0.7226970774735955,0.673512019511008
delivery-eta,ft_transformer,20260827,0.567012069668761,0.5529927178650041,0.5674863397514791,0.5677534718582452,0.5536201325759902,0.5534490560149775,0.0835738324425134,0.13058523218846357,0.11332946077424692,0.0824535058852857
delivery-eta,mlp,20260828,0.564981737281855,0.5545313432932636,0.5649301104800178,0.5652780492586548,0.5534507820008714,0.5571312566285054,-0.009138617481949501,0.05241880118791196,-0.19524072013877833,0.4666608280022257
delivery-eta,resnet,20260828,0.5651120796013438,0.5557605058739498,0.5658868915614832,0.5664711906036295,0.5568608301255161,0.5576821649394956,0.13691993430019506,0.23992588234494894,0.1975941190401832,0.34457961655531016
delivery-eta,ft_transformer,20260828,0.5660083339040982,0.5556648745126902,0.5676155179178388,0.5669548992089872,0.5499800509998951,0.5587371906180665,0.28314659536373704,0.16695601470410726,-1.0336417661803834,0.5498678371449972
delivery-eta,mlp,20260829,0.5656758456508776,0.5534447122599923,0.5657994999649704,0.5666305527076646,0.559638021482401,0.5587739754424078,0.021854793809544908,0.16848845375967045,1.1066634118253087,0.9537421957055401
delivery-eta,resnet,20260829,0.5662548798833578,0.560757141708328,0.5658090107159504,0.5673145335192968,0.5596113078426521,0.5524010215050806,-0.07880206199671957,0.18678415117722866,-0.20475530955462448,-1.5126909397234942
delivery-eta,ft_transformer,20260829,0.5682867990557608,0.5542686102211503,0.5668729804031148,0.5679608585235909,0.559181893869657,0.553370834437882,-0.24940660456961786,-0.05738785116587492,0.878655711562078,-0.16223764018575076
maps-routing,mlp,20260827,0.1651609209605628,0.1657226530817112,0.1659470182806116,0.1653500704065739,0.1668316895452014,0.1661008930312086,0.47370379305008714,0.11439332656224176,0.6647636708071076,0.2277169873050186
maps-routing,resnet,20260827,0.1662300913247671,0.1670426764430537,0.1666640095155742,0.1654861042434383,0.1674914004308378,0.166274288070188,0.26035506530073577,-0.4495767694394233,0.26790867270190405,-0.46212098201338614
maps-routing,mlp,20260828,0.1660727016998246,0.166977942814688,0.1660145121638785,0.1653728844871403,0.1663275713248569,0.1657362410962317,-0.03505087307588282,-0.4231753076416377,-0.3910184491065842,-0.7492034996349017
maps-routing,resnet,20260828,0.1657595940873902,0.1660563768773215,0.166686403188306,0.1650061568607198,0.1679227443554911,0.1656565882484992,0.5560196171902431,-0.45661158407947766,1.1114441258883372,-0.24133578570542233
maps-routing,mlp,20260829,0.165293848181297,0.1661095267414902,0.1659402775572979,0.1656677802986332,0.1668984020410855,0.1662585796724208,0.38955543856897185,0.22571203444757862,0.47266797641423164,0.08965127166626358
maps-routing,resnet,20260829,0.1663685263388988,0.1666212904797283,0.1660409465701616,0.1651634447188049,0.1665764065967664,0.1655923833765386,-0.19728854568939638,-0.7296297447329055,-0.02694492208043879,-0.6213492928899287
weather,mlp,20260827,1.668308439044329,1.5874328984980413,1.677555348321022,1.683721016559098,1.6190741111704274,1.6332156200312158,0.5512133644918285,0.9153878441374139,1.9542782170429966,2.803225794050358
weather,resnet,20260827,1.6695429156236798,1.6030435667310277,1.6662249213642086,1.6700276777048275,1.6053225459629823,1.6043191449902594,-0.19913243505892536,0.029027188448391205,0.14196394597993695,0.07950900936481009
weather,ft_transformer,20260827,1.6891641960128114,1.6199840950024906,1.674052870804097,1.6799797000563412,1.6070798126916994,1.6249385139304475,-0.9026790893083373,-0.5467027938588886,-0.802964619982241,0.3048988552787148
weather,mlp,20260828,1.671139355387884,1.593276682611122,1.6660244104676731,1.6634783554363124,1.595481907168068,1.600317461055639,-0.30701500458657627,-0.46054100593104186,0.13821683260953715,0.43996135865896263
weather,resnet,20260828,1.6795971971758898,1.6031120419589435,1.66333478246618,1.6628788936342578,1.603498645758062,1.5921768778526852,-0.9776994313554892,-1.0053831103174236,0.024110017189051636,-0.6868058604773962
weather,ft_transformer,20260828,1.6788848859131862,1.6189778033361697,1.672455686300606,1.6714068974544662,1.6135902894792125,1.6059211786203584,-0.3844167391245714,-0.44740682057186876,-0.33388363155656214,-0.8130302339637966
weather,mlp,20260829,1.674461156201126,1.5964621657163942,1.6597983346595484,1.6664785541806055,1.592547052958965,1.5964145735608168,-0.8834098236750666,-0.47901018590938077,-0.24583969121383095,-0.002981190247544207
weather,resnet,20260829,1.6751226137724162,1.6097221898244245,1.6663423172574658,1.6779789334848507,1.599865446479758,1.6078227369263811,-0.5269203346765718,0.17022381243502566,-0.6160982704110977,-0.11813820357301973
weather,ft_transformer,20260829,1.685951745569552,1.6205510709289253,1.6830272279874894,1.679275384434719,1.6090016387018462,1.6072535287079548,-0.17376531605847736,-0.3975739296077673,-0.7178011475735482,-0.8273456541520329
