dataset,model,seed,q_support_gain_val_pct,q_support_vs_bin_val_pct,t_support_gain_val_pct,q_support_gain_test_pct,t_support_gain_test_pct,cell_gate
cooking-time,ft_transformer,20260827,0.24615944028874048,-0.3418315724935122,0.36757921044313624,0.003010876430693656,0.279362640474792,False
cooking-time,mlp,20260827,0.06863442762545478,-0.08881146348253234,-0.07129013230918435,0.14281873195525957,0.19797335818601297,False
cooking-time,resnet,20260827,0.017449737090831873,-0.06589545478271827,0.23725241707227007,0.2409243549882924,-0.0003035177197972147,False
weather,ft_transformer,20260827,0.7176919833159675,0.23035721172454812,-0.4348664681522509,0.14828292424407533,-0.0056920871407213115,False
weather,mlp,20260827,0.07873819215664861,-0.09955424040131855,-0.7699145562950163,0.8415501540821804,-0.07409748196014691,False
weather,resnet,20260827,-0.21710058279083663,0.02747637861349271,-0.4250167766082668,-0.5849470636858917,-0.27739518870119495,False
