dataset,model,seed,val_rmse_rank,test_rmse_rank,rank_parameters,val_rmse_qple,val_rmse_tple,test_rmse_qple,test_rmse_tple,val_gain_vs_qple_pct,val_gain_vs_tple_pct,test_gain_vs_qple_pct,test_gain_vs_tple_pct,val_beats_both
cooking-time,mlp,20260827,0.4668283152460684,0.480115259469775,662273,0.4677358851678095,0.4673639251822812,0.4805459814428184,0.4803208795013886,0.19403470003493878,0.11460232751253178,0.089631791686233,0.04280888888840572,True
cooking-time,resnet,20260827,0.4685188705106934,0.481840069468432,778369,0.4686211592736794,0.4671566337594426,0.4853385577606978,0.4812908290429193,0.021827602309838507,-0.29160171403073126,0.7208346084035553,-0.11411819888712409,False
cooking-time,ft_transformer,20260827,0.4688929337713876,0.4840229092775545,258913,0.4689293597518175,0.4692554055358726,0.4833558013810191,0.4833349746946345,0.007767903559970973,0.07724402536633043,-0.13801590766664548,-0.1423308096738955,True
delivery-eta,mlp,20260827,0.565358903784087,0.5528093801747141,766495,0.565800794336928,0.5662899955837155,0.5527619161274105,0.550138836374452,0.07810002341173795,0.16441960954452794,-0.00858670720952168,-0.48543088102298565,True
delivery-eta,resnet,20260827,0.5671129743808343,0.5480137511682909,882591,0.567612937447483,0.5681378777180294,0.5520030611588507,0.5517297171283645,0.08808168976855582,0.18039693838257648,0.7226970774735955,0.673512019511008,True
delivery-eta,ft_transformer,20260827,0.567012069668761,0.5529927178650041,299647,0.5674863397514791,0.5677534718582452,0.5536201325759902,0.5534490560149775,0.0835738324425134,0.13058523218846357,0.11332946077424692,0.0824535058852857,True
maps-routing,mlp,20260827,0.1651609209605628,0.1657226530817112,3331701,0.1659470182806116,0.1653500704065739,0.1668316895452014,0.1661008930312086,0.47370379305008714,0.11439332656224176,0.6647636708071076,0.2277169873050186,True
maps-routing,resnet,20260827,0.1662300913247671,0.1670426764430537,3447797,0.1666640095155742,0.1654861042434383,0.1674914004308378,0.166274288070188,0.26035506530073577,-0.4495767694394233,0.26790867270190405,-0.46212098201338614,False
weather,mlp,20260827,1.668308439044329,1.5874328984980413,363055,1.677555348321022,1.683721016559098,1.6190741111704274,1.6332156200312158,0.5512133644918285,0.9153878441374139,1.9542782170429966,2.803225794050358,True
weather,resnet,20260827,1.6695429156236798,1.6030435667310277,479151,1.6662249213642086,1.6700276777048275,1.6053225459629823,1.6043191449902594,-0.19913243505892536,0.029027188448391205,0.14196394597993695,0.07950900936481009,False
weather,ft_transformer,20260827,1.6891641960128114,1.6199840950024906,141967,1.674052870804097,1.6799797000563412,1.6070798126916994,1.6249385139304475,-0.9026790893083373,-0.5467027938588886,-0.802964619982241,0.3048988552787148,False
