dataset,task,model,pair,split,primary_metric,candidate,t_plus_t_control,relative_gain_pct,win
openml-banknote-1462,classification,mlp,tq,val,log_loss,0.0203483037270909,0.0235540869744143,13.610305722338945,True
openml-banknote-1462,classification,mlp,tq,test,log_loss,0.0185208599161662,0.0196965487784206,5.969009472067905,True
openml-banknote-1462,classification,resnet,tq,val,log_loss,0.001911896184181,0.0010074186329953,-89.78169765398015,False
openml-banknote-1462,classification,resnet,tq,test,log_loss,0.0018232807684264,0.0009749650724277,-87.00985501833023,False
openml-banknote-1462,classification,ft_transformer,tq,val,log_loss,0.0553158065492399,0.0558841246200651,1.0169579906439914,True
openml-banknote-1462,classification,ft_transformer,tq,test,log_loss,0.0656552658131079,0.0657298041873723,0.11340118107139623,True
openml-qsar-biodeg-1494,classification,mlp,tq,val,log_loss,0.2825721931185467,0.2968051465560689,4.795386334324718,True
openml-qsar-biodeg-1494,classification,mlp,tq,test,log_loss,0.4402794064172335,0.4307700324516326,-2.2075291336958647,False
openml-qsar-biodeg-1494,classification,resnet,tq,val,log_loss,0.2945313098431723,0.3164110844738743,6.91498360971883,True
openml-qsar-biodeg-1494,classification,resnet,tq,test,log_loss,0.4035470508135302,0.4400268868631729,8.290365234201277,True
openml-qsar-biodeg-1494,classification,ft_transformer,tq,val,log_loss,0.3257101653627879,0.3414162499590557,4.600274473798865,True
openml-qsar-biodeg-1494,classification,ft_transformer,tq,test,log_loss,0.3858841346708079,0.4094924455123099,5.76526163064278,True
openml-pol-201,regression,mlp,trank,val,rmse,3.5876965284255258,4.161414878624788,13.78661745903252,True
openml-pol-201,regression,mlp,trank,test,rmse,3.724052833479724,4.380633514603386,14.988258637360763,True
openml-pol-201,regression,resnet,trank,val,rmse,3.2566774635692783,3.777601266971959,13.789803809025127,True
openml-pol-201,regression,resnet,trank,test,rmse,3.369849872464469,3.7639640100284417,10.470720137438155,True
openml-pol-201,regression,ft_transformer,trank,val,rmse,3.897266881821589,4.156630843788948,6.239764167532791,True
openml-pol-201,regression,ft_transformer,trank,test,rmse,3.97749561559138,4.00997050203995,0.809853499721497,True
openml-puma32h-308,regression,mlp,trank,val,rmse,0.0077338749688494,0.007804855042659,0.9094348763896845,True
openml-puma32h-308,regression,mlp,trank,test,rmse,0.0077125671655077,0.007798759541712,1.1052062285456608,True
openml-puma32h-308,regression,resnet,trank,val,rmse,0.0080517987940152,0.0080584723829975,0.08281456664642073,True
openml-puma32h-308,regression,resnet,trank,test,rmse,0.0079839138507857,0.0080031227859708,0.24001799920867845,True
openml-puma32h-308,regression,ft_transformer,trank,val,rmse,0.0076073510967083,0.0077213787045417,1.476777816458208,True
openml-puma32h-308,regression,ft_transformer,trank,test,rmse,0.0075830161920561,0.0077207867910691,1.7844113914965816,True
