model,seed,correct_test_loss,mean_node_test_loss,mean_isospectral_test_loss,controls,gain_vs_node_pct,gain_vs_isospectral_pct
mlp,20260850,0.11177409440279,0.11199404895305629,0.11182461380958553,5,0.19639842681148353,0.045177358610467386
mlp,20260851,0.1127814948558807,0.11311086565256115,0.11288359016180034,5,0.2911928883049754,0.09044300041601275
mlp,20260852,0.1207970902323722,0.12042297571897505,0.12083103209733959,5,-0.3106670559862305,0.028090354256050727
resnet,20260850,0.118367314338684,0.11701100617647169,0.11757115870714183,5,-1.159128706377227,-0.6771691631663831
resnet,20260851,0.118675373494625,0.11614870429038997,0.11585308313369747,5,-2.1753744216706523,-2.4360943054666335
resnet,20260852,0.1151646673679351,0.11550741940736764,0.11637425869703286,5,0.29673595098141364,1.0393976663230933
tabm,20260850,0.1144473031163215,0.11480062454938884,0.11458772420883176,5,0.3077696087928038,0.12254462114489065
tabm,20260851,0.1143476590514183,0.1143541276454925,0.11455272585153575,5,0.005656633658432753,0.17901520770725426
tabm,20260852,0.1086384207010269,0.10874667614698408,0.11012519747018809,5,0.09954828027190035,1.3500786407794387
