dataset,column,nodes,strength,energy_zero,semantic_retention,node_control_retention_mean,node_control_retention_sd,isospectral_retention_mean,isospectral_retention_sd,semantic_minus_node,semantic_minus_isospectral
california,0,33,0.01,0.00017115704864620158,0.940599298965141,0.9743311546373847,0.012259007614920445,0.9508868822646818,0.023602974067576863,-0.03373185567224366,-0.010287583299540708
california,0,33,0.03,0.00017115704864620158,0.864073496254111,0.9334148606317826,0.026775983977734976,0.8862390940903434,0.04383605209300699,-0.0693413643776716,-0.022165597836232436
california,0,33,0.1,0.00017115704864620158,0.7271273096816554,0.8390928421163993,0.047518439256500275,0.7674589332005305,0.05712569201121909,-0.11196553243474403,-0.04033162351887509
california,0,33,0.3,0.00017115704864620158,0.5718948831255629,0.7025166186412999,0.06254588910699342,0.6266169209549668,0.0545535399464588,-0.130621735515737,-0.05472203782940393
california,0,33,1.0,0.00017115704864620158,0.4139371940643758,0.5248655416211837,0.06567323512436397,0.46212491911419973,0.04811919508481501,-0.11092834755680797,-0.04818772504982395
california,0,33,3.0,0.00017115704864620158,0.3058106269111638,0.36715335177444747,0.0613022104159549,0.32233033257732324,0.04374689502662041,-0.061342724863283675,-0.016519705666159453
california,0,33,10.0,0.00017115704864620158,0.2231567127682009,0.21801328031223927,0.05166902117651298,0.19654243608598523,0.037678085710904294,0.0051434324559616555,0.026614276682215682
california,0,33,30.0,0.00017115704864620158,0.1678594085591468,0.11709272751257166,0.0355522391373409,0.11174407238743969,0.029748358811469183,0.050766681046575154,0.05611533617170712
california,0,33,100.0,0.00017115704864620158,0.11390680052040787,0.050679771925970896,0.01802719855639754,0.052138587911502284,0.018099274958511734,0.06322702859443698,0.06176821260890559
california,1,28,0.01,0.0003522597883844692,0.9564992093439554,0.900335296094271,0.02572794150132537,0.9867281924905017,0.0028114222374257865,0.056163913249684345,-0.03022898314654633
california,1,28,0.03,0.0003522597883844692,0.8831416843575315,0.7675553627047826,0.04424201408740108,0.962080709657673,0.007932192128866455,0.11558632165274889,-0.07893902530014149
california,1,28,0.1,0.0003522597883844692,0.7123062871551696,0.5525170169543615,0.042825041628693404,0.8906009482282436,0.022102881868680868,0.1597892702008082,-0.17829466107307398
california,1,28,0.3,0.0003522597883844692,0.49280387632364486,0.366166580207185,0.02366332916481529,0.7558533252252022,0.04608062467712201,0.12663729611645985,-0.2630494489015573
california,1,28,1.0,0.0003522597883844692,0.274701834137252,0.21713570812299066,0.011788879272639037,0.545282112683279,0.07591562229942649,0.05756612601426138,-0.2705802785460269
california,1,28,3.0,0.0003522597883844692,0.1421228648434967,0.1265905366696027,0.011885481131913903,0.3601195910227614,0.09288517072614695,0.015532328173893974,-0.21799672617926474
california,1,28,10.0,0.0003522597883844692,0.06393087750405901,0.06667942222394647,0.014417658503934875,0.21061887423456785,0.09171610534440236,-0.002748544719887454,-0.14668799673050884
california,1,28,30.0,0.0003522597883844692,0.030242708683306738,0.03663080056957119,0.013261628973125848,0.11905648320588227,0.07176725225981892,-0.0063880918862644475,-0.08881377452257554
california,1,28,100.0,0.0003522597883844692,0.012904602103797081,0.018280771806083406,0.00922098777126235,0.0557675817673592,0.04228364679669364,-0.005376169702286323,-0.04286297966356212
california,2,33,0.01,9.684389687148586e-05,0.9656229237202184,0.9715756420386507,0.010371943986035376,0.9645763795924688,0.016415463616636046,-0.005952718318432257,0.0010465441277496175
california,2,33,0.03,9.684389687148586e-05,0.9141631317459685,0.9336883549045003,0.018509008886069968,0.9140414366340204,0.0371624113433025,-0.01952522315853181,0.00012169511194815798
california,2,33,0.1,9.684389687148586e-05,0.8063822469698432,0.8518052359880877,0.02998814202154863,0.8155608872521599,0.06737600535221691,-0.045422989018244514,-0.009178640282316736
california,2,33,0.3,9.684389687148586e-05,0.6623286277585336,0.7260632607390577,0.036658966118735564,0.6906205433704761,0.08929847240986633,-0.06373463298052406,-0.028291915611942418
california,2,33,1.0,9.684389687148586e-05,0.4920754387328847,0.5435970064247236,0.037700655943884595,0.5290461530664281,0.1038643465425447,-0.05152156769183901,-0.03697071433354342
california,2,33,3.0,9.684389687148586e-05,0.3651819558631081,0.37783417559605414,0.039751159663475186,0.3791435777666401,0.10223129806646925,-0.012652219732946056,-0.013961621903531982
california,2,33,10.0,9.684389687148586e-05,0.2601243434573896,0.22963109713584867,0.03828992917346948,0.23839357449274337,0.08149422234581817,0.030493246321540938,0.02173076896464623
california,2,33,30.0,9.684389687148586e-05,0.18170767015223777,0.13182192796554051,0.03246712091608354,0.14415888178008773,0.06299024705033654,0.04988574218669724,0.03754878837215003
california,2,33,100.0,9.684389687148586e-05,0.10636031579700196,0.06431053884062693,0.022766619766241496,0.07571410103085176,0.046505481449873196,0.04204977695637504,0.030646214766150207
california,3,32,0.01,0.0003434946838849827,0.9369073854460915,0.9299900051264788,0.04288066993092478,0.9636906438520164,0.012887440221043404,0.006917380319612736,-0.026783258405924798
california,3,32,0.03,0.0003434946838849827,0.8535232087834722,0.8789019149612698,0.05769463266017539,0.9182525931136412,0.024906073210926756,-0.025378706177797573,-0.06472938433016898
california,3,32,0.1,0.0003434946838849827,0.6963595944397329,0.7767533217310638,0.06598471736926424,0.8290961517143862,0.0417194952115995,-0.08039372729133087,-0.13273655727465333
california,3,32,0.3,0.0003434946838849827,0.5169108219762647,0.6241583730793129,0.0673730779744133,0.7043209972022488,0.06203890907037708,-0.10724755110304818,-0.1874101752259842
california,3,32,1.0,0.0003434946838849827,0.3413888954417481,0.42224426360407624,0.06497149756016143,0.53654020868187,0.08766304384594825,-0.08085536816232812,-0.19515131324012197
california,3,32,3.0,0.0003434946838849827,0.22195966868220215,0.26636924788826577,0.05658014788976776,0.38589807395308345,0.10033540511217325,-0.04440957920606362,-0.1639384052708813
california,3,32,10.0,0.0003434946838849827,0.13559779531213936,0.15522617551311466,0.04633436834698061,0.24621875402531251,0.09328392445255562,-0.0196283802009753,-0.11062095871317314
california,3,32,30.0,0.0003434946838849827,0.08787653055538504,0.09536733575290668,0.040424911635331746,0.14867691180859902,0.07067204079107439,-0.007490805197521632,-0.06080038125321398
california,3,32,100.0,0.0003434946838849827,0.05081139107156844,0.05619494480344072,0.036521089693216026,0.07486302418490126,0.03869836644423346,-0.005383553731872277,-0.024051633113332825
california,4,33,0.01,0.0002803821233354214,0.8532126202469307,0.9163421506167466,0.018972824478868902,0.9001479652440503,0.05348632537801677,-0.06312953036981594,-0.04693534499711957
california,4,33,0.03,0.0002803821233354214,0.739275455824835,0.8289911394061041,0.031107706305448103,0.8239522613771741,0.08059008471524971,-0.08971568358126916,-0.0846768055523391
california,4,33,0.1,0.0002803821233354214,0.5854697284876366,0.6887495270953321,0.04836944737652419,0.722766844837842,0.09783985963735564,-0.10327979860769555,-0.1372971163502055
california,4,33,0.3,0.0002803821233354214,0.4369912315846508,0.535574195878767,0.06238556077815322,0.6198155887410579,0.09770402013132998,-0.09858296429411623,-0.18282435715640707
california,4,33,1.0,0.0002803821233354214,0.2935886250807913,0.3624780700232628,0.06054369292980391,0.4891113562072908,0.08568923480779386,-0.06888944494247148,-0.19552273112649948
california,4,33,3.0,0.0002803821233354214,0.19210092679852983,0.2269156990933695,0.04415587474627129,0.35427413447042366,0.06757211306994623,-0.03481477229483967,-0.1621732076718938
california,4,33,10.0,0.0002803821233354214,0.1119275261960273,0.12133279567228424,0.025556603515355495,0.21457612451857327,0.047124204261494655,-0.009405269476256934,-0.10264859832254597
california,4,33,30.0,0.0002803821233354214,0.06383527708465987,0.061850649063734726,0.016232608403066177,0.1187046417487484,0.03461642169951197,0.001984628020925147,-0.05486936466408852
california,4,33,100.0,0.0002803821233354214,0.032350261513442675,0.026575327887981646,0.009385797050894422,0.0556671526460993,0.023798461406876994,0.005774933625461033,-0.023316891132656618
california,5,32,0.01,0.00017389200720067114,0.9755217784291196,0.9799640026946264,0.0038283836227943693,0.9799073478750915,0.0021712503926920356,-0.004442224265506745,-0.004385569445971855
california,5,32,0.03,0.00017389200720067114,0.9352804177186744,0.9500630898136794,0.009477155813654492,0.9453222511318241,0.004648964943863504,-0.014782672095004914,-0.010041833413149659
california,5,32,0.1,0.00017389200720067114,0.8397940215358113,0.8811358272113895,0.02304015978205053,0.8573684974534597,0.0066183209669908125,-0.04134180567557822,-0.017574475917648397
california,5,32,0.3,0.00017389200720067114,0.6945095817556978,0.770506902786741,0.045148188487491185,0.7162610477488762,0.010260405953814415,-0.0759973210310433,-0.021751465993178464
california,5,32,1.0,0.00017389200720067114,0.4947979782314641,0.6003159772059032,0.06965625052460406,0.519006588346762,0.02485728272315012,-0.1055179989744391,-0.024208610115298016
california,5,32,3.0,0.00017389200720067114,0.3262637434335418,0.4335408216962793,0.07885740686227134,0.34848347884391817,0.04073958652618322,-0.1072770782627375,-0.02221973541037635
california,5,32,10.0,0.00017389200720067114,0.19055271783051989,0.28422431406309256,0.08267109582211624,0.2079231125868689,0.05206162339721562,-0.0936715962325727,-0.01737039475634902
california,5,32,30.0,0.00017389200720067114,0.10976963932324833,0.1943095137657171,0.08364687308856743,0.12309235606048212,0.04837607410731817,-0.08453987444246876,-0.013322716737233797
california,5,32,100.0,0.00017389200720067114,0.052323147405040495,0.13569746397277158,0.07671285692166441,0.06366473917633274,0.0333446314781071,-0.08337431656773109,-0.011341591771292245
california,6,32,0.01,0.00046885976893646525,0.973685790357042,0.9708510812130529,0.008555492332048734,0.9708684792134341,0.010132180334187313,0.002834709143989027,0.002817311143607799
california,6,32,0.03,0.00046885976893646525,0.9337756929749276,0.926803213380024,0.018148783548699005,0.9263100398161223,0.022770320386710195,0.0069724795949036005,0.007465653158805328
california,6,32,0.1,0.00046885976893646525,0.8501056145224916,0.8326674097164858,0.03471265318067681,0.8308755182638137,0.039935936496917984,0.017438204806005705,0.019230096258677783
california,6,32,0.3,0.00046885976893646525,0.7388913624052005,0.7065092885073289,0.05874919885590167,0.6971707104500992,0.052012598708353903,0.032382073897871524,0.04172065195510123
california,6,32,1.0,0.00046885976893646525,0.5962937177870501,0.5486596243455196,0.08826897586441626,0.515477038339875,0.06587873870010427,0.04763409344153051,0.08081667944717504
california,6,32,3.0,0.00046885976893646525,0.463914094033487,0.4080043470115281,0.10013634301771204,0.35471848034903103,0.07661100235510121,0.055909747021958854,0.10919561368445592
california,6,32,10.0,0.00046885976893646525,0.32130909500527927,0.2716502789916455,0.08629231521923311,0.21363950814991414,0.07011481479948713,0.04965881601363373,0.1076695868553651
california,6,32,30.0,0.00046885976893646525,0.20400509509458592,0.16834249482312091,0.05675545646580487,0.11970114728634212,0.04646789234850335,0.035662600271464985,0.0843039478082438
california,6,32,100.0,0.00046885976893646525,0.11181989910137297,0.0866372792845422,0.030898948980018073,0.05435437529678245,0.019694817787244277,0.02518261981683076,0.05746552380459052
california,7,33,0.01,0.0005979560234435435,0.9706590567956987,0.9657069005889459,0.00931576693262299,0.9637030561819533,0.01686002154275177,0.004952156206752749,0.006956000613745465
california,7,33,0.03,0.0005979560234435435,0.929493020952319,0.9142412055360601,0.020154277604129488,0.9140675783878184,0.03890147289207081,0.01525181541625891,0.015425442564500685
california,7,33,0.1,0.0005979560234435435,0.8466675936901971,0.8012877692283283,0.03780861144788819,0.8178023141119667,0.07399105881561133,0.045379824461868654,0.02886527957823031
california,7,33,0.3,0.0005979560234435435,0.7347418660076369,0.6490261938153417,0.05145390424296361,0.69458653334917,0.09942111760031472,0.08571567219229533,0.040155332658467
california,7,33,1.0,0.0005979560234435435,0.5844396276364715,0.4675063078760203,0.053464646041372334,0.5374491001045698,0.10105291318880259,0.11693331976045117,0.04699052753190164
california,7,33,3.0,0.0005979560234435435,0.43813040711587425,0.31762998829545463,0.047003952603349074,0.3927979821323754,0.08172557478615473,0.12050041882041965,0.04533242498349892
california,7,33,10.0,0.0005979560234435435,0.2911928064694404,0.18825942978025623,0.044509755187678184,0.25222798663969936,0.061084508564382675,0.10293337668918418,0.038964819829741044
california,7,33,30.0,0.0005979560234435435,0.18113860523694028,0.10829716064083986,0.04036890971761155,0.15410517161222112,0.054624982070619055,0.07284144459610041,0.02703343362471915
california,7,33,100.0,0.0005979560234435435,0.08912843310695845,0.05529547427855009,0.030473408986080794,0.08274776091662206,0.04911716809834518,0.033832958828408366,0.006380672190336387
tabred-weather,0,33,0.01,0.0015907520187389975,0.9823298354849014,0.936184834014145,0.05917600659795448,0.972302990381145,0.0108375770171997,0.04614500147075639,0.010026845103756355
tabred-weather,0,33,0.03,0.0015907520187389975,0.9511158421840276,0.8703460602645139,0.10003456301002392,0.9274505904084779,0.027158375163809978,0.08076978191951374,0.023665251775549755
tabred-weather,0,33,0.1,0.0015907520187389975,0.8679678930028558,0.7644099469433571,0.12755489996452996,0.8264104150854041,0.058041970070422194,0.10355794605949874,0.04155747791745169
tabred-weather,0,33,0.3,0.0015907520187389975,0.7246722726545278,0.6341713040048754,0.12825679679444218,0.6879729125451839,0.086232847078901,0.09050096864965237,0.036699360109343916
tabred-weather,0,33,1.0,0.0015907520187389975,0.509768098360645,0.4653631169887049,0.10410563697567954,0.5116112240924651,0.09920648553756999,0.044404981371940044,-0.0018431257318200715
tabred-weather,0,33,3.0,0.0015907520187389975,0.32051825352173763,0.31386612427960303,0.0734491967322807,0.35521217748340667,0.0923030608957283,0.006652129242134613,-0.03469392396166904
tabred-weather,0,33,10.0,0.0015907520187389975,0.17432819768726365,0.182714467955387,0.04984182154267763,0.21582962251754476,0.07223920394192862,-0.008386270268123344,-0.0415014248302811
tabred-weather,0,33,30.0,0.0015907520187389975,0.09816336897120881,0.10376194809858123,0.03553288678254974,0.12898071218606547,0.05319550704662661,-0.005598579127372429,-0.030817343214856675
tabred-weather,0,33,100.0,0.0015907520187389975,0.051675040008264395,0.05130713823133331,0.022876196301141953,0.07075448109858525,0.036605252528857504,0.00036790177693108524,-0.019079441090320854
tabred-weather,1,33,0.01,0.0013199688438894138,0.9830010269968955,0.9703771040303381,0.008007096972258187,0.9781758843963895,0.005976364584731312,0.01262392296655745,0.004825142600506038
tabred-weather,1,33,0.03,0.0013199688438894138,0.9528179276907687,0.9281328291075183,0.01760241220130493,0.9398160586459531,0.016218942136307236,0.024685098583250374,0.013001869044815609
tabred-weather,1,33,0.1,0.0013199688438894138,0.8729484536766483,0.8399892935482299,0.03879245527822118,0.8412586309525936,0.04079556820320497,0.03295916012841828,0.03168982272405465
tabred-weather,1,33,0.3,0.0013199688438894138,0.740637850358012,0.7134508047406878,0.07061301877946159,0.6880843355075631,0.07217645709638434,0.027187045617324206,0.0525535148504489
tabred-weather,1,33,1.0,0.0013199688438894138,0.5557234568053357,0.5387870869296735,0.10051994477073321,0.4877055425051444,0.09387053569615722,0.01693636987566228,0.06801791430019136
tabred-weather,1,33,3.0,0.0013199688438894138,0.4047301276960809,0.3812138567748342,0.10476550737868369,0.3222411956921534,0.09054714005202626,0.02351627092124669,0.08248893200392744
tabred-weather,1,33,10.0,0.0013199688438894138,0.287174578284161,0.2398734114476354,0.08583196796771814,0.1861427593589403,0.07340982283790702,0.04730116683652558,0.10103181892522067
tabred-weather,1,33,30.0,0.0013199688438894138,0.20939756267453338,0.14323086142274602,0.05925118255281897,0.10308019189384889,0.0513655952540539,0.06616670125178736,0.10631737078068448
tabred-weather,1,33,100.0,0.0013199688438894138,0.13545918719252015,0.06891947892664604,0.030942217284676412,0.04770396198876013,0.026199007849555776,0.0665397082658741,0.08775522520376002
tabred-weather,2,33,0.01,0.0014575095504554265,0.9371664839968317,0.9679651988295614,0.007382573658550911,0.9721625745056786,0.012202978075787537,-0.03079871483272985,-0.03499609050884687
tabred-weather,2,33,0.03,0.0014575095504554265,0.8472592746569322,0.9185888706727465,0.016692475896443546,0.9316901810086766,0.024711216918042407,-0.0713295960158143,-0.0844309063517444
tabred-weather,2,33,0.1,0.0014575095504554265,0.6789683130223733,0.8092352760415961,0.02980818454961996,0.8437319210403048,0.04199808314600401,-0.13026696301922283,-0.16476360801793152
tabred-weather,2,33,0.3,0.0014575095504554265,0.49746217796027004,0.654548468966335,0.0369193275146864,0.7149316487923761,0.058738145892029275,-0.15708629100606503,-0.21746947083210608
tabred-weather,2,33,1.0,0.0014575095504554265,0.3267665396714163,0.4575304295437666,0.035164715813735016,0.541036113569944,0.06535096901076247,-0.13076388987235033,-0.21426957389852766
tabred-weather,2,33,3.0,0.0014575095504554265,0.21261983017878222,0.29451370351540396,0.026127736116890152,0.3853182674706198,0.05993821954502992,-0.08189387333662174,-0.1726984372918376
tabred-weather,2,33,10.0,0.0014575095504554265,0.12526842110044983,0.1620209385773794,0.020206924808323642,0.24307003527723378,0.04770061163538884,-0.036752517476929564,-0.11780161417678393
tabred-weather,2,33,30.0,0.0014575095504554265,0.07036952207759033,0.08609715882807792,0.015203569641708332,0.1441261635868501,0.03181973824832478,-0.015727636750487585,-0.07375664150925976
tabred-weather,2,33,100.0,0.0014575095504554265,0.031854037150038615,0.03848759813751671,0.00889146995022237,0.06979736837735699,0.015246409960631232,-0.006633560987478095,-0.037943331227318376
tabred-weather,3,33,0.01,0.0011165098031856373,0.9761709633014213,0.9711013456437831,0.00697996939308285,0.9708478833146776,0.011572264274764167,0.005069617657638094,0.005323079986743597
tabred-weather,3,33,0.03,0.0011165098031856373,0.9400513156172842,0.9296412182942002,0.015964305937429785,0.9271488603600849,0.023828717866071127,0.01041009732308391,0.012902455257199226
tabred-weather,3,33,0.1,0.0011165098031856373,0.8608406463939999,0.8419641229547309,0.032261832479150244,0.8328700146603069,0.03655844127840047,0.01887652343926901,0.027970631733693095
