dataset,model,seed,method,val_loss,test_loss,test_loss_gain_pct,parameter_error_fraction,source
adult,mlp,20260835,quantile_ple,0.3022383742861615,0.3035460379780832,0.0,0.0,mass_canonical_ablation_abc.csv
adult,mlp,20260835,adaptive_support_whitened,0.2900012620225278,0.2931248764882042,3.433140343156603,-0.0010708462118815,mass_canonical_ablation_abc.csv
adult,resnet,20260835,quantile_ple,0.305755228690637,0.3081069620173293,0.0,0.0,mass_canonical_ablation_abc.csv
adult,resnet,20260835,adaptive_support_whitened,0.293485655557909,0.2953698993632372,4.1339743090179475,-0.0029646594776855,mass_canonical_ablation_abc.csv
black-friday,mlp,20260835,quantile_ple,0.5272313952445984,0.5322647094726562,0.0,0.0,mass_canonical_ablation_abc.csv
black-friday,mlp,20260835,adaptive_support_whitened,0.4824566841125488,0.4864216148853302,8.612837517021429,-0.0065308146984664,mass_canonical_ablation_abc.csv
black-friday,resnet,20260835,quantile_ple,0.4911963939666748,0.4946132600307464,0.0,0.0,mass_canonical_ablation_abc.csv
black-friday,resnet,20260835,adaptive_support_whitened,0.4868541061878204,0.4883541762828827,1.2654500503028636,-0.002380799635039,mass_canonical_ablation_abc.csv
california,mlp,20260835,quantile_ple,0.1830824762582779,0.1799262315034866,0.0,0.0,mass_canonical_ablation_abc.csv
california,mlp,20260835,adaptive_support_whitened,0.1775832772254943,0.1802236884832382,-0.16532163057381813,-0.0026582252795194,mass_canonical_ablation_abc.csv
california,resnet,20260835,quantile_ple,0.1799291968345642,0.1876812130212783,0.0,0.0,mass_canonical_ablation_abc.csv
california,resnet,20260835,adaptive_support_whitened,0.180097296833992,0.1768493056297302,5.771439355690885,-0.0038699456393573,mass_canonical_ablation_abc.csv
adult,tabm,20260833,quantile_ple,0.3004670359193054,0.3025822662906719,0.0,0.0,tabm_support_abc.csv
adult,tabm,20260833,adaptive_support_whitened,0.2889982336691057,0.2895123754617868,4.319450372656562,-0.0023151976186538,tabm_support_abc.csv
adult,tabm,20260833,adaptive_support_riesz,0.2881606546517863,0.2907149454612747,3.922014655676165,-0.0023151976186538,tabm_support_abc.csv
adult,tabm,20260833,adaptive_support_wrong_riesz,0.2891533071345129,0.290336534998461,4.047075012799063,-0.0023151976186538,tabm_support_abc.csv
black-friday,tabm,20260833,quantile_ple,0.4883139431476593,0.4910562038421631,0.0,0.0,tabm_support_abc.csv
black-friday,tabm,20260833,adaptive_support_whitened,0.480796605348587,0.4832263886928558,1.5944845188890011,0.0016105706021561,tabm_support_abc.csv
black-friday,tabm,20260833,adaptive_support_riesz,0.4797432422637939,0.4832295477390289,1.5938412022689525,0.0016105706021561,tabm_support_abc.csv
black-friday,tabm,20260833,adaptive_support_wrong_riesz,0.4803023636341095,0.4825447797775268,1.7332891832015336,0.0016105706021561,tabm_support_abc.csv
california,tabm,20260833,quantile_ple,0.1815715283155441,0.1790330111980438,0.0,0.0,tabm_support_abc.csv
california,tabm,20260833,adaptive_support_whitened,0.1628801971673965,0.1554736196994781,13.159244399070422,-0.002207428170988,tabm_support_abc.csv
california,tabm,20260833,adaptive_support_riesz,0.1587092876434326,0.1509157121181488,15.705091978144765,-0.002207428170988,tabm_support_abc.csv
california,tabm,20260833,adaptive_support_wrong_riesz,0.1695930212736129,0.1630856543779373,8.907495167171023,-0.002207428170988,tabm_support_abc.csv
adult,field_token_transformer,20260834,quantile_ple,0.3016178848521661,0.3052152867277524,0.0,0.0,ft_support_abc.csv
adult,field_token_transformer,20260834,adaptive_support_whitened,0.2950507236417005,0.295966040283786,3.0304007846817322,0.001520116625341,ft_support_abc.csv
adult,field_token_transformer,20260834,adaptive_support_riesz,0.2949113795133785,0.2980909525093108,2.3341996709347037,0.001520116625341,ft_support_abc.csv
adult,field_token_transformer,20260834,adaptive_support_wrong_riesz,0.2924550417221032,0.2961444800745221,2.9719372022546557,0.001520116625341,ft_support_abc.csv
black-friday,field_token_transformer,20260834,quantile_ple,0.4897829294204712,0.4919801354408264,0.0,0.0,ft_support_abc.csv
black-friday,field_token_transformer,20260834,adaptive_support_whitened,0.4860020875930786,0.488298624753952,0.7483047427465064,0.0017065562534096,ft_support_abc.csv
black-friday,field_token_transformer,20260834,adaptive_support_riesz,0.4859026670455932,0.4868339598178863,1.046012887965287,0.0017065562534096,ft_support_abc.csv
black-friday,field_token_transformer,20260834,adaptive_support_wrong_riesz,0.4848684966564178,0.4878942370414734,0.8305006859051252,0.0017065562534096,ft_support_abc.csv
california,field_token_transformer,20260834,quantile_ple,0.1806045025587082,0.1739993691444397,0.0,0.0,ft_support_abc.csv
california,field_token_transformer,20260834,adaptive_support_whitened,0.1930337250232696,0.1840606480836868,-5.782365182539871,-0.0007383677309483,ft_support_abc.csv
california,field_token_transformer,20260834,adaptive_support_riesz,0.1799283921718597,0.1826270371675491,-4.958447875720424,-0.0007383677309483,ft_support_abc.csv
california,field_token_transformer,20260834,adaptive_support_wrong_riesz,0.1948313862085342,0.1865776032209396,-7.228896368042872,-0.0007383677309483,ft_support_abc.csv
