permutation_seed,dataset,model,pairs,correct_wins,mean_correct_gain_pct
991337,california,mlp,3,2,0.30545233328125276
991337,california,resnet,3,3,1.9236044644989503
991337,tabred-weather,mlp,3,3,2.35884444256528
991337,tabred-weather,resnet,3,3,1.535696933692094
1201,california,mlp,3,3,0.39550585375677433
1201,california,resnet,3,3,2.360723359510722
1201,tabred-weather,mlp,3,2,0.6198522998571235
1201,tabred-weather,resnet,3,3,0.6836524100184315
1202,california,mlp,3,1,0.053749358322442785
1202,california,resnet,3,3,1.898051055279348
1202,tabred-weather,mlp,3,3,1.9037280210635743
1202,tabred-weather,resnet,3,2,0.23613475619402183
1203,california,mlp,3,2,0.7140682161126447
1203,california,resnet,3,3,0.9361463216772877
1203,tabred-weather,mlp,3,2,0.7277380384575594
1203,tabred-weather,resnet,3,3,0.9074047657202513
1204,california,mlp,3,2,0.5554190029283845
1204,california,resnet,3,3,1.44629559716656
1204,tabred-weather,mlp,3,3,0.9135338557964466
1204,tabred-weather,resnet,3,3,0.47534124468127725
