dataset,task,model,seed,method,strength,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,tabm,20260850,quantile_ple,1.0,57080,254,128,57080,0.0,8,24,0.17885532975196838,0.17911072075366974,0.4908286006741278,0.49117891083486853,5.743404149077833
california,regression,tabm,20260850,raple_raw,1.0,57080,276,123,57197,0.0020497547302032234,8,24,0.14981019496917725,0.14465086162090302,0.44921021094057423,0.441407231969162,5.806833175942302
california,regression,tabm,20260850,anchor_only,1.0,57080,255,128,57216,0.0023826208829712684,8,14,0.150814026594162,0.14623047411441803,0.45071269149669746,0.4438108065524986,4.560167382005602
california,regression,tabm,20260850,anchor_mass_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,24,0.15056224167346954,0.1446332484483719,0.45033630176830286,0.4413803568709298,6.431843425845727
california,regression,tabm,20260850,anchor_riesz_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,13,0.15054360032081604,0.14498348534107208,0.4503084236097763,0.44191443459525814,4.0039289619307965
california,regression,tabm,20260850,anchor_wrong_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,17,0.1509961187839508,0.14528150856494904,0.4509847283661905,0.44236840584918014,5.9084550340194255
california,regression,tabm,20260851,quantile_ple,1.0,57080,254,128,57080,0.0,8,25,0.17978930473327637,0.17891813814640045,0.4921085056097567,0.49091479468287247,5.744570657145232
california,regression,tabm,20260851,raple_raw,1.0,57080,276,123,57197,0.0020497547302032234,8,22,0.14990265667438507,0.14544148743152618,0.44934880620262874,0.4426119073827124,5.69513608305715
california,regression,tabm,20260851,anchor_only,1.0,57080,255,128,57216,0.0023826208829712684,8,22,0.14989566802978516,0.14510312676429749,0.44933832595196677,0.4420967494508332,4.71228301897645
california,regression,tabm,20260851,anchor_mass_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,23,0.14992614090442657,0.14562922716140747,0.4493840170777901,0.4428974682720366,5.244271451840177
