dataset,task,model,seed,method,factor_rank,explained_variance,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260826,baseline,3,0.5186002378812669,100,29569,20,0.29538246584510314,0.3092664565665808,0.31066788637854176,0.8556732688469215,0.8560666666666666,0.23593337833881378,10.39822006225586,0.016758397221565247,6.820648191962391
adult,binclass,mlp,20260826,common_skip,3,0.5186002378812669,103,29953,20,0.2940169530849815,0.30875196387528914,0.30953126745109555,0.8565945033010901,0.8570666666666666,0.17445552349090576,10.434783935546875,0.01697683520615101,4.629103529965505
adult,binclass,mlp,20260826,innovation_sum,3,0.5186002378812669,103,29953,12,0.29653923736572874,0.32483684948547265,0.32862627048215637,0.846307385229541,0.8510666666666666,0.042268212884664536,8.088337898254395,0.017553681507706642,4.7491598022170365
adult,binclass,resnet,20260826,baseline,3,0.5186002378812669,100,145665,8,0.29449301022315005,0.30587924244263964,0.30931819382467657,0.8585905112851221,0.8574666666666667,1.5294893980026245,7.36912202835083,0.016861312091350555,4.6041411850601435
adult,binclass,resnet,20260826,common_skip,3,0.5186002378812669,103,146049,12,0.2901767064161143,0.30610496702101564,0.30872995807312875,0.8587440503608168,0.857,2.0586812496185303,7.797035217285156,0.017118200659751892,6.394755976041779
adult,binclass,resnet,20260826,innovation_sum,3,0.5186002378812669,103,146049,5,0.30472387510049403,0.3265736324459962,0.3291740789269096,0.8452326116996776,0.8464,0.3626323342323303,6.437865734100342,0.017562469467520714,3.705500785028562
california,regression,mlp,20260826,baseline,3,0.6499445487904602,8,17793,20,0.23766908049583435,0.23598645627498627,0.24642929434776306,0.5637966368482346,0.5761361116482675,0.19102032482624054,7.20070219039917,0.004868015646934509,1.9265752187930048
california,regression,mlp,20260826,common_skip,3,0.6499445487904602,11,18177,20,0.23694641888141632,0.2347867637872696,0.24512185156345367,0.5623617072146949,0.5746057183453317,0.20892444252967834,7.208653926849365,0.005705651827156544,1.6822829109150916
california,regression,mlp,20260826,innovation_sum,3,0.6499445487904602,11,18177,19,0.23334793746471405,0.23033389449119568,0.2401861548423767,0.5570034282986889,0.5687912545250988,0.16788767278194427,7.11305570602417,0.005705617368221283,1.7745516269933432
california,regression,resnet,20260826,baseline,3,0.6499445487904602,8,133889,18,0.1786804050207138,0.1925872266292572,0.19529739022254944,0.5093222654396143,0.5128934367938953,0.911630392074585,6.549160480499268,0.004868140909820795,2.1837969832122326
california,regression,resnet,20260826,common_skip,3,0.6499445487904602,11,134273,18,0.17872688174247742,0.19496369361877441,0.19556181132793427,0.5124550994452512,0.5132405302440368,1.0058444738388062,6.5865583419799805,0.005705740302801132,2.1533184240106493
california,regression,resnet,20260826,innovation_sum,3,0.6499445487904602,11,134273,18,0.17584940791130066,0.1954491287469864,0.1950739473104477,0.5130926653213308,0.5125999551870741,1.1210558414459229,6.554533958435059,0.0057057482190430164,2.19143447605893
churn,binclass,mlp,20260826,baseline,2,0.6062708101010673,12,18305,19,0.3412596216010773,0.35701986490572307,0.35717287898748645,0.850625,0.847,0.09033438563346863,7.061458110809326,0.0059984843246638775,0.9022382379043847
churn,binclass,mlp,20260826,common_skip,2,0.6062708101010673,14,18561,19,0.34148109055726267,0.3529788111129368,0.3555013832243294,0.85125,0.847,0.09586330503225327,7.060497283935547,0.006470969412475824,0.7868226959835738
churn,binclass,mlp,20260826,innovation_sum,2,0.6062708101010673,14,18561,20,0.3646546067859599,0.3791923004239349,0.37566421337369277,0.835,0.8365,0.028187068179249763,7.052063941955566,0.006470471620559692,0.8719563279300928
churn,binclass,resnet,20260826,baseline,2,0.6062708101010673,12,134401,15,0.32430175004261697,0.3413341775633414,0.3511831207661416,0.8675,0.852,0.20981170237064362,6.510129928588867,0.005999100394546986,1.0842577889561653
churn,binclass,resnet,20260826,common_skip,2,0.6062708101010673,14,134657,18,0.3171045354082161,0.3401793483432769,0.3476570937571689,0.861875,0.8585,0.20070679485797882,6.564209938049316,0.006471381988376379,1.0772543500643224
churn,binclass,resnet,20260826,innovation_sum,2,0.6062708101010673,14,134657,16,0.31104517272108223,0.3429362239158432,0.3487425483307726,0.861875,0.8525,0.17347250878810883,6.454211235046387,0.006471523083746433,1.0773078759666532
diamond,regression,mlp,20260826,baseline,2,0.6383090901358973,23,19713,20,0.0314813032746315,0.03320751711726189,0.033337969332933426,0.18180063789237177,0.18215737991562442,0.30786681175231934,7.851028919219971,0.00832946877926588,4.601705343928188
diamond,regression,mlp,20260826,common_skip,2,0.6383090901358973,25,19969,20,0.031594373285770416,0.03370550274848938,0.03332129865884781,0.1831587313013081,0.182111830156936,0.30272242426872253,7.845805644989014,0.008697327226400375,4.633251163177192
diamond,regression,mlp,20260826,innovation_sum,2,0.6383090901358973,25,19969,20,0.030761979520320892,0.031215790659189224,0.031909793615341187,0.17626430555476347,0.17821292542074296,0.15925286710262299,6.277127742767334,0.008699871599674225,4.70096027594991
diamond,regression,resnet,20260826,baseline,2,0.6383090901358973,23,135809,15,0.02032328024506569,0.022890396416187286,0.023744966834783554,0.1509398290127386,0.15373155053162169,2.2483019828796387,6.686814308166504,0.008331120945513248,5.754101386992261
diamond,regression,resnet,20260826,common_skip,2,0.6383090901358973,25,136065,15,0.020839765667915344,0.023239247500896454,0.02401953563094139,0.15208564924794388,0.15461780849962725,2.58105731010437,6.665097236633301,0.008700386621057987,5.562152208061889
diamond,regression,resnet,20260826,innovation_sum,2,0.6383090901358973,25,136065,19,0.01993177831172943,0.0224141888320446,0.02272135578095913,0.14936152392774105,0.1503814728160746,0.864050567150116,6.310794830322266,0.008700365200638771,5.520315957954153
black-friday,regression,mlp,20260826,baseline,2,0.6620264591662771,18,19073,20,0.6764892935752869,0.6819350123405457,0.6979682445526123,0.8247152277584604,0.834353987725649,0.40349969267845154,8.041951179504395,0.007357054855674505,6.832411025185138
black-friday,regression,mlp,20260826,common_skip,2,0.6620264591662771,20,19329,20,0.699740469455719,0.7033839821815491,0.7161634564399719,0.8375847459160184,0.8451593541529263,0.585683286190033,7.939528942108154,0.007751121185719967,6.6628764709457755
black-friday,regression,mlp,20260826,innovation_sum,2,0.6620264591662771,20,19329,16,0.7586808800697327,0.7596407532691956,0.7699382901191711,0.8704356290321442,0.8763154494067606,0.10483705252408981,7.037544250488281,0.007751045282930136,6.517316692043096
black-friday,regression,resnet,20260826,baseline,2,0.6620264591662771,18,135169,20,0.5088755488395691,0.5204426646232605,0.5221138000488281,0.7204750891647933,0.7216308617451119,1.1898167133331299,6.326676368713379,0.0073578134179115295,8.270761240972206
black-friday,regression,resnet,20260826,common_skip,2,0.6620264591662771,20,135425,20,0.5102640390396118,0.5214897990226746,0.5220964550971985,0.7211995304659098,0.7216188968559152,2.187255620956421,6.40023946762085,0.007751639932394028,8.454939166083932
black-friday,regression,resnet,20260826,innovation_sum,2,0.6620264591662771,20,135425,20,0.5195552706718445,0.5485305190086365,0.5525951981544495,0.7396613544964907,0.7423967900848396,0.6971824765205383,6.575063705444336,0.0077516851015388966,8.60934790992178
house,regression,mlp,20260826,baseline,2,0.5191876237692056,16,18817,20,0.3212633430957794,0.3669379949569702,0.44556280970573425,31566.29692444508,34784.17870699754,0.2993388772010803,7.614223957061768,0.00693045137450099,2.043164035771042
house,regression,mlp,20260826,common_skip,2,0.5191876237692056,18,19073,20,0.33945584297180176,0.38529911637306213,0.4519120752811432,32346.426091443747,35031.14014695957,0.4253769516944885,7.508783340454102,0.007357816677540541,1.9479119500610977
house,regression,mlp,20260826,innovation_sum,2,0.5191876237692056,18,19073,20,0.353397935628891,0.39652103185653687,0.45797067880630493,32814.09359403164,35265.18045008043,0.14766989648342133,7.700794219970703,0.007357633672654629,1.9335877851117402
house,regression,resnet,20260826,baseline,2,0.5191876237692056,16,134913,19,0.22407273948192596,0.34151527285575867,0.4198521673679352,30453.15962183266,33765.67941361922,0.6681168675422668,6.6643452644348145,0.006930537521839142,2.4874221628997475
house,regression,resnet,20260826,common_skip,2,0.5191876237692056,18,135169,19,0.22491560876369476,0.3177020251750946,0.41757750511169434,29372.253722345456,33674.08843208733,1.6217389106750488,6.673182487487793,0.007357901893556118,2.3193618070799857
house,regression,resnet,20260826,innovation_sum,2,0.5191876237692056,18,135169,15,0.23698337376117706,0.33183860778808594,0.4042508602142334,30018.621168655343,33132.391512318514,0.6918931007385254,6.596504211425781,0.007357859518378973,2.2676976760849357
microsoft,regression,mlp,20260826,baseline,3,0.6228693034741594,136,34177,20,0.7877140641212463,0.8493488430976868,0.8679148554801941,0.7554067625116048,0.7636183816007573,2.027278423309326,9.827760696411133,0.02013222873210907,9.915825080126524
microsoft,regression,mlp,20260826,common_skip,3,0.6228693034741594,139,34561,19,0.791036069393158,0.852837085723877,0.8691504001617432,0.7569563771802095,0.7641617580540085,2.3702495098114014,9.59567928314209,0.020361974835395813,9.533048377139494
microsoft,regression,mlp,20260826,innovation_sum,3,0.6228693034741594,139,34561,20,0.7863186597824097,0.8456120491027832,0.86665940284729,0.7537431667905423,0.7630659179311508,0.16115696728229523,9.53713321685791,0.020360734313726425,10.091799987014383
microsoft,regression,resnet,20260826,baseline,3,0.6228693034741594,136,150273,7,0.8284206390380859,0.8567866683006287,0.8708614110946655,0.7587071320086807,0.7649135542114109,6.228085994720459,7.592111110687256,0.020132577046751976,6.877140317112207
microsoft,regression,resnet,20260826,common_skip,3,0.6228693034741594,139,150657,7,0.827427089214325,0.8571063280105591,0.8709962368011475,0.7588486678462161,0.7649727188297248,3.210541009902954,7.644279479980469,0.020362747833132744,7.817730783950537
microsoft,regression,resnet,20260826,innovation_sum,3,0.6228693034741594,139,150657,10,0.7776266932487488,0.8493396043777466,0.8745596408843994,0.7554026586074443,0.7665359643228626,1.8482635021209717,7.639822006225586,0.02036311663687229,9.785825775004923
higgs-small,binclass,mlp,20260826,baseline,2,0.512758745284032,28,20353,20,0.5148917532834939,0.5476590427179815,0.5575377623803984,0.7191333333333333,0.7055333333333333,0.04350212961435318,10.031463623046875,0.009223991073668003,6.66797536611557
higgs-small,binclass,mlp,20260826,common_skip,2,0.512758745284032,30,20609,19,0.5197329588132098,0.5470963714338936,0.5576337893634314,0.7169333333333333,0.7049333333333333,0.04212679713964462,9.923027992248535,0.009572431445121765,6.735801978968084
higgs-small,binclass,mlp,20260826,innovation_sum,2,0.512758745284032,30,20609,19,0.5186107387889408,0.5431272524522216,0.5520055846219829,0.7162,0.7115333333333334,0.014662363566458225,8.980948448181152,0.009571602568030357,6.315573757980019
higgs-small,binclass,resnet,20260826,baseline,2,0.512758745284032,28,136449,11,0.5046664171182228,0.5454630624561267,0.5550916108987267,0.7172,0.7116666666666667,0.17833733558654785,7.910266399383545,0.009225955232977867,6.0918896740768105
higgs-small,binclass,resnet,20260826,common_skip,2,0.512758745284032,30,136705,12,0.49454338059229036,0.5448519350035387,0.551839189043823,0.7206,0.7164666666666667,0.15818338096141815,7.9552903175354,0.009573748335242271,7.1901469028089195
higgs-small,binclass,resnet,20260826,innovation_sum,2,0.512758745284032,30,136705,6,0.5164320766092605,0.5483006375086122,0.5541287471931724,0.7142666666666667,0.7116,0.10352571308612823,6.658229827880859,0.009574053809046745,4.335793494014069
otto,multiclass,mlp,20260826,baseline,8,0.37074703828066546,93,29705,16,0.5153533686960771,0.6243856708087333,0.6186376700015123,0.7652762347237653,0.7672915319974144,1.9105706214904785,8.275036811828613,0.01669994927942753,7.826788929989561
otto,multiclass,mlp,20260826,common_skip,8,0.37074703828066546,101,30729,16,0.5107834946638671,0.6172615399288564,0.6185512837744664,0.7656802343197657,0.7684227537168714,1.6114641427993774,8.552186012268066,0.017401617020368576,8.030761556932703
otto,multiclass,mlp,20260826,innovation_sum,8,0.37074703828066546,101,30729,15,0.4785971942382827,0.6282125959906901,0.6207360854046623,0.7663872336127664,0.7676147382029735,0.085720956325531,10.157146453857422,0.0174005925655365,7.802349642850459
otto,multiclass,resnet,20260826,baseline,8,0.37074703828066546,93,145801,10,0.46070304662282835,0.6081745225667029,0.6054114191431621,0.7733562266437733,0.7714932126696833,1.2335007190704346,6.828545570373535,0.01670023426413536,7.102788750082254
otto,multiclass,resnet,20260826,common_skip,8,0.37074703828066546,101,146825,11,0.45025304688947193,0.6121017664301581,0.608235911614928,0.775982224017776,0.7701195862960569,1.5419485569000244,6.967867374420166,0.01740260422229767,7.1779626328498125
otto,multiclass,resnet,20260826,innovation_sum,8,0.37074703828066546,101,146825,7,0.46089444191418066,0.61579011381198,0.6146520983708007,0.7708312291687708,0.7626050420168067,0.4421912133693695,6.721909523010254,0.017402436584234238,5.751531508984044
adult,binclass,mlp,20260826,measure_innovation,3,0.5186002378812669,100,29569,20,0.29538246584510314,0.3092664565665808,0.31066788637854176,0.8556732688469215,0.8560666666666666,0.23593337833881378,10.39822006225586,0.016758397221565247,5.895417535910383
adult,binclass,resnet,20260826,measure_innovation,3,0.5186002378812669,100,145665,8,0.29449301022315005,0.30587924244263964,0.30931819382467657,0.8585905112851221,0.8574666666666667,1.5294893980026245,7.36912202835083,0.016861312091350555,4.208148857112974
california,regression,mlp,20260826,measure_innovation,3,0.6499445487904602,10,18049,20,0.23502911627292633,0.23212991654872894,0.2421242743730545,0.559170799476842,0.5710815178834565,0.19998514652252197,7.161612033843994,0.005443862173706293,1.6384632589761168
california,regression,resnet,20260826,measure_innovation,3,0.6499445487904602,10,134145,20,0.17244458198547363,0.19446417689323425,0.19901402294635773,0.5117981641290044,0.5177508081518596,1.1121097803115845,6.541578769683838,0.005443945527076721,2.106964292936027
churn,binclass,mlp,20260826,measure_innovation,2,0.6062708101010673,13,18433,20,0.3384432391579661,0.3523757331248481,0.35482486737431607,0.85375,0.849,0.053881581872701645,7.0299763679504395,0.006247078068554401,0.749760746024549
churn,binclass,resnet,20260826,measure_innovation,2,0.6062708101010673,13,134529,8,0.3352527948598152,0.3454011943189932,0.35007950128027027,0.861875,0.856,0.28325891494750977,6.504766941070557,0.0062476336024701595,0.7221363240387291
diamond,regression,mlp,20260826,measure_innovation,2,0.6383090901358973,24,19841,20,0.03157582879066467,0.03186535835266113,0.03280366212129593,0.1780888082747607,0.18069177480471854,0.14516882598400116,7.550842761993408,0.008519592694938183,4.510130298091099
diamond,regression,resnet,20260826,measure_innovation,2,0.6383090901358973,24,135937,19,0.02003495767712593,0.022265087813138962,0.02276558242738247,0.1488639106534011,0.15052775533092255,1.5700531005859375,6.5262532234191895,0.008521270006895065,5.763042940059677
black-friday,regression,mlp,20260826,measure_innovation,2,0.6620264591662771,18,19073,20,0.6764892935752869,0.6819350123405457,0.6979682445526123,0.8247152277584604,0.834353987725649,0.40349969267845154,8.041951179504395,0.007357054855674505,7.2678810900542885
black-friday,regression,resnet,20260826,measure_innovation,2,0.6620264591662771,18,135169,20,0.5088755488395691,0.5204426646232605,0.5221138000488281,0.7204750891647933,0.7216308617451119,1.1898167133331299,6.326676368713379,0.0073578134179115295,8.27541931788437
house,regression,mlp,20260826,measure_innovation,2,0.5191876237692056,18,19073,20,0.353397935628891,0.39652103185653687,0.45797067880630493,32814.09359403164,35265.18045008043,0.14766989648342133,7.700794219970703,0.007357633672654629,1.9573541290592402
house,regression,resnet,20260826,measure_innovation,2,0.5191876237692056,18,135169,15,0.23698337376117706,0.33183860778808594,0.4042508602142334,30018.621168655343,33132.391512318514,0.6918931007385254,6.596504211425781,0.007357859518378973,2.1830525540281087
microsoft,regression,mlp,20260826,measure_innovation,3,0.6228693034741594,139,34561,7,0.8170697689056396,0.8529279828071594,0.8678483366966248,0.7569967322377877,0.7635891168556128,0.44790610671043396,7.819251537322998,0.020361389964818954,7.805598666891456
microsoft,regression,resnet,20260826,measure_innovation,3,0.6228693034741594,139,150657,12,0.7965053915977478,0.853778064250946,0.8719154000282288,0.7573738517165367,0.7653762694055075,5.874488830566406,8.402000427246094,0.02036300115287304,10.425382110057399
higgs-small,binclass,mlp,20260826,measure_innovation,2,0.512758745284032,36,21377,19,0.5053707206886829,0.5387923377569994,0.5493531233974953,0.7222,0.7153333333333334,0.03075033612549305,9.986129760742188,0.01043145451694727,6.8179306539241225
higgs-small,binclass,resnet,20260826,measure_innovation,2,0.512758745284032,36,137473,10,0.5002044563218505,0.5457544265524313,0.5518543408837427,0.7154666666666667,0.7128,0.1196243166923523,7.760036945343018,0.01043306291103363,6.398276913911104
otto,multiclass,mlp,20260826,measure_innovation,8,0.37074703828066546,93,29705,16,0.5153533686960771,0.6243856708087333,0.6186376700015123,0.7652762347237653,0.7672915319974144,1.9105706214904785,8.275036811828613,0.01669994927942753,8.281809957930818
otto,multiclass,resnet,20260826,measure_innovation,8,0.37074703828066546,93,145801,10,0.46070304662282835,0.6081745225667029,0.6054114191431621,0.7733562266437733,0.7714932126696833,1.2335007190704346,6.828545570373535,0.01670023426413536,7.83469775901176
