split,level,name,cells,wins,mean_relative_gain_pct,median_relative_gain_pct
val,overall,overall,12,11,0.4003734999253341,0.8758703996231278
val,task,classification,6,5,-0.18443996819834094,0.6026918693830179
val,task,regression,6,6,0.9851869680490091,0.9603603862593038
val,dataset,openml-cpu-small-562,3,3,0.7260212134661644,0.7961980382241485
val,dataset,openml-diabetes-37,3,3,1.2307233363131593,0.8192710256528448
val,dataset,openml-house-16h-574,3,3,1.2443527226318538,1.2469465575560768
val,dataset,openml-ionosphere-59,3,2,-1.5996032727098413,0.2001945895877717
test,overall,overall,12,10,0.8430600035979848,0.7682413871512712
test,task,classification,6,4,1.084319211408605,1.0490914195257126
test,task,regression,6,6,0.6018007957873647,0.648808093850843
test,dataset,openml-cpu-small-562,3,3,0.3158026409421069,0.27959458361161255
test,dataset,openml-diabetes-37,3,2,0.8087569303017301,0.9723849968481383
test,dataset,openml-house-16h-574,3,3,0.8877989506326224,0.8778933312841986
test,dataset,openml-ionosphere-59,3,2,1.3598814925154803,1.125797842203287
