dataset,model,method,seeds,mean_val_loss,mean_test_loss,sd_test_loss,mean_gain_vs_ple_pct,mean_gain_vs_anchor_pct
california,mlp,anchor_mass_representer,3,0.15474992990493772,0.14840948581695557,0.0007239325269961933,18.98564350239675,-0.628491974647914
california,mlp,anchor_only,3,0.153920238216718,0.1474823951721191,0.0006529622707930944,19.492005072285213,0.0
california,mlp,anchor_riesz_representer,3,0.1538681089878082,0.14705775678157804,0.0007436136637974276,19.725036632697623,0.287980877685219
california,mlp,anchor_wrong_representer,3,0.15508747100830078,0.1487036496400833,0.0010715222255454771,18.825945379190163,-0.8272449677683987
california,mlp,quantile_ple,3,0.18641838928063706,0.18320470551649726,0.002236566074152065,0.0,-24.220835594495885
california,resnet,anchor_mass_representer,3,0.1607573479413986,0.15222713351249692,0.002530210785103385,14.904224053393504,-0.09534650725831965
california,resnet,anchor_only,3,0.15800763169924414,0.15208220481872556,0.00021973860875049609,14.987305626956456,0.0
california,resnet,anchor_riesz_representer,3,0.15926243861516312,0.1500304341316223,0.0030420837950208253,16.131831979577715,1.349085507050306
california,resnet,anchor_wrong_representer,3,0.16022329032421107,0.15104308724403376,0.002889644647595249,15.566822565760788,0.6834911772346205
california,resnet,quantile_ple,3,0.17589198549588517,0.1788970033327738,0.001097678975377464,0.0,-17.631286664543453
tabred-cooking-time,mlp,anchor_mass_representer,1,0.5282651782035828,0.5521906018257141,,-0.3316366673493185,0.43025485227024673
tabred-cooking-time,mlp,anchor_only,1,0.5271205306053162,0.5545766949653625,,-0.7651837598752123,0.0
tabred-cooking-time,mlp,anchor_riesz_representer,1,0.5300109386444092,0.555241584777832,,-0.8859925582646593,-0.1198914087998252
tabred-cooking-time,mlp,anchor_wrong_representer,1,0.5292440056800842,0.5563716888427734,,-1.0913296104801606,-0.323669186553719
tabred-cooking-time,mlp,quantile_ple,1,0.5282541513442993,0.5503653883934021,,0.0,0.7593731597797265
tabred-cooking-time,resnet,anchor_mass_representer,1,0.5233024954795837,0.5492140650749207,,-0.6765135922230383,-0.18222297459870446
tabred-cooking-time,resnet,anchor_only,1,0.5212979912757874,0.5482150912284851,,-0.4933915448748444,0.0
tabred-cooking-time,resnet,anchor_riesz_representer,1,0.5223596096038818,0.5485703945159912,,-0.5585222444119914,-0.0648109278987397
tabred-cooking-time,resnet,anchor_wrong_representer,1,0.5234535336494446,0.5490341186523438,,-0.6435275862001149,-0.14939891968739843
tabred-cooking-time,resnet,quantile_ple,1,0.5242094993591309,0.5455235242843628,,0.0,0.4909691446273089
tabred-delivery-eta,mlp,anchor_mass_representer,1,0.6012402176856995,0.5981612801551819,,-1.2497463833074158,-1.0259150510929052
tabred-delivery-eta,mlp,anchor_only,1,0.5997004508972168,0.5920869708061218,,-0.22155833194018612,0.0
tabred-delivery-eta,mlp,anchor_riesz_representer,1,0.6009634733200073,0.594435453414917,,-0.6190820039244882,-0.39664487222168143
tabred-delivery-eta,mlp,anchor_wrong_representer,1,0.5999889969825745,0.6033483743667603,,-2.1277570316268464,-1.9019846941246004
tabred-delivery-eta,mlp,quantile_ple,1,0.5975548624992371,0.5907780528068542,,0.0,0.22106853617898337
tabred-delivery-eta,resnet,anchor_mass_representer,1,0.5975074172019958,0.5895941257476807,,1.2623213128892288,-0.6429633494408231
tabred-delivery-eta,resnet,anchor_only,1,0.5963562726974487,0.5858274698257446,,1.8931126418791382,0.0
tabred-delivery-eta,resnet,anchor_riesz_representer,1,0.596500039100647,0.593437671661377,,0.6186534321001457,-1.29905172215567
tabred-delivery-eta,resnet,anchor_wrong_representer,1,0.5963760614395142,0.6044793128967285,,-1.230459333553599,-3.183845762052078
tabred-delivery-eta,resnet,quantile_ple,1,0.5938919186592102,0.5971318483352661,,0.0,-1.9296429566343127
tabred-weather,mlp,anchor_mass_representer,3,0.19181534151236213,0.17096839845180511,0.002291752415036885,2.4412965856881867,0.4348043154556784
tabred-weather,mlp,anchor_only,3,0.1914036969343821,0.17173516750335685,0.0020100726750154592,2.0140110151445128,0.0
tabred-weather,mlp,anchor_riesz_representer,3,0.19075998663902274,0.17148390412330625,0.004673342499892127,2.1394505868804594,0.13291102797516885
tabred-weather,mlp,anchor_wrong_representer,3,0.19292111694812775,0.17315652966499326,0.0014915675773568356,1.1964314657992208,-0.8350838620007819
tabred-weather,mlp,quantile_ple,3,0.19581301510334015,0.17526917159557334,0.0015285238308933643,0.0,-2.0643668688829795
tabred-weather,resnet,anchor_mass_representer,3,0.18628101547559098,0.16967895627021787,0.001149275482041788,3.0284497469482834,0.2471826521749351
tabred-weather,resnet,anchor_only,3,0.1886337300141652,0.1701297263304392,0.0031542851418944985,2.7790729058168036,0.0
tabred-weather,resnet,anchor_riesz_representer,3,0.18654098610083258,0.16926639278729752,0.0018501638816232316,3.267958993507456,0.49694902231573074
tabred-weather,resnet,anchor_wrong_representer,3,0.1880321502685547,0.17013196647167203,0.0012109984959144755,2.759221607992608,-0.03213366585927805
tabred-weather,resnet,quantile_ple,3,0.19309293230374655,0.17498652140299473,0.0021211888479652453,0.0,-2.8645987433235933
