dataset,rho_mixture,pairs,wins_vs_raple_raw,gain_vs_raple_raw_pct,wins_vs_anchor_only,gain_vs_anchor_only_pct,wins_vs_anchor_product_mass,gain_vs_anchor_product_mass_pct,wins_vs_anchor_product_rho_mixture_wrong,gain_vs_anchor_product_rho_mixture_wrong_pct,wins_vs_anchor_product_rho_mixture_isospectral,gain_vs_anchor_product_rho_mixture_isospectral_pct
california,"[0.001,0.01,0.1]",9,8,1.206935004264793,7,0.7305933007419161,7,0.08190298147115634,7,0.03051620235703308,5,-0.08146997136232266
king-county-sales,"[0.001,0.01,0.1]",9,6,0.40301339743808434,6,0.39292775268515157,4,-0.02099296633151548,4,0.041017796378569345,6,0.024502312455607755
