dataset,model,method,seed,n_fields,parameters,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_identity_gate,mean_frequency_gate,train_seconds
maps-routing,mlp,rank_only,20260827,986,3331701,6,0.19259430468082428,0.16516092096056287,0.19390660524368286,0.16572265308171125,0.0,0.0,16.8403801638633
maps-routing,resnet,rank_only,20260827,986,3447797,8,0.19509589672088623,0.16623009132476715,0.1970079392194748,0.16704267644305376,0.0,0.0,21.716542690992355
