dataset,task,model,seed,method,strength,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,tabm,20260850,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,17,0.15095707774162292,0.14549164474010468,0.45092641251597243,0.4426882091416573,2.7778579380828887
california,regression,tabm,20260851,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,23,0.14979931712150574,0.14581502974033356,0.44919388526957604,0.4431799162156196,2.796589561039582
california,regression,tabm,20260852,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,20,0.150557741522789,0.14493761956691742,0.4503295916408163,0.44184453166922566,2.757547704037279
tabred-weather,regression,tabm,20260850,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.18110428750514984,0.16039514541625977,1.652898645075254,1.5555267054078286,25.285814942093566
tabred-weather,regression,tabm,20260851,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.18047472834587097,0.16102513670921326,1.6500232266537296,1.5585785312877647,23.144194175023586
tabred-weather,regression,tabm,20260852,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.18279947340488434,0.16423824429512024,1.660616471380763,1.5740518035995592,15.150898001156747
