task,dataset,model,seed,selected_heterogeneous_pair,anchor_parameters,tt_parameters,q_parameters,rank_active_parameters,tt_val_log_loss,tt_val_auc,tt_val_accuracy,tt_test_log_loss,tt_test_auc,tt_test_accuracy,tq_val_log_loss,tq_val_auc,tq_val_accuracy,tq_test_log_loss,tq_test_auc,tq_test_accuracy,tt_val_loss,tt_val_rmse,tt_test_loss,tt_test_rmse,trank_val_loss,trank_val_rmse,trank_test_loss,trank_test_rmse
classification,openml-banknote-1462,mlp,20260827,tq,26049,26049,26049,,0.023554086974414384,0.9998392799742848,0.9927272727272727,0.01969654877842069,0.9998928533161898,0.9927272727272727,0.02034830372709092,0.9998928533161899,0.9927272727272727,0.01852085991616629,0.9998928533161898,0.9963636363636363,,,,,,,,
classification,openml-banknote-1462,resnet,20260827,tq,142145,142145,142145,,0.0010074186329953516,1.0,1.0,0.0009749650724277571,1.0,1.0,0.001911896184181087,1.0,1.0,0.0018232807684264098,1.0,1.0,,,,,,,,
classification,openml-banknote-1462,ft_transformer,20260827,tq,7713,7713,7713,,0.05588412462006511,1.0,1.0,0.06572980418737237,1.0,0.9963636363636363,0.05531580654923998,1.0,1.0,0.06565526581310796,0.9999999999999999,0.9963636363636363,,,,,,,,
classification,openml-qsar-biodeg-1494,mlp,20260827,tq,117415,117415,117415,,0.2968051465560689,0.9379778672032194,0.8767772511848341,0.43077003245163265,0.8913480885311872,0.8151658767772512,0.28257219311854676,0.9427565392354125,0.8720379146919431,0.44027940641723357,0.8835010060362172,0.8056872037914692,,,,,,,,
classification,openml-qsar-biodeg-1494,resnet,20260827,tq,233453,233453,233453,,0.31641108447387434,0.9322434607645876,0.8530805687203792,0.4400268868631729,0.871327967806841,0.7772511848341233,0.29453130984317233,0.9411468812877264,0.8672985781990521,0.40354705081353026,0.8801810865191148,0.8104265402843602,,,,,,,,
classification,openml-qsar-biodeg-1494,ft_transformer,20260827,tq,23321,23321,23321,,0.34141624995905573,0.9198189134808853,0.8720379146919431,0.40949244551230995,0.8783199195171026,0.8483412322274881,0.32571016536278796,0.9400402414486921,0.8672985781990521,0.38588413467080795,0.9000503018108652,0.8483412322274881,,,,,,,,
regression,openml-pol-201,mlp,20260827,trank,159839,159839,,159839,,,,,,,,,,,,,0.009911786764860153,4.161414878624788,0.010983576066792011,4.380633514603386,0.007367180660367012,3.5876965284255258,0.007937826216220856,3.7240528334797243
regression,openml-pol-201,resnet,20260827,trank,276323,276323,,276323,,,,,,,,,,,,,0.008167744614183903,3.777601266971959,0.008108879439532757,3.7639640100284417,0.0060704294592142105,3.2566774635692783,0.006499665789306164,3.369849872464469
regression,openml-pol-201,ft_transformer,20260827,trank,32353,32353,,32353,,,,,,,,,,,,,0.009889010339975357,4.156630843788948,0.009203484281897545,4.00997050203995,0.008693411014974117,3.897266881821589,0.009055018424987793,3.97749561559138
regression,openml-puma32h-308,mlp,20260827,trank,91009,91009,,91009,,,,,,,,,,,,,0.06708241999149323,0.007804855042659065,0.06697767972946167,0.007798759541712049,0.0658678263425827,0.0077338749688494485,0.06550537794828415,0.0077125671655077725
regression,openml-puma32h-308,resnet,20260827,trank,207105,207105,,207105,,,,,,,,,,,,,0.07151291519403458,0.00805847238299756,0.07053391635417938,0.008003122785970861,0.07139451801776886,0.00805179879401526,0.07019573450088501,0.007983913850785769
regression,openml-puma32h-308,ft_transformer,20260827,trank,15329,15329,,15329,,,,,,,,,,,,,0.06565514206886292,0.007721378704541778,0.06564507633447647,0.007720786791069171,0.06373029947280884,0.0076073510967083115,0.06332322210073471,0.007583016192056161
