dataset,model,seed,method,ple_test_rmse,method_test_rmse,gain_vs_ple_pct,val_gain_vs_ple_pct,parameter_ratio_vs_ple
cooking-time,ft_transformer,20260827,multiview_noalign,0.4831446981581695,0.4879242875428899,-0.9892666530215503,-0.852549814816855,1.884888711274825
cooking-time,ft_transformer,20260827,multiview_vicreg,0.4831446981581695,0.4918411465121716,-1.7999676674823146,-1.403202903707165,1.884888711274825
cooking-time,ft_transformer,20260827,multiview_wrong,0.4831446981581695,0.49134615208905985,-1.6975150430410773,-1.3237442798354297,1.884888711274825
cooking-time,mlp,20260827,multiview_noalign,0.48045215222003684,0.4842419986103397,-0.7888082866922329,-0.8624809651415624,1.1104937374298403
cooking-time,mlp,20260827,multiview_vicreg,0.48045215222003684,0.48704396368927794,-1.3720016527727374,-1.1621807364516195,1.1104937374298403
cooking-time,mlp,20260827,multiview_wrong,0.48045215222003684,0.4871683856822304,-1.3978985068876715,-1.1712849123306877,1.1104937374298403
cooking-time,resnet,20260827,multiview_noalign,0.4821741677436588,0.4863749372436514,-0.8712141340234296,-1.1705960235406128,1.0882620548379662
cooking-time,resnet,20260827,multiview_vicreg,0.4821741677436588,0.48645323221649545,-0.8874520368564338,-1.219977803531602,1.0882620548379662
cooking-time,resnet,20260827,multiview_wrong,0.4821741677436588,0.4864322177159008,-0.8830937567990429,-1.259803567413487,1.0882620548379662
weather,ft_transformer,20260827,multiview_noalign,1.599030535053819,1.628833276118271,-1.8638006223845394,-0.7646745338846996,1.8046932578638601
weather,ft_transformer,20260827,multiview_vicreg,1.599030535053819,1.6119507841900933,-0.8080051539378177,-1.102361681856362,1.8046932578638601
weather,ft_transformer,20260827,multiview_wrong,1.599030535053819,1.6135710331894344,-0.9093321119803398,-1.0830746586173334,1.8046932578638601
weather,ft_transformer,20260827,topology,1.599030535053819,1.658557152109798,-3.7226691893019694,-4.229540206588199,1.0
weather,ft_transformer,20260827,topology_wrong,1.599030535053819,1.6626504249125003,-3.9786538445646387,-4.325939459794697,1.0
weather,mlp,20260827,multiview_noalign,1.6187039776183034,1.614923334368366,0.23355989125943336,0.16173980703395896,1.1070393593951586
weather,mlp,20260827,multiview_vicreg,1.6187039776183034,1.6018841370126826,1.0390930545786914,0.1742002374410524,1.1070393593951586
weather,mlp,20260827,multiview_wrong,1.6187039776183034,1.602719401521625,0.9874922356215761,0.049360223710778486,1.1070393593951586
weather,mlp,20260827,topology,1.6187039776183034,1.6317853575153491,-0.8081391086894801,-1.0146980671619323,1.0
weather,mlp,20260827,topology_wrong,1.6187039776183034,1.6357011153160153,-1.050046082095921,-1.3162467782866383,1.0
weather,resnet,20260827,multiview_noalign,1.6003730858854766,1.6110575202646165,-0.6676214736033427,-1.1908693088829123,1.0735533070155348
weather,resnet,20260827,multiview_vicreg,1.6003730858854766,1.605350660419604,-0.3110258837784273,-0.5663240285098706,1.0735533070155348
weather,resnet,20260827,multiview_wrong,1.6003730858854766,1.6073984423273107,-0.4389824162749539,-0.6467070710369818,1.0735533070155348
weather,resnet,20260827,topology,1.6003730858854766,1.6747687945674519,-4.648647827066688,-3.6873562419036676,1.0
weather,resnet,20260827,topology_wrong,1.6003730858854766,1.6686694045517059,-4.267524820841472,-3.252680622470613,1.0
