dataset,task,model,seed,method,factor_rank,measure_rank,input_features,parameters,best_epoch,val_loss,test_loss,val_metric,test_metric
diamond,regression,scalar_ft_transformer,20260826,baseline,2,1,23,70145,16,0.023430000990629196,0.02468167617917061,0.15270855409089545,0.1567344748643711
diamond,regression,scalar_ft_transformer,20260826,common_skip,2,1,25,70401,10,0.02799885906279087,0.030574461445212364,0.1669349895092438,0.17444423293531752
diamond,regression,scalar_ft_transformer,20260826,innovation_sum,2,1,25,70401,10,0.02776169963181019,0.02689041942358017,0.1662264856093314,0.1635972506643597
diamond,regression,scalar_ft_transformer,20260826,measure_innovation,2,1,24,70273,10,0.02955900877714157,0.029921727254986763,0.1715229086761454,0.17257208433523008
higgs-small,binclass,scalar_ft_transformer,20260826,baseline,2,8,28,70785,17,0.5436258141355401,0.5485197838075807,0.7186666666666667,0.7187333333333333
higgs-small,binclass,scalar_ft_transformer,20260826,common_skip,2,8,30,71041,18,0.5444743814596987,0.5485835716816626,0.7164666666666667,0.717
higgs-small,binclass,scalar_ft_transformer,20260826,innovation_sum,2,8,30,71041,18,0.5474032610866846,0.5528571969379179,0.7178,0.7154666666666667
higgs-small,binclass,scalar_ft_transformer,20260826,measure_innovation,2,8,36,71809,18,0.5493210751352657,0.5600759121055168,0.7176666666666667,0.7068666666666666
tabred-weather,regression,scalar_ft_transformer,20260826,baseline,6,5,103,80385,16,0.19236008822917938,0.1803407520055771,1.7020611679194246,1.6480281189101333
tabred-weather,regression,scalar_ft_transformer,20260826,common_skip,6,5,109,81153,16,0.1922966092824936,0.18224601447582245,1.7017803553921453,1.6567108700110253
tabred-weather,regression,scalar_ft_transformer,20260826,innovation_sum,6,5,105,80641,16,0.19791507720947266,0.18607720732688904,1.726462365538005,1.674034042153096
tabred-weather,regression,scalar_ft_transformer,20260826,measure_innovation,6,5,108,81025,15,0.2036380171775818,0.19363698363304138,1.7512458059089155,1.7077010122687852
