dataset,task,model,seed,method,strength,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,tabm,20260850,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,24,0.1509062498807907,0.1446775197982788,0.45085049122817367,0.4414479077935134,3.0615349139552563
california,regression,tabm,20260851,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,23,0.15036801993846893,0.14585302770137787,0.4500457601657928,0.44323767865326147,2.773390696151182
california,regression,tabm,20260852,anchor_isospectral_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,25,0.15068863332271576,0.14490538835525513,0.45052529216307846,0.44179541630308705,2.873480507871136
tabred-weather,regression,tabm,20260850,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.18155865371227264,0.16128915548324585,1.6549708539469634,1.559855749067367,22.751428673043847
tabred-weather,regression,tabm,20260851,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.1809777021408081,0.1612449586391449,1.6523209222242485,1.559642069166955,20.40350116812624
tabred-weather,regression,tabm,20260852,anchor_isospectral_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.18116594851016998,0.1633768081665039,1.6531800404370642,1.56991838238406,14.121851518051699
