dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,residual_target_parameters,residual_parameters,residual_parameter_difference,matched_width,matched_ft_feedforward_width,residual_best_epoch,val_loss,val_rmse,val_anchor_loss,val_anchor_rmse,residual_gate,residual_train_seconds,test_loss,test_rmse,test_anchor_loss,test_anchor_rmse,total_train_seconds
openml-cpu-act-197,mlp,safeple_zero_start_supervised_mix,20260827,21,65489,65489,128,64,37,0.018518632277846336,2.5478046702360055,0.0184287391602993,2.541613372808978,71202,70926,-276,137,64,1,0.018443657085299492,2.5426418731136375,0.018518632277846336,2.5478046702360055,-0.0131768099963665,1.169839648064226,0.01830192282795906,2.5328532915320556,0.0184287391602993,2.541613372808978,7.006643834989518
openml-cpu-act-197,resnet,safeple_zero_start_supervised_mix,20260827,21,181585,181585,128,64,30,0.01832081750035286,2.5341603970240656,0.018465645611286163,2.5441570903210753,187298,186414,-884,130,64,1,0.01807701215147972,2.5172421797296196,0.01832081750035286,2.5341603970240656,0.016925280913710594,1.3163735489360988,0.018158115446567535,2.5228827180127764,0.018465645611286163,2.5441570903210753,6.699458163930103
openml-cpu-act-197,ft_transformer,safeple_zero_start_supervised_mix,20260827,21,12337,12337,128,64,39,0.01903335005044937,2.58296958812757,0.01903313770890236,2.5829551799102433,18050,18080,30,128,151,3,0.018720824271440506,2.5616757594510444,0.01903335005044937,2.58296958812757,0.0260951928794384,2.9680644359905273,0.01866980642080307,2.55818284827956,0.01903313770890236,2.5829551799102433,10.471755970036611
openml-elevators-216,mlp,safeple_zero_start_supervised_mix,20260827,18,69283,69552,147,64,40,0.09228119999170303,0.0020432973059081065,0.08569144457578659,0.001968990758734091,63426,63534,108,137,64,10,0.09209765493869781,0.0020412642602663394,0.09228119999170303,0.0020432973059081065,-0.010971151292324066,5.13088468182832,0.08553121238946915,0.0019671490152671344,0.08569144457578659,0.001968990758734091,12.63919161586091
openml-elevators-216,resnet,safeple_zero_start_supervised_mix,20260827,18,186575,185648,133,64,15,0.09577760100364685,0.0020816462244558475,0.08876532316207886,0.0020039949140409257,179522,179358,-164,130,64,4,0.09413325041532516,0.002063699568159824,0.09577760100364685,0.0020816462244558475,0.048272013664245605,3.3928511939011514,0.08697742968797684,0.001983710218512417,0.08876532316207886,0.0020039949140409257,9.923514036927372
openml-elevators-216,ft_transformer,safeple_zero_start_supervised_mix,20260827,18,22543,22544,128,231,33,0.09096688777208328,0.0020286943235479035,0.08565209060907364,0.0019685385753464273,16418,16406,-12,128,138,5,0.09042417258024216,0.0020226336000270045,0.09096688777208328,0.0020286943235479035,-0.024700598791241646,5.0975776019040495,0.08522936701774597,0.001963674847163208,0.08565209060907364,0.0019685385753464273,20.34004292404279
