dataset,model,q_support_val_gain_pct,exact_vs_bin_val_gain_pct,t_support_val_gain_pct,q_support_test_gain_pct,t_support_test_gain_pct,cell_gate
cooking-time,ft_transformer,-0.07869058266170749,0.0006723237401653946,0.27278064905267335,0.08608271023740208,0.18855265011429154,False
cooking-time,mlp,0.059115408541534346,3.5664760548152976e-05,-0.04504692596540462,0.03305671770065786,0.03801013752206699,False
cooking-time,resnet,0.3190091802358158,0.001505976808344258,-0.08479557823827899,0.42192515983468387,-0.19904374374652103,False
weather,ft_transformer,0.41757547062972916,0.025448265026231365,0.2637204282728211,-0.10940133464050825,0.7652348780142204,True
weather,mlp,-0.3488160486022816,-0.0014366081162982874,0.2122353080597089,-0.09863874435067342,1.108133489830054,False
weather,resnet,0.3219774509230505,-0.03783848253831173,-0.07716288719249857,0.5524996431124672,-0.08276957510693596,False
