dataset,model,method,seed,n_fields,anchor_parameters,anchor_target_parameters,anchor_width,anchor_ft_feedforward_width,anchor_best_epoch,anchor_val_loss,anchor_val_rmse,anchor_test_loss,anchor_test_rmse,residual_target_parameters,residual_parameters,residual_parameter_difference,matched_width,matched_ft_feedforward_width,residual_best_epoch,val_loss,val_rmse,val_anchor_loss,val_anchor_rmse,test_loss,test_rmse,test_anchor_loss,test_anchor_rmse,residual_gate,residual_train_seconds,total_train_seconds
weather,mlp,frozen_t_anchor_t_residual_control,20260827,103,258827,257946,130,64,8,0.18411517143249512,1.6740024716748352,0.1723611056804657,1.6196864249543013,283026,283840,814,143,64,1,0.18260927498340607,1.6671424987357546,0.18411517143249512,1.6740024716748352,0.16912192106246948,1.6043948459157023,0.1723611056804657,1.6196864249543013,0.015279670245945454,9.829792959848419,24.499628531048074
weather,resnet,frozen_t_anchor_t_residual_control,20260827,103,374823,374042,129,64,20,0.18323825299739838,1.6700111771905417,0.16931045055389404,1.6052888503499507,399122,397468,-1654,135,64,7,0.180304154753685,1.6565867131222152,0.18323825299739838,1.6700111771905417,0.16632679104804993,1.5910814444813792,0.16931045055389404,1.6052888503499507,0.03240463137626648,20.430383116938174,43.04140473320149
weather,ft_transformer,frozen_t_anchor_t_residual_control,20260827,103,36825,36858,128,108,14,0.1835496872663498,1.6714297617313398,0.17054957151412964,1.6111524011628602,61938,61906,-32,128,488,1,0.18336954712867737,1.6706093694364719,0.1835496872663498,1.6714297617313398,0.1702231764793396,1.6096099640232608,0.17054957151412964,1.6111524011628602,0.032395269721746445,17.989733278984204,54.02038331096992
cooking-time,mlp,frozen_t_anchor_t_residual_control,20260827,192,467579,467821,130,64,12,0.5018068552017212,0.4676611224417131,0.5307167768478394,0.4809438559808424,513138,514466,1328,144,64,8,0.4995826184749603,0.4666235277545846,0.5018068552017212,0.4676611224417131,0.5315020084381104,0.4812995190557665,0.5307167768478394,0.4809438559808424,-0.022565236315131187,20.905232436023653,37.389229523018
cooking-time,resnet,frozen_t_anchor_t_residual_control,20260827,192,582151,583917,129,64,5,0.5038467049598694,0.46861068193905553,0.5302237272262573,0.48072039942460915,629234,629150,-84,138,64,4,0.503476619720459,0.4684385484780387,0.5038467049598694,0.46861068193905553,0.5304084420204163,0.4808041267579058,0.5302237272262573,0.48072039942460915,-0.009510916657745838,16.64106247201562,30.731850287877023
cooking-time,ft_transformer,frozen_t_anchor_t_residual_control,20260827,192,64483,64461,128,169,8,0.5045794248580933,0.46895129707595057,0.5363239049911499,0.4834778142978588,109778,109760,-18,128,855,19,0.5014953017234802,0.46751592307863205,0.5045794248580933,0.46895129707595057,0.5326088070869446,0.4818003869858009,0.5363239049911499,0.4834778142978588,-0.07106408476829529,65.12557838391513,91.1216811221093
delivery-eta,mlp,frozen_t_anchor_t_residual_control,20260827,223,541323,540302,130,64,8,0.5989768505096436,0.565668668705837,0.5695922374725342,0.5516188984961852,594322,595154,832,144,64,4,0.5989689826965332,0.5656649535455773,0.5989768505096436,0.565668668705837,0.5685381293296814,0.5511082391120414,0.5695922374725342,0.5516188984961852,0.00975808221846819,15.52347081201151,28.550988463917747
delivery-eta,resnet,frozen_t_anchor_t_residual_control,20260827,223,655399,656398,129,64,10,0.6022544503211975,0.5672142260313657,0.5654146075248718,0.5495922726793098,710418,712660,2242,139,64,1,0.6020628809928894,0.5671240071126797,0.6022544503211975,0.5672142260313657,0.5655738115310669,0.549669641686164,0.5654146075248718,0.5495922726793098,-0.007768571376800537,11.3811056681443,28.356492919148877
delivery-eta,ft_transformer,frozen_t_anchor_t_residual_control,20260827,223,73483,73454,128,165,7,0.6035878658294678,0.567841796380092,0.5801048278808594,0.556686059213726,127474,127472,-2,128,983,0,0.6035878658294678,0.567841796380092,0.6035878658294678,0.567841796380092,0.5801048278808594,0.556686059213726,0.5801048278808594,0.556686059213726,0.0,17.165182087104768,41.214016429847106
maps-routing,mlp,frozen_t_anchor_t_residual_control,20260827,986,2320069,2317822,129,64,4,0.19303569197654724,0.16535007040657398,0.1947927474975586,0.16610089303120867,2572226,2576918,4692,145,64,5,0.19159457087516785,0.1647316980148674,0.19303569197654724,0.16535007040657398,0.19314312934875488,0.16539607823481722,0.1947927474975586,0.16610089303120867,0.009797006845474243,30.942864667857066,49.30698713310994
maps-routing,resnet,frozen_t_anchor_t_residual_control,20260827,986,2437975,2433918,129,64,8,0.19335344433784485,0.16548610424343832,0.195199653506279,0.166274288070188,2688322,2689500,1178,143,64,4,0.19276730716228485,0.16523508420085584,0.19335344433784485,0.16548610424343832,0.19416195154190063,0.1658317332853247,0.195199653506279,0.166274288070188,-0.016192929819226265,30.21613979106769,55.30838316492736
