dataset,model,seed,method,n_train,n_val,n_test,n_num,n_support_fields,support_levels,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
weather,mlp,20260827,qple,50000,15000,15000,100,9,174,258827,257946,130,64,8,0.18533873558044434,1.6795556742380628,0.17208075523376465,1.6183686549015872,0.0,12.632084666984156
weather,mlp,20260827,tple,50000,15000,15000,100,9,174,258827,257946,130,64,8,0.18411517143249512,1.6740024716748352,0.1723611056804657,1.6196864249543013,0.0,12.489717807155102
weather,mlp,20260827,qple_bin_control,50000,15000,15000,100,9,174,257946,257946,128,64,9,0.1846790909767151,1.6765641317776712,0.16921302676200867,1.604826930159535,0.28225022554397583,15.9997631048318
weather,mlp,20260827,qple_support,50000,15000,15000,100,9,174,257946,257946,128,64,9,0.18504698574543,1.6782332224639034,0.16919665038585663,1.6047492709926452,0.2868375778198242,15.096604007063434
weather,mlp,20260827,tple_support,50000,15000,15000,100,9,174,257946,257946,128,64,12,0.18696114420890808,1.686890860376998,0.1726166307926178,1.6208865718108427,0.2902856469154358,18.054797847988084
weather,resnet,20260827,qple,50000,15000,15000,100,9,174,374823,374042,129,64,14,0.18133121728897095,1.6612982021354574,0.16771550476551056,1.5977098526289193,0.0,20.386195302009583
weather,resnet,20260827,tple,50000,15000,15000,100,9,174,374823,374042,129,64,20,0.18323825299739838,1.6700111771905417,0.16931045055389404,1.6052888503499507,0.0,21.611218083882704
weather,resnet,20260827,qple_bin_control,50000,15000,15000,100,9,174,374042,374042,128,64,14,0.18221953511238098,1.665362471512147,0.16981305181980133,1.6076697498382018,0.288274347782135,26.546899653039873
weather,resnet,20260827,qple_support,50000,15000,15000,100,9,174,374042,374042,128,64,14,0.18211941421031952,1.6649048902141872,0.1696833372116089,1.6070556094980923,0.2959910035133362,26.143124756170437
weather,resnet,20260827,tple_support,50000,15000,15000,100,9,174,374042,374042,128,64,14,0.18479914963245392,1.6771090048648347,0.17025107145309448,1.6097418443855782,0.2918400764465332,24.97170709981583
weather,ft_transformer,20260827,qple,50000,15000,15000,100,9,174,36825,36858,128,108,7,0.18598201870918274,1.6824678931715493,0.17145493626594543,1.6154231531959733,0.0,21.71871384815313
weather,ft_transformer,20260827,tple,50000,15000,15000,100,9,174,36825,36858,128,108,14,0.1835496872663498,1.6714297617313398,0.17054957151412964,1.6111524011628602,0.0,31.72801017994061
weather,ft_transformer,20260827,qple_bin_control,50000,15000,15000,100,9,174,36858,36858,128,64,14,0.18416956067085266,1.6742497109318006,0.17190071940422058,1.6175218414644141,0.27385661005973816,36.02278420701623
weather,ft_transformer,20260827,qple_support,50000,15000,15000,100,9,174,36858,36858,128,64,14,0.18332204222679138,1.6703929559803918,0.17094683647155762,1.6130277565054985,0.2824849486351013,39.394050791161135
weather,ft_transformer,20260827,tple_support,50000,15000,15000,100,9,174,36858,36858,128,64,14,0.18514955043792725,1.6786982493038263,0.17056898772716522,1.6112441093615042,0.2779218256473541,37.90764088695869
