model,trichart_val_log_loss,trichart_test_log_loss,trichart_val_auc,trichart_test_auc,selected_exact_support_method,exact_support_val_log_loss,exact_support_test_log_loss,exact_support_val_auc,exact_support_test_auc,trichart_minus_exact_val_log_loss,trichart_minus_exact_test_log_loss
ft_transformer,0.2822771722066435,0.2863973843602587,0.9271552124388684,0.9223662621907236,tple_exact_supervised_additive,0.2707832549592412,0.2753007266671985,0.9326150151668352,0.9283627750417616,0.011493917247402285,0.011096657693060175
mlp,0.2833457718446712,0.2881351434478474,0.9263183926249974,0.9213251687513854,tple_exact_supervised_additive,0.2706966773379831,0.2748254062495712,0.9327398578238172,0.928958028445786,0.012649094506688108,0.013309737198276217
resnet,0.2868052704357215,0.2910404157094285,0.9241824611543304,0.9198026999827088,tple_exact_supervised_separate,0.2762443709348696,0.2774593249774055,0.9311656538247248,0.9281547249023054,0.010560899500851928,0.013581090732023016
