strength,model,pairs,wins_vs_raple_raw,gain_vs_raple_raw_pct,wins_vs_anchor_product_mass,gain_vs_anchor_product_mass_pct,wins_vs_anchor_product_wrong,gain_vs_anchor_product_wrong_pct,wins_vs_anchor_product_isospectral,gain_vs_anchor_product_isospectral_pct
0.3,all,9,8,2.3550695218081956,6,0.08764065529207248,7,0.05601338359322906,7,0.2971251682756619
0.3,mlp,3,3,3.146158553928791,2,0.16021633532339696,3,0.2156057561142396,3,0.5314404902849664
0.3,resnet,3,3,3.536022306471626,2,0.2498742664893284,3,0.2812577195489782,2,0.18694551969747955
0.3,tabm,3,2,0.38302770502417083,2,-0.1471686359365079,1,-0.32882332488353067,2,0.17298949484453963
1.0,all,9,8,2.630350652952108,7,0.36850919616979333,8,0.2276476496069591,8,0.5466952756659844
1.0,mlp,3,3,3.3042845120023565,2,0.32335465232013677,3,0.28706507839050505,3,0.7165446676952474
1.0,resnet,3,3,3.729696971228049,2,0.45047250539369244,2,0.33642827360546623,2,0.3012623601188203
1.0,tabm,3,2,0.8570704756259174,3,0.3317004307955509,3,0.059449596824905866,3,0.6222787991838856
3.0,all,9,8,2.5210022754157486,6,0.25831022037753637,8,0.20757180984565282,8,0.43329250547176124
3.0,mlp,3,3,3.213961252645691,2,0.2309946007986432,3,0.1335072841479404,3,0.6624370918939874
3.0,resnet,3,3,3.838341911580334,2,0.563534245427403,3,0.4590279810899737,2,0.09964676627954401
3.0,tabm,3,2,0.5107036620212225,2,-0.019598185093437064,2,0.03018016429904441,3,0.5377936582417523
