model,selection,interface,exact_vs_qple_logloss,exact_vs_bin_logloss,exact_vs_qple_auc_pp,gate
ft_transformer,all,additive,-0.03094376027392559,-0.031447839386783805,1.5969929427787077,True
ft_transformer,all,separate,-0.02524300838418786,-0.030788887056898195,1.4388116217164404,True
ft_transformer,supervised,additive,-0.03169796840363437,-0.033783324291639105,1.7029608860733236,True
ft_transformer,supervised,separate,-0.0305200793125876,-0.02863118218156352,1.5813295742968414,True
mlp,all,additive,-0.036107495186044725,-0.03908517564322911,1.7414647861166643,True
mlp,all,separate,-0.03539537611001853,-0.037696476790730016,1.7891448793875275,True
mlp,supervised,additive,-0.03671272881339033,-0.03923584731363072,1.8628317100348624,True
mlp,supervised,separate,-0.0355964393070764,-0.036833476985843494,1.7374022409772816,True
resnet,all,additive,-0.031855047311206974,-0.03829599743031459,1.6019776211799175,True
resnet,all,separate,-0.0332067825434732,-0.033829410404006,1.6945069230927756,True
resnet,supervised,additive,-0.03286137211195689,-0.0388414404876411,1.5682004601638377,True
resnet,supervised,separate,-0.03425036211340926,-0.035995684913828596,1.7021225831080566,True
