dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
tabred-maps-routing,mlp,20260850,anchor_riesz_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,9,0.17920568585395813,0.20176184177398682,0.20521490275859833,0.16957990835999226,0.17102488663658733,3.5264124870300293,13.93999195098877,0.2695977985858917,47.24485388305038
tabred-maps-routing,mlp,20260850,anchor_wrong_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,12,0.16579677164554596,0.19527903199195862,0.19928638637065887,0.16683327161717898,0.16853638982229313,3.521408796310425,15.346418380737305,0.26959696412086487,55.66681426297873
tabred-maps-routing,mlp,20260851,anchor_riesz_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,9,0.1724538654088974,0.1952308863401413,0.19978199899196625,0.16681270413300808,0.16874583386925224,7.377143383026123,12.68870735168457,0.2695021629333496,51.550603615818545
tabred-maps-routing,mlp,20260851,anchor_wrong_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,7,0.17587366700172424,0.19451767206192017,0.1994052678346634,0.16650773604851565,0.16858664964274794,7.370972633361816,11.998345375061035,0.2695021331310272,52.42008593608625
tabred-maps-routing,mlp,20260852,anchor_riesz_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,7,0.1760326772928238,0.19490647315979004,0.19969527423381805,0.16667405363659782,0.1687091994444927,6.763608932495117,12.573210716247559,0.2697734534740448,54.93268815707415
tabred-maps-routing,mlp,20260852,anchor_wrong_representer,1.0,128,3112321,3120641,0.0026732461079689404,24249,3120641,9,0.17335014045238495,0.196996808052063,0.20140387117862701,0.16756544254985783,0.16942939893124276,6.758439064025879,12.983759880065918,0.2697736918926239,53.3474557120353
tabred-maps-routing,resnet,20260850,anchor_riesz_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,13,0.17846150696277618,0.18981696665287018,0.19417700171470642,0.1644835153101667,0.16636186217965587,95.61813354492188,26.29323387145996,0.2696399390697479,67.61567353596911
tabred-maps-routing,resnet,20260850,anchor_wrong_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,13,0.1781245321035385,0.1903001368045807,0.19479501247406006,0.16469272307858773,0.16662639288006176,95.82369232177734,26.58596420288086,0.26963987946510315,71.63029962498695
tabred-maps-routing,resnet,20260851,anchor_riesz_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,15,0.17745953798294067,0.1909770667552948,0.19500483572483063,0.1649853821763827,0.16671611121637397,72.58283233642578,21.563602447509766,0.269543319940567,78.88564727408811
tabred-maps-routing,resnet,20260851,anchor_wrong_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,15,0.17601822316646576,0.1908007115125656,0.19484154880046844,0.16490918797353515,0.16664629653405427,72.76252746582031,22.0257568359375,0.2695434093475342,82.10246515600011
tabred-maps-routing,resnet,20260852,anchor_riesz_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,16,0.174974724650383,0.19019170105457306,0.19444270431995392,0.1646457936603838,0.1664756471727742,79.31694793701172,25.564390182495117,0.2698115110397339,94.64971422310919
tabred-maps-routing,resnet,20260852,anchor_wrong_representer,1.0,128,3228417,3236737,0.002577114418614448,24249,3236737,16,0.17450813949108124,0.19036905467510223,0.19468563795089722,0.16472255043117912,0.16657960972952424,79.46271514892578,25.497026443481445,0.2698114514350891,88.52265946008265
