dataset,model,seed,correct_test_loss,mean_isospectral_test_loss,sd_isospectral_test_loss,rotations,correct_gain_pct
california,mlp,20260850,0.1458244025707245,0.14773148894309998,0.0004156239938731475,5,1.290913931768483
california,mlp,20260851,0.148047536611557,0.14847475588321682,0.0009584972337560977,5,0.2877386590861564
california,mlp,20260852,0.1479625254869461,0.14806005954742427,0.00016993292085029123,5,0.06587465976732228
california,resnet,20260850,0.1504005491733551,0.15331157743930812,0.0006527606972570482,5,1.8987661040180845
california,resnet,20260851,0.1512698829174041,0.155175244808197,0.0012972185988932875,5,2.516742857805764
california,resnet,20260852,0.1495817601680755,0.15325859189033503,0.0014385159889731363,5,2.399103160813651
california,tabm,20260850,0.144983485341072,0.14522676169872278,0.00037647225644207123,5,0.16751482633446624
california,tabm,20260851,0.1446423232555389,0.1456123918294906,0.0004590921195795191,5,0.6661991893434555
california,tabm,20260852,0.1439659893512725,0.1449626415967941,0.00020852386006933314,5,0.6875235126397085
tabred-weather,mlp,20260850,0.1689126640558242,0.1704873293638229,0.0012968627930538693,5,0.9236260042752794
tabred-weather,mlp,20260851,0.1709146797657013,0.17278227806091306,0.0019460802374794543,5,1.0808969045733743
tabred-weather,mlp,20260852,0.1694506853818893,0.17257977724075313,0.002723644784584324,5,1.8131277655427032
tabred-weather,resnet,20260850,0.1697487235069275,0.17030491232872008,0.0017870656436812904,5,0.32658413323923613
tabred-weather,resnet,20260851,0.1674716770648956,0.16884297430515285,0.0006732555864352388,5,0.8121731128586273
tabred-weather,resnet,20260852,0.1679018139839172,0.16851941049098965,0.0007615387073365533,5,0.36648389955379007
tabred-weather,tabm,20260850,0.1603728830814361,0.16082757711410517,0.0003582250684815964,5,0.2827214342391464
tabred-weather,tabm,20260851,0.1607891321182251,0.16083583235740656,0.0005446478718384813,5,0.02903596698382895
tabred-weather,tabm,20260852,0.1628573983907699,0.16389913260936734,0.0004246258401130984,5,0.6355947112180726
